OBJ_ID,BRIGHTNESS,MAGNITUDE,MAX_X,MAX_Y,SKY,UPPERLIMIT,X,Y,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,POSITION_ANGLE,ELLIPTICITY,AREA,SEMI_MAJOR
6338,15.141,-2.95,3189,3641,0.007562,1.408,3175.796,3625.136,9.814,4.921,60.568,0.56,492,9.408
6339,4.4756,-1.627,1205,3613,0.005179,0.80418,1198.039,3601.422,5.009,2.921,-69.955,0.401,149,4.517
6340,3.4095,-1.332,2270,3611,0.006912,0.84893,2263.432,3604.695,3.963,3.197,76.205,0.162,145,3.656
6341,3.6017,-1.391,2374,3621,0.006201,1.0454,2364.71,3611.408,5.314,4.072,89.578,0.235,236,5.318
6342,5.6938,-1.889,1443,3626,0.004615,0.89524,1437.421,3616.319,5.436,3.212,86.29,0.443,206,5.321
6343,44.459,-4.12,3950,3658,0.004928,1.879,3931.935,3634.082,11.997,9.079,38.841,0.286,917,10.043
6344,12.987,-2.784,1572,3643,0.005501,1.342,1559.496,3625.437,8.143,5.381,55.041,0.351,474,8.01
6345,2.8881,-1.152,2150,3627,0.00641,0.711,2144.429,3618.838,3.385,2.793,77.495,0.249,107,3.365
6346,22.986,-3.404,374,3651,0.004847,1.7983,354.163,3633.908,9.705,5.412,-32.612,0.442,572,8.418
6347,2.726,-1.089,1655,3632,0.006334,0.65217,1648.208,3625.792,3.289,2.765,-31.207,0.176,104,3.093
6348,8.017,-2.26,3561,3646,0.005769,1.3243,3548.617,3633.597,8.028,4.69,11.199,0.352,402,7.455
6349,273.93,-6.094,579,3723,0.005966,3.1108,535.317,3680.166,20.321,14.241,54.234,0.265,2823,12.904
6350,28.371,-3.632,563,3656,0.005019,1.8098,546.023,3641.459,8.029,6.843,36.501,0.175,525,6.578
6351,8.2284,-2.288,520,3670,0.005424,1.1387,506.944,3657.086,7.249,4.184,-60.686,0.463,322,6.954
6352,6.2927,-1.997,2446,3659,0.00645,0.95654,2436.994,3644.027,7.955,3.739,84.245,0.502,273,7.876
6353,200.09,-5.753,1120,3700,0.005383,3.1524,1087.481,3673.645,18.551,12.158,32.197,0.342,2482,13.631
6354,6.3638,-2.009,1119,3657,0.005293,1.0758,1109.037,3642.426,6.926,3.775,-72.692,0.467,261,6.93
6355,29.309,-3.668,3544,3738,0.005831,1.5477,3529.66,3722.434,9.556,6.319,-45.378,0.281,641,7.473
6356,16.5,-3.044,3560,3706,0.00565,2.045,3540.126,3688.848,9.077,7.005,22.88,0.195,729,8.845
6357,14.517,-2.905,3551,3680,0.005299,1.5875,3533.192,3660.22,7.883,6.687,-19.547,0.166,547,7.561
6358,8.5276,-2.327,3525,3661,0.00494,1.226,3511.206,3644.431,8.554,5.437,15.873,0.388,413,8.781
6359,4.405,-1.61,1672,3651,0.005818,0.77131,1666.252,3641.852,4.129,3.039,-70.334,0.268,147,3.941
6360,7.7845,-2.228,1550,3660,0.005425,1.2006,1533.739,3649.488,9.036,3.464,29.598,0.645,352,9.164
6361,3.9914,-1.503,1850,3651,0.004455,0.73578,1838.71,3645.657,5.265,2.771,6.354,0.491,156,5.216
6362,6.2303,-1.986,2560,3670,0.006374,1.0759,2552.107,3659.067,6.427,3.505,82.526,0.465,249,6.306
6363,5.0624,-1.761,1903,3662,0.004801,0.78766,1893.84,3654.363,5.044,3.001,-28.229,0.406,178,4.648
6364,10.791,-2.583,4131,3678,0.006144,1.1171,4119.097,3666.134,7.926,4.402,-35.341,0.419,399,7.24
6365,12.35,-2.729,3897,3673,0.005436,1.0053,3887.475,3662.25,5.178,4.607,25.759,0.228,290,4.935
6366,9.9731,-2.497,2375,3674,0.006528,0.96762,2365.901,3667.109,5.024,3.889,-13.582,0.265,234,4.277
6367,12.114,-2.708,3313,3695,0.0072,1.3482,3296.074,3675.669,9.974,6.656,-36.805,0.366,555,10.088
6368,36.638,-3.91,705,3706,0.005026,1.5572,692.632,3690.992,10.313,5.929,-75.412,0.474,711,9.161
6369,88.884,-4.872,1328,3722,0.005499,2.6785,1307.055,3694.637,14.499,9.46,52.43,0.402,1555,12.11
6370,6.4443,-2.023,3339,3687,0.007136,1.0437,3327.723,3678.407,5.537,4.215,10.93,0.221,273,5.414
6371,34.079,-3.831,1815,3721,0.005796,2.1024,1790.396,3697.969,19.466,6.857,-32.769,0.655,1124,18.836
6372,3.9978,-1.505,2102,3690,0.006319,0.82984,2092.354,3681.595,4.028,3.56,28.192,0.254,151,3.945
6373,4.7725,-1.697,438,3690,0.005712,0.88525,425.781,3684.196,5.53,2.982,2.339,0.509,174,5.471
6374,55.194,-4.355,843,3715,0.005723,1.5104,827.005,3698.865,7.416,6.349,6.76,0.134,560,4.866
6375,60.333,-4.451,839,3741,0.005415,2.3072,815.193,3722.927,11.626,7.462,-2.51,0.352,1000,9.239
6376,21.247,-3.318,1056,3732,0.005178,1.8061,1041.831,3710.78,11.745,6.356,80.77,0.492,792,11.862
6377,4.7425,-1.69,1153,3708,0.006008,0.8055,1145.826,3696.915,5.463,3.22,66.096,0.404,198,5.386
6378,86.17,-4.838,2948,3730,0.006914,2.0076,2929.866,3711.071,9.442,8.613,1.795,0.164,942,6.814
