OBJ_ID,BRIGHTNESS,MAGNITUDE,MAX_X,MAX_Y,SKY,UPPERLIMIT,X,Y,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,POSITION_ANGLE,ELLIPTICITY,AREA,SEMI_MAJOR
2439,3.9295,-1.486,3324,3238,0.00178,0.68498,3319.832,3225.502,5.541,2.186,-83.401,0.605,143,5.489
2440,8.1866,-2.283,1462,3229,-0.0001443,0.88059,1452.784,3217.578,6.485,3.869,54.012,0.412,254,5.63
2441,11.867,-2.686,3487,3240,0.0001107,1.0883,3477.223,3222.665,7.118,4.956,76.983,0.274,374,6.255
2442,15.438,-2.971,674,3238,0.0008143,1.1543,655.404,3227.473,7.893,4.606,-15.045,0.409,397,6.914
2443,5.6744,-1.885,2932,3240,0.001703,0.76234,2921.224,3229.46,5.795,3.821,25.873,0.352,248,5.723
2444,42.777,-4.078,1314,3266,0.001302,1.4277,1297.182,3248.645,9.802,7.737,52.301,0.194,854,7.51
2445,3.582,-1.385,2518,3245,-0.0005463,0.54361,2509.417,3237.905,3.596,3.232,-63.015,0.156,120,3.292
2446,4.6129,-1.66,1031,3252,-0.0004441,0.63298,1022.368,3242.848,5.75,2.838,-56.557,0.534,161,5.664
2447,8.3384,-2.303,2627,3268,7.834e-05,1.135,2614.378,3253.051,6.475,5.346,-78.208,0.202,318,6.415
2448,170.92,-5.582,4133,3395,0.001501,2.7677,4099.646,3349.288,20.92,11.352,46.605,0.477,2663,16.065
2449,123.54,-5.23,4182,3418,0.001569,2.6243,4153.75,3382.137,18.189,13.047,-52.957,0.291,2539,14.805
2450,10.446,-2.547,3944,3351,0.0007371,1.1889,3924.348,3335.08,11.294,4.346,-32.762,0.603,485,11.295
2451,11.463,-2.648,1766,3354,0.0006695,1.3335,1751.949,3340.771,6.705,5.734,0.346,0.145,411,6.548
2452,19.75,-3.239,3512,3367,0.00088,1.6016,3486.622,3352.7,11.036,5.939,-13.686,0.501,701,11.096
2453,7.3969,-2.173,69,3362,0.0004933,0.83244,60.465,3351.215,6.074,4.712,44.936,0.272,259,6.037
2454,94.533,-4.939,1085,3410,0.001679,1.8682,1060.181,3375.295,12.878,10.666,67.698,0.173,1469,9.329
2455,3.3765,-1.321,1067,3360,0.001421,0.56377,1059.838,3353.625,4.187,2.513,-3.202,0.432,117,4.13
2456,103.98,-5.042,3094,3398,0.0005484,2.0666,3070.939,3374.268,12.497,10.582,1.837,0.167,1545,8.927
2457,7.4644,-2.182,2589,3373,0.0005445,0.81454,2576.969,3364.386,6.031,4.194,15.218,0.271,280,5.499
2458,15.386,-2.968,1666,3394,0.001485,1.0901,1655.899,3377.135,7.478,5.193,-66.08,0.312,390,6.705
2459,14.55,-2.907,745,3396,0.0006471,1.0504,733.354,3384.454,6.841,5.253,80.177,0.245,390,5.944
2460,7.3837,-2.171,3779,3392,0.0007964,0.96277,3765.952,3383.579,5.663,4.541,39.739,0.26,259,5.304
2461,7.9906,-2.256,1905,3395,0.001063,0.83486,1894.025,3387.101,6.342,3.249,20.433,0.475,231,5.929
2462,77.904,-4.729,3633,3438,0.001193,2.0142,3606.945,3405.104,12.605,9.196,-68.178,0.231,1257,9.209
2463,2400.6,-8.451,3114,2967,0.00309,4.477,3041.61,2890.932,38.005,26.874,39.03,0.214,11714,17.586
2464,118.55,-5.185,3055,2982,0.002892,2.9813,3015.347,2953.784,18.441,11.617,-7.891,0.41,2380,15.398
2465,61.799,-4.477,3169,2937,0.001471,1.9444,3145.298,2905.202,15.023,10.851,65.317,0.266,1319,13.201
2466,27.969,-3.617,3083,2860,0.003047,1.6448,3061.023,2846.865,9.431,7.528,-2.394,0.186,680,8.182
2467,8.0366,-2.263,3160,2892,0.00148,0.98289,3149.051,2881.572,6.129,5.238,49.873,0.104,326,5.805
2468,6.9554,-2.106,3057,2844,0.00352,0.86937,3046.622,2832.805,5.145,5.005,64.735,0.084,280,5.121
2469,6.0981,-1.963,3108,2883,0.002273,0.95864,3093.326,2873.015,8.119,3.271,-25.176,0.624,294,8.63
2470,3.6257,-1.398,1718,2847,0.0009515,0.7233,1710.119,2837.726,4.167,3.142,-38.896,0.248,140,4.167
2471,43.636,-4.1,2865,2872,0.001262,1.5436,2849.586,2857.042,8.669,6.693,-70.01,0.177,669,6.176
2472,4.4062,-1.61,3673,2855,0.0006749,0.66896,3666.678,2848.704,4.208,2.95,58.666,0.295,151,3.944
2473,10886,-10.092,657,2914,0.003526,NA,526.386,2787.275,62.91,44.275,-34.157,0.356,30581,27.1
2474,288.91,-6.152,561,2680,0.002308,2.9675,496.697,2634.388,26.094,17.488,22.95,0.307,4279,17.231
2475,93.903,-4.932,461,2940,0.0039,2.3888,424.229,2876.966,29.061,9.879,65.794,0.667,2876,26.065
2476,20.352,-3.271,494,2757,0.002827,1.4759,480.54,2740.958,8.796,7.275,41,0.221,734,8.884
2477,19.267,-3.212,481,2914,0.003431,1.6561,460.853,2886.106,11.601,7.966,-72.271,0.323,1014,11.976
2478,69.691,-4.608,663,2732,0.004101,3.0972,615.894,2684.389,27.195,12.027,57.157,0.542,3136,26.263
2479,38.12,-3.953,597,2717,0.003701,1.952,577.582,2690.644,15.836,9.056,-69.448,0.442,1570,16.086
2480,9.7978,-2.478,608,2851,0.003109,1.1706,592.373,2828.673,9.83,5.982,-72.109,0.452,565,10.163
2481,14.647,-2.914,529,2734,0.003211,1.6112,516.326,2718.583,8.283,7.212,86.461,0.156,685,8.513
2482,18.427,-3.164,462,2781,0.002649,1.8702,438.331,2765.331,12.88,5.509,24.541,0.575,805,12.804
2483,10.564,-2.56,648,2788,0.004088,1.2366,632.391,2773.666,8.876,6.013,-38.312,0.33,481,8.968
2484,22.669,-3.389,566,2664,0.001617,1.6819,544.299,2633.132,16.917,6.314,64.911,0.606,933,15.768
2485,6.6795,-2.062,1874,2863,0.0002704,0.86225,1864.685,2852.177,6.049,3.389,42.448,0.486,247,5.972
2486,5.6206,-1.874,3600,2869,0.0008972,0.80628,3590.884,2857.05,5.53,4.128,78.055,0.188,264,5.088
2487,19.615,-3.231,2791,2886,0.000231,1.3101,2775.22,2869.723,7.302,6.593,-42.954,0.115,501,6.301
2488,23.431,-3.424,2573,2648,0.001113,1.457,2558.041,2622.255,13.823,5.797,-74.546,0.635,713,14.477
2489,24.526,-3.474,1308,2889,-0.0001747,1.4076,1287.231,2874.171,9.805,6.988,0.232,0.256,781,8.818
2490,17.254,-3.092,189,2896,0.001181,1.2023,178.028,2880.375,8.599,4.897,-80.385,0.407,449,7.544
2491,8.5852,-2.334,3738,2886,-0.0002106,0.84843,3728.591,2874.89,6.062,3.987,44.916,0.386,283,5.747
2492,5.9179,-1.93,916,2891,0.003314,0.81047,909.02,2884.207,6.062,3.508,-57.832,0.422,211,5.588
2493,99.14,-4.991,3571,2652,0.0007218,1.9684,3548.673,2626.078,13.854,9.345,-33.868,0.316,1395,9.9
2494,7.7962,-2.23,2932,2897,0.002628,0.95788,2919.414,2884.785,6.342,5.123,56.346,0.198,337,6.341
2495,9.6673,-2.463,172,2638,0.001363,0.97777,158.558,2622.351,8.348,4.095,-49.048,0.504,350,7.837
2496,6.2834,-1.995,2122,2918,-0.0003244,0.94614,2112.15,2906.249,6.94,3.691,84.022,0.475,258,6.802
2497,18.355,-3.159,2697,2658,-0.0001226,1.4368,2680.628,2639.297,9.144,7.724,36.346,0.172,674,9.005
2498,4.1295,-1.54,435,2643,0.002777,0.67164,426.394,2637.273,4.394,3.189,-38.085,0.283,158,3.904
2499,16.996,-3.076,3105,2661,0.0008799,1.4295,3091.969,2646.531,7.051,5.596,-55.505,0.153,443,5.774
2500,20.861,-3.298,3205,2665,0.000121,1.5039,3187.094,2648.408,8.897,6.721,-4.133,0.22,605,7.587
2501,11.462,-2.648,857,2677,0.002498,1.3375,831.877,2657.779,14.494,4.404,37.409,0.701,510,14.428
2502,5.9956,-1.945,1221,2662,0.001301,0.71716,1210.929,2655.565,4.703,3.173,8.377,0.332,176,4.162
2503,5.6423,-1.879,2805,2676,0.0001647,0.63706,2797.871,2666.264,5.364,2.951,71.164,0.443,179,4.848
2504,16.737,-3.059,1872,2686,0.0008075,1.2509,1852.592,2672.615,9.778,4.919,-27.805,0.487,510,8.709
2505,40.87,-4.029,3506,2709,0.0006322,1.7785,3487.246,2689.018,9.015,8.042,-54.078,0.132,812,7.422
