OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
41,2745.172,45.217,13.124,24.205,5.356,3.852,6.197,4.647,9.445,0.281,37.703,-1.908e-05,0.05443,342,1.0678
42,3071.532,43.951,5.7732,25.096,5.5,3.309,5.842,3.409,5.264,0.398,-41.99,0.0003375,0.055,240,0.94618
43,3561.422,46.26,10.798,24.417,7.119,4.868,7.48,5.012,7.474,0.316,-27.569,0.001215,0.05378,411,1.1806
44,1409.77,56.46,53.313,22.683,7.715,6.374,9.678,8.149,22.21,0.174,-16.839,0.0005482,0.05397,923,1.6562
45,1466.982,62.754,31.318,23.261,11.839,6.266,13.057,6.904,14.242,0.471,59.151,0.0004505,0.05408,892,1.7968
46,2541.475,52.175,7.0999,24.872,6.336,4.965,6.447,4.738,5.587,0.216,-26.344,0.0001071,0.0548,324,0.9733
47,1587.531,54.035,7.6456,24.791,5.125,4.227,5.338,4.783,6.436,0.175,-66.398,9.617e-05,0.05484,265,0.85441
48,2176.96,62.121,80.954,22.229,6.529,5.609,9.857,7.707,30.892,0.141,59.965,0.0005966,0.05485,862,1.7845
49,3424.881,66.384,34.096,23.168,9.607,7.02,9.714,8.28,15.867,0.269,71.536,0.00068,0.05418,839,1.6366
50,1547.297,60.274,6.9013,24.903,6.719,2.734,7.311,2.899,6.19,0.593,32.063,0.0002268,0.0545,243,0.87219
51,2589.306,63.84,8.2499,24.709,5.496,4.428,6.226,4.709,6.592,0.194,17.984,-1.654e-05,0.05463,311,0.85144
52,2107.414,90.066,101.59,21.983,15.189,9.548,16.728,11.212,29.133,0.371,-68.111,0.0005389,0.05486,1982,2.9927
53,2382.209,67.405,17.136,23.915,7.387,4.477,9.103,5.084,10.569,0.394,23.737,0.0001572,0.05451,467,1.1438
54,800.849,74.554,44.217,22.886,9.015,6.306,10.378,7.6,18.955,0.301,-16.626,-2.884e-07,0.05471,924,1.8656
55,2706.008,65.932,4.6256,25.337,3.812,3.114,4.072,3.195,5.179,0.183,-71.558,-5.892e-05,0.05443,148,0.65122
56,3028.012,70.331,8.2505,24.709,7.436,4.087,7.497,4.237,6.148,0.45,35.283,0.0003571,0.05477,360,1.0836
57,3755.281,70.546,9.7634,24.526,5.665,5.017,6.012,5.232,7.983,0.114,35.1,0.001421,0.05392,287,0.90154
58,4154.952,68.159,11.012,24.395,5.198,3.298,5.868,3.749,9.255,0.365,3.011,-0.000229,0.05439,256,0.88675
59,3566.184,75.044,24.559,23.524,11.646,5.393,11.768,5.964,12.608,0.537,-13.398,0.00121,0.05373,713,1.4151
60,1059.955,72.852,8.4753,24.68,4.775,4.129,5.194,4.525,7.519,0.135,18.495,-0.0003122,0.05484,238,0.89939
61,1510.084,70.656,5.3893,25.171,4.747,4.016,4.999,3.812,5.371,0.154,-72.207,0.0003159,0.05429,197,0.85419
62,2921.288,75.588,48.997,22.775,5.63,5.086,8.03,6.843,22.713,0.097,-18.648,0.0002936,0.05428,651,1.6622
63,521.228,74.995,10.285,24.47,7.805,4.119,7.938,4.387,7.299,0.472,-7.579,0.0001546,0.05447,391,1.2265
64,1976.928,72.005,5.4094,25.167,5.506,3.224,5.648,3.376,4.974,0.414,2.737,0.0004478,0.05515,225,0.7842
65,3188.729,78.195,9.864,24.515,7.049,4.642,7.023,4.911,7.157,0.341,-35.952,0.0003458,0.05478,370,1.0548
66,3341.878,79.888,30.845,23.277,15.125,5.455,14.799,6.338,13.812,0.639,-0.303,0.0004513,0.05433,953,1.8438
67,1996.572,76.032,7.0642,24.877,4.966,3.55,5.269,3.794,6.825,0.285,-34.392,0.0004494,0.0551,203,0.76201
68,1616.182,85.969,7.8487,24.763,7.361,4.32,7.522,4.392,6.147,0.413,-65.672,-5.475e-05,0.05501,322,1.0705
