OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
933,3891.888,731.472,2.7832,25.889,3.941,2.299,4.266,2.413,3.987,0.417,49.828,0.001115,0.04948,115,0.56396
934,1738.767,748.152,23.552,23.57,6.812,4.264,9.142,5.239,14.879,0.374,74.615,0.0005264,0.05073,482,1.3879
935,3208.271,755.267,37.799,23.056,12.898,8.513,13.297,9.291,16.211,0.34,-17.853,0.001198,0.05003,1198,2.0724
936,2630.883,735.221,5.7064,25.109,5.045,3.031,5.067,3.412,6.341,0.399,-7.808,0.0006978,0.04976,188,0.84164
937,3328.729,748.355,13.676,24.16,8.314,4.723,8.997,5.105,9.402,0.432,84.055,0.001469,0.0498,478,1.2557
938,1244.207,741.66,9.8743,24.514,8.333,4.104,8.364,4.337,7.627,0.507,-30.183,0.002196,0.04972,386,1.0785
939,253.909,742.943,14.325,24.11,8.268,4.965,9.058,5.468,9.745,0.399,22.844,0.0008163,0.04996,473,1.175
940,2443.166,742.883,11.256,24.372,5.926,4.038,6.936,4.53,9.147,0.319,42.072,0.001522,0.04978,335,0.97781
941,2506.059,743.109,11.859,24.315,6.815,4.005,7.861,4.563,9.088,0.412,49.588,0.001033,0.04979,369,1.2187
942,557.44,745.116,8.4819,24.679,5.816,5.012,6.529,5.432,7.131,0.138,-41.394,0.0006789,0.04968,332,1.1557
943,1849.96,746.471,8.3774,24.692,8.035,3.309,8.092,3.538,7.338,0.588,-55.26,0.0005525,0.05086,299,0.95718
944,1161.398,742.346,5.6856,25.113,6.605,3.766,6.623,3.975,5.477,0.43,2.427,0.00182,0.0497,254,0.75515
945,2078.862,741.017,3.5562,25.623,4.314,2.605,4.905,2.996,4.14,0.396,-26.902,0.001675,0.04961,175,0.74082
946,2358.926,744.417,8.7392,24.646,4.77,2.762,6.079,3.249,8.506,0.421,-50.074,0.002283,0.04989,228,0.79001
947,3397.061,745.301,9.7363,24.529,8.242,4.364,8.307,4.523,7.655,0.47,-7.581,0.001603,0.04975,385,1.2489
948,2773.464,751.059,19.045,23.801,12.16,5.295,12.999,5.442,10.834,0.565,17.345,0.001167,0.04992,713,1.5219
949,2686.762,769.336,72.396,22.351,12.506,10.784,13.693,12.413,25.481,0.138,4.488,0.0009686,0.04988,1587,2.7361
