#    object_id         halo_id            flux            radius          h_over_r     inclination.rad     theta.rad            mu            redshift         shear.g1         shear.g2          pos.x            pos.y         image_pos.x      image_pos.y       halo_mass        halo_conc      halo_redshift   
              71                3   1.78648948e+04   5.44454909e-02   1.16298359e-01   1.24902082e+00   3.74240249e+00   2.60327611e+00   6.00000000e-01   1.90570413e-01   6.97682442e-02   2.90033096e+00  -1.61178285e+01   3.06524279e+02  -2.14968100e+01   7.00000000e+14   4.00000000e+00   3.00000000e-01
              72                3   1.22949235e+04   1.99934706e-01   1.92920186e-01   1.54772066e+00   1.35621405e-01   2.23873793e+00   6.00000000e-01  -1.23490976e-01   4.42956060e-02   2.05424337e+01  -2.28455995e+00   5.91338201e+02   2.19262058e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
              73                3   1.66987553e+04   7.37761422e-02   1.88347776e-01   1.08876649e+00   4.72634565e+00   2.58833855e+00   6.00000000e-01   1.91833520e-01   6.44219711e-02   2.66686432e+00  -1.62982028e+01   3.02413748e+02  -2.40960455e+01   7.00000000e+14   4.00000000e+00   3.00000000e-01
              74                3   1.26833547e+04   9.16215739e-02   1.51328431e-01   2.71971064e+00   4.72921208e+00   2.94186245e+00   6.00000000e-01  -5.65912089e-02   1.74167012e-01  -1.18015191e+01   7.16193045e+00   4.59959332e+01   3.84247578e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
              75                3   2.94124082e+04   1.18248182e-01   1.51800939e-01   4.86792081e-01   6.28307302e+00   5.67363579e+00   6.00000000e-01   2.32049051e-01   1.71042597e-01   2.20053360e+00  -6.32616514e+00   2.99080190e+02   1.34089092e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
              76                3   3.71098761e+04   1.07002143e-01   1.12861061e-01   1.73977436e+00   2.71427563e+00   6.44382105e+00   6.00000000e-01  -2.32822060e-01   1.03318294e-01   5.90630006e+00  -1.03108926e+00   3.71492189e+02   2.36425298e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
              77                3   2.43844596e+04   1.78828658e-01   1.26402985e-01   6.46960121e-01   5.80944748e+00   6.64105323e+00   6.00000000e-01   2.85695699e-01   1.19891288e-01  -1.17598622e+00   5.72761850e+00   2.33575914e+02   3.68151326e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
              78                3   1.69238386e+04   1.68073879e-01   1.79838316e-01   5.53438991e-01   9.23903480e-01   2.40210234e+00   6.00000000e-01   1.56912621e-01  -9.33336793e-02  -6.14575969e+00  -1.74268807e+01   1.53400135e+02  -3.58493819e+01   7.00000000e+14   4.00000000e+00   3.00000000e-01
              79                3   1.00520989e+05   1.43294881e-01   1.79929742e-01   1.44290461e+00   2.14221261e+00   3.73867027e+00   6.00000000e-01   8.55976935e-02   2.12981062e-01   6.19158686e+00  -8.16994316e+00   3.71905383e+02   1.04219907e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
              80                3   1.28885014e+04   1.95445469e-01   1.55598837e-01   1.87477542e+00   3.65242656e+00   2.44466245e+00   6.00000000e-01  -1.20525590e-03  -1.53441630e-01   1.38384020e+01   1.14900271e+01   4.90162754e+02   4.50510217e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
              81                3   1.78323627e+04   1.57460888e-01   1.60344981e-01   5.47636136e-01   5.32296416e-01   5.54648630e+00   6.00000000e-01  -1.41722037e-02   2.63812119e-01   5.21432226e+00  -4.42251472e+00   3.57267908e+02   1.71033944e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
              82                3   5.24953534e+04   1.93049121e-01   1.80154488e-01   1.50819076e+00   7.72708183e-01   2.35331021e+00   6.00000000e-01  -6.83782626e-02  -1.19383255e-01   1.70850957e+01   8.49321385e+00   5.40854089e+02   3.97855959e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
              83                3   2.01655854e+04   7.13210841e-02   1.40152743e-01   2.52824466e+00   5.47987438e+00   2.30095385e+00   6.00000000e-01   1.16167364e-01   1.43499138e-01  -9.42328077e+00   1.73827814e+01   1.01087627e+02   5.43183520e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
              84                3   2.55425354e+04   1.08235675e-01   1.47359486e-01   8.44958749e-01   3.47464029e+00   2.56512355e+00   6.00000000e-01   1.77466405e-01   9.42587081e-02   4.28343935e+00  -1.61774474e+01   3.30031671e+02  -2.12101861e+01   7.00000000e+14   4.00000000e+00   3.00000000e-01
              85                3   1.33591266e+04   1.02759129e-01   1.28363457e-01   5.14720330e-01   8.40253928e-01   2.83327685e+00   6.00000000e-01  -1.39843492e-01  -5.58480921e-02  -1.42795118e+01  -2.67255229e+00   4.16801184e+00   2.09273565e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
              86                3   1.45754499e+04   1.07407033e-01   1.21704273e-01   3.70531405e-01   2.84785105e+00   3.05852411e+00   6.00000000e-01   1.58408015e-02  -1.79415809e-01  -9.58966046e+00  -8.94289039e+00   8.39254410e+01   9.55646497e+01   7.00000000e+14   4.00000000e+00   3.00000000e-01
