NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
332,1481.4005,454.4411,19.12932,23.7958,2.225,2.06,5.72,9.24,4.055,0.074,-72.38,-8.889485e-05,0.0821843,62,0
333,2253.7896,439.9894,7.18864,24.8584,1.349,1.124,7.6,10.56,4.264,0.167,48.23,-1.766549e-05,0.0821843,9,0
334,1817.6189,460.0614,36.48267,23.0948,2.398,1.633,8.75,10.56,9.491,0.319,79.03,0.001977493,0.0821843,27,0
335,4150.4268,454.3095,18.38064,23.8391,2.815,2.01,6,8.58,5.328,0.286,4.9,-7.684802e-05,0.0821843,58,0
336,1759.1776,453.9152,20.26523,23.7331,2.411,1.987,6.19,7.92,4.859,0.176,-7.57,0.002026167,0.0821843,60,0
337,830.8219,440.231,2.645898,25.9436,0.994,0.348,7.63,8.58,2.395,0.65,44.83,0.0001932343,0.0821843,4,0
338,2308.2114,441.7591,2.618177,25.955,0.95,0.447,7.03,10.56,2.353,0.529,-45.66,-0.0001513953,0.0821843,5,0
339,664.6351,478.0606,65.21337,22.4642,3.352,3.087,4.92,6.6,4.888,0.079,-62.29,-0.0004379833,0.0821843,177,0
340,2505.3997,456.0022,12.91722,24.2221,2.148,1.691,5.82,5.94,3.882,0.213,-35.23,0.0007769592,0.0821843,43,0
341,1990.813,475.3466,46.12525,22.8402,3.904,2.833,5.59,7.92,6.448,0.274,-27.17,0.001345943,0.0821843,145,0
342,4068.886,450.7683,8.256722,24.708,1.558,0.741,8.51,10.56,4.503,0.525,41.34,0.0001159088,0.0821843,10,0
343,2357.1099,448.7619,6.170426,25.0242,1.295,0.756,8.08,10.56,3.994,0.416,-59.32,-0.0002999828,0.0821843,6,0
344,682.2447,462.0376,14.77158,24.0764,1.754,1.342,7.85,10.56,6.18,0.235,-61.42,-0.0002018149,0.0821843,24,0
345,2036.62,460.7737,9.606306,24.5436,1.642,1.019,7.41,10.56,4.526,0.38,-59.37,0.0007439072,0.0821843,14,0.002
346,3680.2737,455.3877,6.929859,24.8982,1.384,0.82,7.89,10.56,4.127,0.408,-16.44,0.0005090618,0.0821843,11,0.001
347,695.2357,458.9813,3.30686,25.7015,1.278,0.49,7.88,10.56,2.502,0.617,67.37,-7.885324e-05,0.0821843,5,0
348,4178.1489,467.4414,15.72367,24.0086,2.702,1.495,6.87,10.56,5.801,0.447,11.46,-0.0004860563,0.0821843,34,0
349,4169.7842,465.0732,8.910975,24.6252,2.01,1.183,6.8,9.9,4.154,0.411,-74.69,-0.0003685605,0.0821843,15,0
350,710.8004,452.5979,3.25119,25.7199,0.781,0.44,8.96,10.56,2.97,0.437,19.58,6.565477e-05,0.0821843,4,0
351,790.0062,474.0049,13.60601,24.1657,2.28,1.76,5.73,9.24,4.46,0.228,37.97,0.0002174021,0.0821843,42,0
352,1559.0214,492.2968,50.16567,22.749,3.875,3.035,5.47,7.26,6.036,0.217,55.05,0.0001324924,0.0821843,167,0
353,2356.887,468.9525,6.252995,25.0098,1.381,0.735,7.77,10.56,4.026,0.468,-60.6,-0.0004637097,0.0821843,7,0
354,4086.603,489.7919,21.39072,23.6744,2.474,2.388,5.45,7.26,4.658,0.035,86.61,0.0001154137,0.0821843,74,0
355,1747.7604,542.3361,168.5696,21.4331,4.751,4.66,4.17,5.94,6.315,0.019,-55.07,0.002392222,0.0821843,424,0.001
356,1944.4375,520.5505,45.02137,22.8665,3.705,3.162,6.44,10.56,8.307,0.147,74.48,0.003017759,0.0821843,117,0
357,2456.1072,486.7692,5.875984,25.0773,1.399,1.137,7.01,10.56,3.419,0.187,40.55,9.64005e-05,0.0821843,17,0
358,2152.77,514.0125,42.97321,22.917,3.018,2.903,5.08,7.26,4.855,0.038,-14.69,-0.0005823619,0.0821843,133,0
359,1723.2383,499.9301,23.5042,23.5721,2.433,2.231,6.1,10.56,4.999,0.083,13.19,0.001189333,0.0821843,71,0
360,1839.5974,576.687,663.1357,19.946,6.235,5.932,3.5,5.28,7.018,0.049,-40.24,0.003780859,0.0821843,951,0.027
361,521.0046,520.8903,37.54385,23.0637,3.337,3.123,5.81,8.58,6.571,0.064,89.44,0.002131628,0.0821843,120,0
362,558.9379,508.4297,22.41636,23.6236,2.705,1.671,7.45,10.56,7.007,0.382,-59.26,0.00102181,0.0821843,43,0
363,1317.7919,513.338,18.57148,23.8279,2.359,1.986,5.95,9.9,4.612,0.158,-80.22,-8.894628e-05,0.0821843,56,0
364,2487.1543,499.1712,5.892294,25.0743,1.254,0.827,7.98,8.58,3.597,0.34,-46.8,0.0004332216,0.0821843,7,0
365,708.8093,498.6324,2.794151,25.8844,0.756,0.445,7.75,10.56,2.635,0.411,17.61,-9.60766e-05,0.0821843,5,0.003
366,3984.4026,509.216,9.514532,24.554,1.775,1.303,6.95,10.56,4.412,0.266,-8.39,0.0004328458,0.0821843,18,0
367,3174.3271,522.4758,22.20141,23.634,2.561,2.198,4.91,8.58,4.366,0.142,-54.32,-5.058601e-05,0.0821843,74,0
368,867.5709,514.1042,12.83507,24.229,2.164,1.652,6.1,9.24,4.139,0.237,5.63,0.0001668679,0.0821843,44,0
369,4111.8545,504.1361,2.540249,25.9878,0.767,0.569,7.07,7.92,2.246,0.258,-41.1,0.0001753084,0.0821843,5,0
370,909.2479,504.0148,5.350499,25.179,1.881,0.701,7.11,10.56,3.489,0.628,3.83,0.0001818713,0.0821843,12,0
371,2510.5417,512.8632,7.935337,24.7511,2.046,0.723,7.64,10.56,4.087,0.647,43.33,0.0007472453,0.0821843,14,0
372,119.4586,512.3981,7.139321,24.8659,1.691,0.728,7.64,8.58,4.543,0.57,-81.15,0.0003728959,0.0821843,9,0
373,1597.879,529.6286,24.75179,23.516,2.915,2.554,6.06,5.94,5.537,0.124,66.92,0.0004353734,0.0821843,79,0
374,2036.9288,556.0807,17.43112,23.8967,2.131,1.934,7.14,10.56,6.004,0.092,-89.74,0.0006323315,0.0821843,35,0
375,3292.5398,532.5366,36.80806,23.0851,3.562,2.619,4.75,6.6,5.095,0.265,-3.05,-0.000912869,0.0821843,132,0
376,101.4032,507.8509,3.940342,25.5112,0.746,0.447,8.99,10.56,3.15,0.401,-70.17,0.0003306524,0.0821843,3,0.005
377,815.8594,520.2549,8.126456,24.7252,1.957,1.235,7.16,10.56,4.042,0.369,82.18,0.0001536065,0.0821843,15,0
378,2486.5361,528.0551,11.98269,24.3036,2.211,1.66,6.43,9.24,4.56,0.249,60.36,0.0003803018,0.0821843,32,0
379,1205.8004,526.0927,10.12507,24.4865,2.342,1.179,6.39,9.9,4.418,0.497,65.21,-0.0002794389,0.0821843,26,0
380,4139.5254,581.166,118.2002,21.8185,5.732,4.034,4.17,7.26,7.164,0.296,-89.1,0.0005676486,0.0821843,374,0
381,3.1395,524.7175,6.723402,24.931,1.66,1.28,6.73,8.58,3.277,0.229,-84.04,-0.0001720075,0.0821843,19,0
382,207.828,515.3326,2.123799,26.1822,1.248,0.409,6.36,4.62,1.987,0.672,-31.48,0.001034824,0.0821843,4,0
383,3210.3118,517.1907,3.644631,25.5959,1.018,0.573,7.5,9.9,2.813,0.437,18.97,9.549671e-05,0.0821843,5,0
384,297.1161,549.1278,43.17893,22.9118,3.221,2.955,4.13,7.26,4.671,0.083,-17.69,0.001651525,0.0821843,141,0
385,2663.1079,530.5554,12.23233,24.2812,2.221,1.159,7.28,10.56,4.791,0.478,-36.65,-3.940082e-05,0.0821843,26,0
386,1360.026,542.6281,12.81821,24.2304,1.765,1.08,8.15,10.56,5.485,0.388,-53.63,3.613558e-06,0.0821843,16,0
387,3220.6729,545.1289,29.99592,23.3073,3.004,2.33,6.78,10.56,7.136,0.224,65.74,8.351915e-05,0.0821843,59,0
388,2661.7393,526.9764,11.40155,24.3576,2.081,1.018,7.26,10.56,4.816,0.511,-18.93,5.197508e-05,0.0821843,23,0
389,248.8557,543.4487,13.98824,24.1356,2.463,2.015,5.15,8.58,4.398,0.182,-44.79,0.0009810803,0.0821843,50,0
390,1225.6432,536.5412,11.66751,24.3326,1.856,1.746,6.16,10.56,3.893,0.059,24.84,-0.000513611,0.0821843,37,0
391,1015.1528,572.4962,72.12704,22.3548,4.784,3.176,4.37,6.6,6.166,0.336,59.52,0.0003723883,0.0821843,228,0
392,1725.6194,545.7536,26.99557,23.4218,3.314,2.025,6.35,10.56,6.488,0.389,-18.1,0.001657279,0.0821843,72,0
393,3868.1311,545.1072,20.23668,23.7347,3.211,2.098,6.48,10.56,6.443,0.347,-20.07,0.0006851191,0.0821843,39,0
394,502.6276,562.8462,41.76572,22.9479,3.658,2.673,5.71,9.24,6.098,0.269,51.08,0.001797512,0.0821843,126,0
395,1766.4907,603.4631,188.1165,21.3139,7.712,4.788,4.58,7.26,9.247,0.379,-32.24,0.001721867,0.0821843,593,0
396,1438.8051,577.2731,84.42439,22.1838,3.909,3.772,4.22,7.26,5.695,0.035,11.51,9.822012e-05,0.0821843,251,0
397,2091.1904,564.7321,44.3557,22.8826,3.094,2.901,3.88,6.6,4.389,0.063,28.84,0.0001832014,0.0821843,141,0
398,995.9839,541.8881,4.60244,25.3425,1.228,0.852,6.87,5.94,2.888,0.306,51.15,0.0001779582,0.0821843,10,0.001
399,272.5536,543.3257,5.586304,25.1322,1.359,0.874,7.82,10.56,3.8,0.356,23.92,0.001465345,0.0821843,11,0
400,60.2456,546.4897,21.08872,23.6899,2.139,1.434,8.06,10.56,8.034,0.33,9.8,0.0002387423,0.0821843,25,0
401,3406.333,564.7877,21.98689,23.6446,2.751,2.446,5.21,9.24,4.912,0.111,-39.94,-0.000521132,0.0821843,78,0
402,2327.7007,596.364,137.44,21.6547,4.803,4.607,4.23,6.6,6.82,0.041,-2.02,0.00120997,0.0821843,385,0
403,2985.2593,558.3071,14.66859,24.084,2.189,1.851,6.12,10.56,4.497,0.154,-61.31,0.0006488445,0.0821843,43,0
404,2357.5225,553.5616,15.75429,24.0065,2.462,1.988,5.81,6.6,4.467,0.193,-2.99,-0.0002820401,0.0821843,52,0
405,2406.6392,546.8232,4.712483,25.3169,1.249,0.81,7,9.9,2.932,0.351,88.8,9.50385e-05,0.0821843,10,0
