NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
3649,3.020678,-1.2003,4.84,5.28,0.008908786,0.02767048,1402.6349,987.02,2.178,1.536,-31.74,0.294,0,3.119
3650,2.543798,-1.0137,6.44,3.5,0.00865311,0.02767048,3899.3247,989.3345,1.367,1.1,81.41,0.195,0.009,3.14
3651,0.8655608,0.1568,3.5,5.28,0.00952886,0.02767048,1799.0577,996.6048,1.486,0.771,-8.66,0.481,0.241,1.38
3652,0.653986,0.4611,5.6,5.94,0.008706902,0.02767048,1278.996,998.0154,0.783,0.571,-45.13,0.27,0.333,1.212
3653,3.783581,-1.4448,6.29,4.62,0.008593244,0.02767048,3828.4407,977.2454,1.932,1.374,41.86,0.289,0,4.387
3654,5.257752,-1.802,6.26,5.28,0.008272923,0.02767048,3013.2776,978.5109,2.577,2.077,-66.29,0.194,0,4.384
3655,6.686001,-2.0629,9.16,4.62,0.009201873,0.02767048,2436.2998,985.9922,1.711,1.15,-18,0.327,0,7.096
3656,0.8603498,0.1633,5.59,4.62,0.0083303,0.02767048,3506.7786,996.4406,0.986,0.721,87.94,0.268,0.027,1.299
3657,1.274833,-0.2636,4.95,7.26,0.008248973,0.02767048,3034.1123,994.9287,1.74,0.713,-39.16,0.59,0.007,2.385
3658,2.701184,-1.0789,5.64,4.62,0.009181282,0.02767048,2461.9558,970.1307,2.309,1.232,65.35,0.467,0,2.698
3659,1.314646,-0.297,3.5,3.5,0.008206099,0.02767048,3233.8835,995.0323,1.392,1.008,-43.5,0.276,0.016,2.366
3660,1.33569,-0.3143,8.67,3.5,0.008811485,0.02767048,1347.8102,1002.3995,0.757,0.451,-18.38,0.405,0.001,3.372
3661,2.315461,-0.9116,4.29,6.6,0.008576734,0.02767048,3807.8308,990.5457,1.904,1.154,-48.27,0.394,0.012,2.791
3662,0.658895,0.453,3.5,6.6,0.0082653,0.02767048,2927.8176,999.9008,1.107,0.518,34.91,0.532,0.018,1.556
3663,1.54942,-0.4754,4.47,7.26,0.009020897,0.02767048,801.7403,992.6002,1.495,1.234,22.28,0.175,0.004,1.958
3664,0.6340221,0.4947,3.5,5.94,0.008554483,0.02767048,3781.9714,1001.9974,0.905,0.531,45.09,0.413,0.122,1.296
3665,0.7753894,0.2762,3.5,7.26,0.00947231,0.02767048,2195.5107,1001.9474,0.786,0.5,-88.95,0.364,0.6,1.316
3666,0.958006,0.0466,4.43,3.5,0.009445257,0.02767048,1736.2649,993.7426,1.155,0.717,11.03,0.379,0.155,1.676
3667,9.262554,-2.4168,3.83,5.28,0.008973585,0.02767048,874.417,979.4731,3.402,2.184,-32.04,0.358,0,4.023
3668,0.6379028,0.4881,3.5,0,0.00822117,0.02767048,3379.9658,1002.0358,0.623,0.606,3.38,0.027,0.011,1.18
3669,0.8251882,0.2086,3.65,5.28,0.009034053,0.02767048,781.9043,999.3445,1.019,0.745,-72.51,0.27,0.009,1.198
3670,2.100322,-0.8057,5.58,3.5,0.009540137,0.02767048,1825.5707,991.598,2.232,1.065,-42.24,0.523,0,2.972
3671,1.301758,-0.2863,6.81,6.6,0.009297523,0.02767048,700.8883,1000.3123,0.96,0.684,69.44,0.288,0.003,2.512
3672,0.6073037,0.5415,3.5,4.62,0.008241904,0.02767048,3403.7981,1000.6026,1.095,0.808,20.11,0.262,0.013,0.986
3673,32.66121,-3.7851,4.96,5.28,0.009939599,0.02767048,545.9629,955.9226,3.978,3.738,-77.84,0.06,0.001,5.342
3674,1.382642,-0.3518,3.5,5.28,0.008939931,0.02767048,924.5107,996.97,1.649,0.821,54.23,0.502,0,2.432
3675,0.8843203,0.1335,4.16,5.28,0.009032734,0.02767048,784.2962,1003.8782,0.934,0.682,20.37,0.269,0.009,1.494
3676,7.998901,-2.2576,5.46,4.62,0.01028569,0.02767048,458.8131,958.1724,5.345,1.844,88.3,0.655,0,6.512
3677,5.426508,-1.8363,3.73,6.6,0.009013829,0.02767048,1458.5126,975.1346,3.305,1.884,63.44,0.43,0,3.947
3678,1.073,-0.0765,3.5,3.96,0.008201807,0.02767048,3204.2058,1005.0121,0.933,0.757,-1.98,0.189,0.069,1.975
3679,1.074889,-0.0784,5.53,4.62,0.008264379,0.02767048,2914.0371,1002.5117,1.047,0.67,61.96,0.36,0.049,2.133
3680,23.04114,-3.4063,4.76,5.94,0.0100309,0.02767048,520.6238,961.5385,4.356,3.083,-21.1,0.292,0,5.32
