NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
6681,2.445716,-0.971,4.63,5.28,0.002662704,0.02752947,987.0142,2503.3857,1.958,1.228,-62.28,0.373,0,2.992
6682,3.010842,-1.1967,5.36,3.5,0.002970365,0.02752947,2411.2925,2504.6633,1.923,1.318,73.37,0.315,0,3.672
6683,0.9914135,0.0094,5.29,4.62,0.002596653,0.02752947,3087.7437,2492.3594,0.97,0.652,-16.62,0.328,0.009,2.021
6684,1.635955,-0.5344,6.65,4.62,0.003020587,0.02752947,2330.3535,2501.5657,2.17,1.04,-53.73,0.521,0.051,2.61
6685,0.9949195,0.0055,3.9,5.94,0.00274994,0.02752947,1946.1229,2495.4937,0.918,0.679,54.17,0.261,0.058,2.224
6686,3.156267,-1.2479,6.87,5.28,0.002937513,0.02752947,2182.2729,2500.6313,1.984,1.264,-24.09,0.363,0,3.155
6687,0.959328,0.0451,6.37,4.62,0.002940387,0.02752947,2179.9224,2495.2036,1.143,0.922,-9.39,0.193,0.009,1.641
6688,1.02467,-0.0265,5.58,5.28,0.002622863,0.02752947,3535.6484,2501.9111,1.371,0.924,88.3,0.326,0,1.865
6689,5.319721,-1.8147,6.78,5.28,0.002899634,0.02752947,4152.2646,2505.9509,2.073,1.456,3.85,0.298,0,5.314
6690,0.8725416,0.148,3.5,3.5,0.002996688,0.02752947,2373.5095,2498.6799,1.261,0.635,47.74,0.496,0.01,1.639
6691,1.107442,-0.1108,3.5,5.94,0.002639624,0.02752947,1810.9205,2498.2881,1.301,0.782,29.77,0.399,0.001,1.814
6692,1.500421,-0.4405,8.54,5.94,0.002694164,0.02752947,3647.3323,2500.6663,1.514,0.745,-44.7,0.508,0.01,2.496
6693,1.383417,-0.3524,3.5,3.96,0.002853291,0.02752947,3969.3303,2504.4282,1.545,1.015,58.85,0.343,0.007,1.779
6694,0.6006988,0.5534,3.5,0,0.002742824,0.02752947,896.6129,2497.2249,0.752,0.451,-72.32,0.4,0.792,1.298
6695,9.997031,-2.4997,6.21,7.92,0.002702681,0.02752947,3621.0791,2546.1438,3.43,2.104,-50.56,0.387,0,5.601
6696,1.00669,-0.0072,3.5,5.28,0.002646916,0.02752947,3574.8291,2500.1511,0.914,0.897,31.68,0.019,0.008,1.728
6697,9.618659,-2.4578,5.23,5.94,0.002702539,0.02752947,1907.5116,2549.1902,2.53,2.217,-83.19,0.124,0,4.359
6698,0.5748076,0.6012,3.84,6.6,0.002683438,0.02752947,963.8403,2500.8496,0.764,0.568,46.62,0.257,0.016,1.259
6699,0.6093647,0.5378,5.44,0,0.002803007,0.02752947,2695.4858,2498.9854,0.802,0.5,89.51,0.377,0.01,1.212
6700,4.445421,-1.6198,5.07,5.28,0.002807549,0.02752947,3811.8901,2515.9585,2.342,1.79,68.24,0.235,0,3.365
6701,2.327907,-0.9174,3.5,5.28,0.00406755,0.02752947,45.7492,2516.5229,2.545,0.929,-78.22,0.635,0,3.197
6702,5.332389,-1.8173,5.86,4.62,0.00260667,0.02752947,3501.9209,2511.1902,2.364,1.745,37.94,0.262,0,5.015
6703,3.068505,-1.2173,7.15,6.6,0.002745784,0.02752947,2794.2673,2506.0906,2.866,1.012,-23.56,0.647,0,4.644
6704,4.756961,-1.6933,5.4,3.5,0.002907812,0.02752947,4174.9531,2523.2432,2.799,1.71,83.6,0.389,0,4.235
6705,0.6739873,0.4284,5.88,5.28,0.002524286,0.02752947,3250.8372,2500.1631,0.76,0.569,-45.18,0.251,0.021,1.31
6706,1.341699,-0.3191,5.68,4.62,0.002697842,0.02752947,3650.8997,2502.8682,1.052,0.757,76.32,0.28,0.003,1.841
6707,0.9166504,0.0945,3.5,7.26,0.002606582,0.02752947,1746.6912,2500.1155,0.887,0.602,58.86,0.322,0.004,1.814
6708,0.7486821,0.3143,4.39,4.62,0.004013966,0.02752947,77.8297,2498.3762,0.762,0.443,-18.4,0.418,0.028,1.405
6709,6.301197,-1.9986,5.2,3.5,0.002847806,0.02752947,3914.5891,2527.1672,2.753,2.27,40.62,0.176,0,5.034
6710,1.073271,-0.0768,3.5,5.28,0.002787323,0.02752947,829.3763,2508.0647,1.829,0.734,-33.21,0.599,0.01,1.68
6711,1.464454,-0.4142,6.95,4.62,0.002739575,0.02752947,3714.1416,2505.4626,1.767,0.508,33.28,0.713,0.004,2.993
6712,0.5754626,0.6,3.5,5.28,0.002969649,0.02752947,2224.4719,2503.0168,0.79,0.499,-87.77,0.369,0.968,1.004
6713,1.499196,-0.4396,8.19,3.96,0.003419019,0.02752947,428.2869,2505.304,0.967,0.766,-42.04,0.208,0.015,3.068
6714,0.876628,0.143,3.5,3.96,0.002904029,0.02752947,4169.062,2506.6614,1.048,0.752,-73.46,0.283,0.828,1.657
6715,1.056774,-0.06,6.27,5.28,0.00261759,0.02752947,1776.9811,2507.4785,1.041,0.663,-63.91,0.363,0.003,1.6
6716,0.9097818,0.1027,3.89,3.96,0.002908897,0.02752947,2514.8899,2505.8054,1.147,0.656,-20.94,0.428,0.364,1.656
6717,0.5901582,0.5726,3.5,6.6,0.002590235,0.02752947,3116.9385,2504.4666,0.787,0.498,2.23,0.367,0.009,0.904
6718,1.586281,-0.501,5.66,5.94,0.002885469,0.02752947,2134.3945,2520.854,2.039,0.831,74.17,0.592,0.003,2.327
6719,1.612995,-0.5191,4.21,3.96,0.002600021,0.02752947,3112.1182,2515.6099,1.372,1.109,-51.66,0.192,0.008,1.861
