NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
1,8893.15,-9.8726,3.5,3.5,0.004891382,0.025656,2912.5979,675.1573,18.993,15.049,-53.96,0.208,0.031,11.007
2,10496.23,-10.0526,3.5,3.5,0.00493176,0.025656,4024.594,337.0852,16.69,13.83,79.8,0.171,0.038,9.371
3,608.4977,-6.9606,3.5,4.62,0.005018679,0.025656,3347.1079,204.3644,10.641,7.394,85.27,0.305,0.029,7.944
4,806.572,-7.2666,3.5,4.62,0.004554617,0.025656,1632.2708,205.0683,9.386,8.469,-32.8,0.098,0.031,7.691
5,210.6755,-5.809,3.54,5.28,0.004462767,0.025656,2527.8315,110.4853,6.957,5.768,-75.66,0.171,0.029,6.506
6,15.46136,-2.9731,7.14,9.24,0.004536212,0.025656,2730.3782,23.6536,4.001,2.801,44.51,0.3,0,13.2
7,1415.022,-7.8769,3.5,3.96,0.004544938,0.025656,2753.7402,65.2838,10.829,8.058,64.78,0.256,0.032,7.495
8,148.1369,-5.4267,3.6,5.28,0.003684988,0.025656,184.3284,87.6536,7.887,5.145,27.84,0.348,0.028,7.041
9,16.31272,-3.0313,5.17,5.94,0.004556209,0.025656,2784.8853,54.7842,3.977,3.036,84.7,0.237,0,6.697
10,13.06855,-2.7906,5.62,5.94,0.004382777,0.025656,2307.7676,43.8166,3.837,2.76,55.38,0.281,0,6.229
11,267.3438,-6.0677,3.5,5.94,0.004381686,0.025656,2281.4329,64.5832,7.816,7.011,-40.52,0.103,0.029,7.25
12,90.45976,-4.8911,3.5,5.28,0.004787425,0.025656,710.5809,72.7306,5.302,4.716,80.5,0.11,0.029,5.288
13,29.31562,-3.6677,4.66,7.26,0.00512868,0.025656,3813.8179,55.2696,5.902,3.255,-28.42,0.449,0,5.976
14,183.3445,-5.6582,3.5,5.28,0.005149031,0.025656,3847.5747,54.6199,5.974,5.775,32.68,0.033,0.03,6.071
15,62.62449,-4.4919,3.51,5.94,0.005124481,0.025656,3868.0872,50.8421,4.251,3.713,56.36,0.126,0.029,4.391
16,6.561553,-2.0425,5.25,3.5,0.004561252,0.025656,2995.8679,33.2058,2.655,2.306,45.62,0.131,0,4.56
17,121.6925,-5.2132,3.5,5.28,0.004383546,0.025656,1791.3884,50.0573,7.005,4.875,49.33,0.304,0.028,6.291
18,98.84557,-4.9874,3.5,5.94,0.004887832,0.025656,1055.4756,72.9404,5.829,4.976,-84.93,0.146,0.028,5.728
19,35.65303,-3.8802,4.81,5.94,0.004585124,0.025656,3377.7761,23.8519,5.411,4.309,-23.8,0.204,0,7.958
20,9.077287,-2.3949,5.25,5.94,0.004566524,0.025656,3364.5859,22.6565,2.668,2.623,13.61,0.017,0,4.915
21,1.803512,-0.6403,3.5,5.94,0.004591763,0.025656,3404.1096,12.5314,2.316,1.118,-67.12,0.517,0,2.183
22,440.6939,-6.6103,3.5,4.62,0.004646381,0.025656,3409.1392,34.3744,8.485,6.854,-26.28,0.192,0.03,6.982
23,34.31311,-3.8387,4.24,5.94,0.005064934,0.025656,3758.7288,43.6652,4.108,3.619,-12,0.119,0.001,4.789
24,14.64496,-2.9142,4.54,5.94,0.004518364,0.025656,597.2444,41.9538,3.195,3.138,55.39,0.018,0,4.503
25,18.96171,-3.1947,4.59,9.24,0.003534626,0.025656,158.9897,42.3196,3.733,3.256,65.75,0.128,0.001,5.586
26,17.45273,-3.1047,5.77,6.6,0.004577029,0.025656,3007.6912,48.9131,5.203,2.646,70.96,0.491,0,7.187
27,39.14649,-3.9817,3.5,5.28,0.004423863,0.025656,2421.2197,64.7409,3.714,3.519,-67.67,0.052,0.028,3.961
28,17.70275,-3.1201,4.2,5.94,0.003453827,0.025656,125.9788,38.5539,4.283,3.14,15.13,0.267,0,5.215
29,7.730098,-2.2205,5.31,6.6,0.003227753,0.025656,28.4041,36.9092,4.158,1.789,-88.88,0.57,0,5.374
30,9.520455,-2.4466,4.35,5.94,0.003928794,0.025656,337.6874,36.501,3.25,2.965,-44.66,0.088,0,4.475
31,6.147024,-1.9717,4.18,5.28,0.003758285,0.025656,261.3979,38.9646,3.009,2.342,81.89,0.222,0,3.452
32,15.13977,-2.9503,4.28,5.28,0.004562744,0.025656,3143.8335,37.047,3.467,2.842,50.69,0.18,0,4.323
33,12.7681,-2.7653,3.5,5.28,0.004552047,0.025656,3149.9443,30.5408,3.116,2.659,-11.81,0.147,0,3.818
34,58.41732,-4.4164,3.5,5.28,0.004895223,0.025656,829.2753,29.3387,4.579,3.688,29.11,0.195,0.028,4.449
35,4.357611,-1.5981,3.5,6.6,0.004598216,0.025656,1557.1898,37.0121,2.676,1.99,-70.42,0.257,0,3.203
36,33.07898,-3.7989,3.5,5.28,0.004855233,0.025656,1212.6469,29.9344,4.342,3.835,-54.02,0.117,0.001,5.009
37,10.83519,-2.5871,3.5,5.94,0.004496581,0.025656,2621.0901,28.4109,3.462,2.72,57.28,0.214,0,4.524
38,11.64716,-2.6656,3.5,6.6,0.004784748,0.025656,1351.4757,31.1432,3.01,2.62,-20.6,0.13,0.006,3.322
39,4.110192,-1.5347,3.94,5.94,0.004559922,0.025656,2984.2188,30.7819,2.623,1.731,56.52,0.34,0,2.992
40,5.850338,-1.918,3.5,4.62,0.004850798,0.025656,1221.333,21.9735,2.335,1.988,34.05,0.149,0,3.441
41,6.233875,-1.9869,3.92,4.62,0.004869156,0.025656,4076.0457,28.7958,2.667,2.206,68.52,0.173,0,3.499
42,4.413428,-1.6119,6.23,5.28,0.005059521,0.025656,3762.8604,20.2115,2.877,0.991,51.63,0.655,0,5.793
43,89.40284,-4.8784,3.61,5.28,0.005038697,0.025656,3751.1733,8.3812,4.724,4.637,-17.19,0.018,0.031,4.938
44,18.10815,-3.1447,3.5,6.6,0.004878923,0.025656,968.1172,24.1918,3.704,3.124,29.52,0.157,0,4.458
45,3.594513,-1.3891,3.62,6.6,0.005103918,0.025656,3797.4934,27.0311,2.453,1.728,69.04,0.295,0,3.319
46,124.3839,-5.2369,3.5,5.28,0.003918356,0.025656,351.1188,10.6376,5.402,4.689,-44.09,0.132,0.03,5.191
47,2.61898,-1.0453,5.8,4.62,0.004977084,0.025656,3701.3918,14.1876,1.625,1.145,17.66,0.296,0,2.953
48,7.974215,-2.2542,3.5,5.94,0.004979568,0.025656,3697.2488,23.677,3.062,2.829,-38.49,0.076,0.001,4.162
49,7.600764,-2.2021,3.5,3.5,0.004556968,0.025656,1599.2969,21.5078,4.289,2.456,48.65,0.427,0,4.219
50,25.83337,-3.5305,3.95,6.6,0.00488694,0.025656,888.2885,22.0636,4.764,2.723,8.84,0.428,0.001,4.586
51,1.809988,-0.6442,3.58,4.62,0.004718171,0.025656,4198.8208,24.6903,2.056,0.966,-78.13,0.53,0.003,2.292
52,21.85645,-3.3489,3.58,5.94,0.004720626,0.025656,4197.2354,12.2556,3.737,2.681,-82.47,0.283,0.026,3.424
53,10.84838,-2.5884,4.6,4.62,0.005127566,0.025656,3817.1921,20.6728,5.224,3.119,27.62,0.403,0,5.416
54,5.546764,-1.8601,3.5,7.26,0.004515407,0.025656,1644.7136,22.2364,2.602,2.349,-1.46,0.097,0,4.127
55,27.57122,-3.6011,3.98,5.28,0.004545523,0.025656,617.2556,16.6334,4.721,2.766,-47.95,0.414,0.001,4.821
56,4.702069,-1.6807,3.5,4.62,0.004868224,0.025656,1057.0996,21.0366,2.901,2.06,13.51,0.29,0,3.318
57,12.49099,-2.7415,3.53,4.62,0.004844606,0.025656,4095.9136,17.6358,2.926,2.412,-72.86,0.176,0.001,3.281
58,1.107005,-0.1104,3.5,8.58,0.003769608,0.025656,280.1577,21.4763,2.022,0.622,73.48,0.693,0.001,2.353
59,15.0488,-2.9438,4.11,5.94,0.004835812,0.025656,1280.4341,3.6476,3.923,2.183,0.35,0.444,0.001,3.672
60,3.028121,-1.2029,3.5,4.62,0.004690633,0.025656,1449.9171,18.938,1.942,1.833,16.29,0.056,0,2.813
61,47.11324,-4.1829,3.5,6.6,0.003517918,0.025656,179.7897,11.2936,3.912,3.826,80.7,0.022,0.028,4.365
62,3.550953,-1.3759,7.3,3.5,0.004783058,0.025656,1345.7745,16.2596,1.762,0.998,-67.33,0.433,0.003,5.344
63,70.92168,-4.6269,3.5,5.28,0.004464326,0.025656,1700.4456,5.7785,4.656,3.766,-0.43,0.191,0.032,4.561
64,7.552719,-2.1953,4.63,5.94,0.004536708,0.025656,3027.2925,12.0183,2.801,2.061,22.9,0.264,0,3.722
