NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
1,0.6775513,0.4226,5.07,4.62,0.009320568,0.02600285,1368.1608,2.3968,0.766,0.441,19.82,0.424,0.611,1.277
2,0.584316,0.5834,7.86,9.24,0.009334226,0.02600285,1398.7629,2.5931,0.745,0.455,18.38,0.39,0.077,1.224
3,0.945555,0.0608,7.38,7.26,0.00990625,0.02600285,2663.5876,2.194,1.023,0.386,5.13,0.622,0.022,2.003
4,1.039652,-0.0422,7.22,5.28,0.01003731,0.02600285,503.9868,2.9953,0.913,0.528,-45.15,0.422,0.037,1.87
5,1.2183,-0.2144,5.6,4.62,0.01003731,0.02600285,655.5681,2.6319,1.207,0.963,27.08,0.203,0.017,1.815
6,0.8042735,0.2365,7,8.58,0.0100382,0.02600285,280.6151,4.8039,0.772,0.442,71.25,0.428,0.001,1.719
7,1.168715,-0.1693,8.21,3.96,0.009499206,0.02600285,1919.1797,4.816,0.777,0.572,-45.05,0.264,0.902,2.285
8,0.6486807,0.4699,3.5,4.62,0.009771611,0.02600285,2544.7371,4.8537,1.058,0.524,36.09,0.505,0.009,1.124
9,0.867582,0.1542,4.4,5.28,0.01008147,0.02600285,3001.4492,5.0194,1.058,0.66,-27.03,0.377,0.007,1.626
10,1.019457,-0.0209,8.49,8.58,0.01008147,0.02600285,3183.4709,5.0097,0.805,0.499,-88.7,0.38,0.081,2.065
11,0.9183343,0.0925,3.5,3.5,0.009304288,0.02600285,1267.869,3.1159,1.617,0.845,12.06,0.478,0,1.643
12,0.8807266,0.1379,3.5,4.62,0.01008137,0.02600285,3311.6584,3.6714,1.176,0.563,43.98,0.521,0.848,1.777
13,0.6547972,0.4597,4.57,6.6,0.009562508,0.02600285,1093.582,6.7799,0.756,0.449,70.45,0.406,0.09,1.217
14,0.9788152,0.0232,3.5,4.62,0.009500378,0.02600285,2078.5071,6.9829,1.201,0.494,-25.97,0.589,0.013,1.759
15,1.280191,-0.2682,5.17,5.94,0.01007361,0.02600285,2810.2568,5.6613,1.134,0.905,54.38,0.203,0.005,2.029
16,0.8030542,0.2381,3.5,3.5,0.01009829,0.02600285,3837.1187,6.3256,0.945,0.692,-68.81,0.268,0.004,1.857
17,0.7657306,0.2898,5.27,7.26,0.009460625,0.02600285,1163.0802,5.8957,1.496,0.757,32.97,0.494,0.003,1.792
18,1.431361,-0.3894,4.66,3.96,0.009499154,0.02600285,2244.7146,6.2455,1.734,0.964,20.22,0.444,0.01,2.539
19,0.9235555,0.0863,8.42,3.96,0.0095026,0.02600285,2142.1301,9.8586,0.848,0.674,45.68,0.206,0.004,1.994
20,0.8489469,0.1778,6.85,3.5,0.0100418,0.02600285,664.785,12.6019,0.757,0.45,18.4,0.405,0.995,2.27
21,2.875299,-1.1467,5.4,3.5,0.009685026,0.02600285,2470.4329,3.1863,1.674,1.522,-12.39,0.091,0,2.909
22,4.796001,-1.7022,5.48,3.5,0.009303476,0.02600285,1324.5721,2.5427,3.692,1.45,1.32,0.607,0,5.006
23,0.8750308,0.1449,6.95,5.94,0.009503898,0.02600285,1944.2537,10.9745,0.661,0.62,-0.45,0.061,0.651,1.527
24,1.233377,-0.2277,6.14,3.5,0.009938968,0.02600285,3912.7532,6.9252,1.414,0.612,55.42,0.568,0.059,2.372
25,3.119273,-1.2351,3.5,7.92,0.01005419,0.02600285,3861.4368,5.6667,2.098,1.456,15.82,0.306,0,3.15
26,1.599987,-0.5103,5.18,5.28,0.01008137,0.02600285,3065.2261,3.725,1.747,1.091,67.03,0.376,0,2.305
27,5.291558,-1.809,4.01,6.6,0.009853684,0.02600285,893.5807,3.0567,4.394,1.604,1.45,0.635,0,3.893
28,1.994364,-0.7495,5.66,4.62,0.00964578,0.02600285,2433.7231,6.4604,1.518,1.26,39.47,0.17,0.003,2.436
29,0.6976212,0.391,5.35,4.62,0.009483822,0.02600285,1739.7965,13.0584,1.045,0.662,-60.17,0.367,0.602,1.577
30,1.283087,-0.2706,3.5,3.5,0.01008258,0.02600285,2838.3748,15.9068,1.671,0.593,-9.1,0.645,0.008,3.841
31,0.7474251,0.3161,8.26,7.26,0.009588684,0.02600285,1081.1709,18.3869,0.769,0.442,19.03,0.426,0.073,1.68
32,1.278951,-0.2671,6.56,3.96,0.009391008,0.02600285,1529.5925,6.2302,1.272,0.948,71.48,0.255,0.048,4.321
33,0.6935797,0.3973,5.13,5.28,0.009506808,0.02600285,2049.4863,14.5425,1.073,0.5,89.97,0.534,0.045,1.461
34,3.010471,-1.1966,7.89,3.5,0.01004135,0.02600285,643.1673,12.0006,1.613,0.997,23.06,0.382,0.011,4.86
35,1.931646,-0.7148,3.5,3.5,0.009406435,0.02600285,1569.4445,5.2012,2.254,0.98,-52.05,0.565,0,2.892
36,0.8460244,0.1815,3.5,3.5,0.009330901,0.02600285,1253.7572,11.0864,1.669,0.604,60.16,0.638,0.009,1.833
37,0.9912471,0.0095,3.5,6.6,0.009884372,0.02600285,2641.2917,15.4522,1.537,0.631,29.43,0.589,0.007,1.748
38,2.443682,-0.9701,8.56,3.5,0.01008596,0.02600285,3458.4524,16.5242,1.134,0.873,-45.34,0.23,0.006,4.076
39,4.032341,-1.5139,3.57,3.5,0.009346628,0.02600285,4181.2563,3.7111,2.479,1.771,29.91,0.286,0,2.914
40,1.014782,-0.0159,3.5,4.62,0.01004269,0.02600285,752.6923,15.2447,1.176,1.096,-78.3,0.068,0.002,1.799
41,1.116729,-0.1199,5.52,6.6,0.009508577,0.02600285,2297.3015,17.5077,1.001,0.993,-89.86,0.008,0.218,1.919
42,1.03028,-0.0324,3.5,5.28,0.01008228,0.02600285,3263.0129,12.8282,1.569,1.178,-73.78,0.249,0,1.504
43,1.958394,-0.7298,3.88,4.62,0.009505106,0.02600285,2094.4973,13.3217,1.376,1.226,-88.88,0.109,0.008,2.482
44,1.879755,-0.6853,3.5,5.94,0.01003955,0.02600285,680.4238,8.1893,2.238,0.996,85.5,0.555,0,2.741
45,0.8873013,0.1298,4.35,6.6,0.01008288,0.02600285,2919.314,18.7326,0.955,0.76,50.95,0.204,0.35,1.631
46,0.6731409,0.4297,3.5,5.94,0.01008278,0.02600285,3195.4563,18.4267,1.147,0.537,-50.89,0.532,0.254,1.476
47,1.950325,-0.7253,6.3,3.5,0.009508423,0.02600285,2037.7919,16.9288,1.307,1.256,-60.04,0.04,0,2.373
48,1.049315,-0.0523,3.5,4.62,0.01004449,0.02600285,226.9619,19.2464,1.229,0.849,-29.59,0.31,0.008,1.499
49,0.7738588,0.2783,3.5,3.5,0.009510951,0.02600285,1977.8965,19.5307,1.137,0.578,62.97,0.492,0.079,1.713
50,2.846478,-1.1358,7.04,8.58,0.00938584,0.02600285,1222.0017,21.7554,1.361,0.69,7.85,0.493,0.014,5.701
51,3.561678,-1.3791,4.84,5.94,0.0100409,0.02600285,416.1952,11.1886,2.443,1.46,-38.67,0.402,0.001,4.284
52,1.477164,-0.4236,3.5,5.94,0.01008258,0.02600285,3310.0957,15.6686,1.583,0.87,-47.17,0.451,0.013,2.249
53,0.8549149,0.1702,5.77,3.5,0.01008308,0.02600285,3311.6685,20.6607,1.027,0.881,47.37,0.142,0.006,1.339
54,0.6070069,0.542,5.66,4.62,0.01008348,0.02600285,3285.7605,25.3848,0.743,0.454,-17.29,0.389,0.115,1.251
55,2.541551,-1.0127,8.11,10.56,0.009501044,0.02600285,2129.437,8.4452,1.954,0.778,-67.41,0.602,0.001,5.119
56,2.376698,-0.9399,3.5,4.62,0.009336676,0.02600285,1248.3328,6.6476,2.609,1.515,-44.05,0.419,0.001,3.29
57,2.500139,-0.9949,8.72,7.26,0.00950304,0.02600285,2281.856,10.6328,1.461,0.874,68.66,0.402,0.01,4.694
58,3.297385,-1.2954,3.5,5.28,0.01009011,0.02600285,3596.1377,8.8031,2.106,1.856,70.79,0.119,0,2.929
59,0.7702633,0.2834,3.5,3.96,0.01008227,0.02600285,2815.9517,24.0184,0.797,0.786,-83.28,0.014,0.028,1.388
60,1.186882,-0.186,5.71,6.6,0.0100894,0.02600285,3603.8875,20.3165,1.246,0.644,66.12,0.484,0.027,2.154
61,1.535027,-0.4653,5.13,3.5,0.009779781,0.02600285,951.652,22.7139,1.122,0.95,-16.83,0.153,0.011,2.119
62,0.6860575,0.4091,3.57,4.62,0.01008984,0.02600285,3648.0364,25.0127,0.802,0.786,-69.28,0.019,0.418,1.281
63,17.75573,-3.1233,3.5,5.94,0.009285192,0.02600285,1281.0176,3.3707,4.335,2.349,-15.78,0.458,0,4.347
64,1.277292,-0.2657,7.5,4.62,0.009811967,0.02600285,3968.864,23.6639,1.178,0.827,-10.52,0.298,0.001,1.944
65,0.9568158,0.0479,5.27,5.94,0.009515794,0.02600285,1943.2714,26.3994,0.975,0.642,18.04,0.341,0.904,1.88
66,1.976809,-0.7399,3.5,3.96,0.009321866,0.02600285,1344.5905,16.2583,1.815,1.13,-86.73,0.377,0,2.729
67,2.404445,-0.9525,7.79,3.5,0.01004539,0.02600285,455.4086,20.6364,1.524,1.067,-14.95,0.3,0,3.132
68,1.057107,-0.0603,7.47,4.62,0.009556171,0.02600285,1106.157,23.5358,1.094,0.48,-48.42,0.562,0.962,2.258
69,0.7538848,0.3067,3.5,5.28,0.009512667,0.02600285,2253.1826,23.4825,0.985,0.724,-89.59,0.265,0.088,1.279
70,2.223306,-0.8675,3.5,3.5,0.009988109,0.02600285,806.876,16.9895,1.872,1.304,-77.26,0.304,0,2.579
71,1.90862,-0.7018,4.58,5.28,0.009507811,0.02600285,2285.0813,17.1111,1.75,0.881,-62.27,0.497,0.001,2.681
72,0.9954664,0.0049,3.5,5.28,0.009386609,0.02600285,1494.6479,19.2741,1.484,0.594,83.22,0.6,0.044,1.868
73,2.978724,-1.1851,7.5,3.5,0.01009387,0.02600285,3804.7942,21.4121,1.771,1.138,-8.02,0.357,0,4.482
74,2.624479,-1.0476,4.35,5.28,0.01004269,0.02600285,446.4226,15.3186,2.991,1.181,4.4,0.605,0,3.015
75,0.9376294,0.0699,3.5,4.62,0.00946827,0.02600285,1677.6686,25.6771,1.227,0.703,-45.94,0.427,0.009,1.865
76,0.6960793,0.3934,7.99,4.62,0.009469564,0.02600285,1683.1873,25.4982,1.078,0.734,-48.38,0.32,0.113,1.125
77,1.116768,-0.1199,3.5,6.6,0.01008838,0.02600285,3578.2202,25.8043,1.555,0.911,18.83,0.414,0.01,2.151
78,0.8624861,0.1606,3.5,6.6,0.01008379,0.02600285,2880.7388,28.1348,1.089,0.522,-36.05,0.521,0.104,1.624
79,2.780323,-1.1102,3.5,5.94,0.0100409,0.02600285,520.4185,10.6388,2.265,1.483,69.59,0.345,0,2.57
80,2.632186,-1.0508,7.34,4.62,0.01009115,0.02600285,3705.6628,23.6675,1.498,0.843,-52.58,0.437,0,4.75
81,2.015708,-0.7611,5.82,5.28,0.009360767,0.02600285,1445.9774,11.9919,1.589,0.891,49.23,0.439,0.005,2.79
82,1.116684,-0.1198,5.9,3.5,0.01008927,0.02600285,3636.2346,27.9197,1.039,0.654,-60.84,0.371,0.004,2.322
83,0.7509087,0.311,4.61,4.62,0.009507249,0.02600285,4107.147,29.8665,0.845,0.672,44.5,0.205,0.141,1.351
84,4.672647,-1.6739,3.5,7.26,0.01004,0.02600285,597.5456,9.2343,2.663,2.115,-52.51,0.206,0,4.197
85,1.833716,-0.6583,3.5,5.94,0.009899732,0.02600285,3930.2935,15.4015,2.247,1.33,45.97,0.408,0,2.197
86,2.379299,-0.9411,6.69,4.62,0.009514374,0.02600285,1874.334,23.6174,1.422,1.385,19.65,0.026,0,3.133
87,1.491182,-0.4338,6.24,3.5,0.01004898,0.02600285,458.3939,28.6159,1.141,1.001,46.89,0.123,0.007,2.759
88,17.03592,-3.0784,3.71,5.28,0.009793651,0.02600285,936.0013,6.2749,3.507,2.648,-12.57,0.245,0.001,3.789
89,1.527328,-0.4598,4.76,4.62,0.01008834,0.02600285,3561.2058,21.2534,2.234,1.028,33.52,0.54,0.007,2.658
90,0.8011081,0.2408,4.53,7.26,0.009839445,0.02600285,3955.9126,29.6836,0.945,0.676,-66.25,0.285,0.127,1.494
91,1.900923,-0.6974,6.77,5.28,0.009374063,0.02600285,1447.7612,28.4167,1.458,1.087,-10.7,0.254,0,2.914
92,4.85801,-1.7161,3.67,5.94,0.01008178,0.02600285,3294.5388,8.083,2.772,2.089,-54.93,0.247,0,3.442
