NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
15183,0.6677011,0.4385,3.5,3.5,0.01025318,0.02591185,4069.6755,4066.2026,0.913,0.772,-11.01,0.155,0.001,1.668
15184,0.9349725,0.073,6.22,7.26,0.01104507,0.02591185,3965.8455,4024.8789,0.86,0.672,-44.28,0.218,0.011,2.116
15185,1.275494,-0.2642,6.11,5.28,0.01175898,0.02591185,934.4991,4080.4492,1.099,0.982,44.37,0.106,0.012,1.913
15186,16.77755,-3.0618,3.5,5.94,0.01145518,0.02591185,632.1254,4007.6243,4.232,3.828,47.09,0.095,0,5.644
15187,0.6297919,0.502,3.5,3.96,0.01290369,0.02591185,995.6722,3501.033,0.741,0.658,80.05,0.111,0.102,0.881
15188,2.516695,-1.0021,3.5,6.6,0.01173471,0.02591185,1434.7228,4094.8008,2.707,1.218,0.84,0.55,0,3.108
15189,1.031153,-0.0333,4.01,3.5,0.01193071,0.02591185,2167.467,4018.2827,1.49,0.94,-78.93,0.369,0.001,1.752
15190,3.355442,-1.3144,3.5,3.96,0.01147261,0.02591185,3817.366,4021.458,2.801,1.868,-80.58,0.333,0,2.87
15191,1.2114,-0.2082,5.09,3.5,0.01125885,0.02591185,3723.729,4050.8723,1.458,0.681,17.13,0.533,0.012,1.894
15192,1.785258,-0.6293,4.95,3.5,0.01146451,0.02591185,3553.4878,4022.7556,1.593,1.213,-48.35,0.238,0.001,2.824
15193,1.363776,-0.3369,3.5,7.26,0.01169047,0.02591185,3820.2988,3991.4526,1.373,1.081,-50.27,0.213,0.001,2.007
15194,8.840387,-2.3662,4.03,4.62,0.01269491,0.02591185,1514.4471,3450.3032,3.246,2.42,55.33,0.254,0,4.267
15195,1.820833,-0.6507,7.24,4.62,0.01123905,0.02591185,3297.4722,4057.5134,1.704,0.796,-32.07,0.533,0.012,2.801
15196,4.883193,-1.7218,6.12,5.28,0.01212793,0.02591185,1410.3339,3967.3254,2.116,1.77,-39.85,0.163,0,3.618
15197,2.893049,-1.1534,5.07,5.28,0.01017507,0.02591185,402.1375,4015.3206,2.593,1.743,84.69,0.328,0,3.624
15198,1.380271,-0.3499,3.5,5.28,0.01064858,0.02591185,4065.8118,4032.0022,1.75,0.64,11.08,0.635,0.018,2.482
15199,22.78911,-3.3943,3.95,5.28,0.01102382,0.02591185,596.5219,4039.1948,3.573,3.245,-36.55,0.092,0.003,4.031
15200,1.112577,-0.1158,8.45,3.5,0.01113233,0.02591185,3671.0298,4068.999,0.806,0.778,52.39,0.035,0.037,2.148
15201,0.8503402,0.176,7.89,3.96,0.01257194,0.02591185,2403.7739,3518.3865,1.177,0.685,-49.33,0.418,0.04,1.821
15202,0.5782693,0.5947,4.51,4.62,0.00853363,0.02591185,183.7693,4045.4075,0.746,0.453,-18.69,0.393,0.056,1.111
15203,9.569285,-2.4522,8.22,5.28,0.01187435,0.02591185,2715.9224,3984.0042,2.673,1.731,28.18,0.353,0,11.065
15204,7.21227,-2.1452,3.94,5.94,0.0116853,0.02591185,2566.8601,4026.8701,2.745,2.142,-20.25,0.22,0,3.493
15205,0.9889994,0.012,5.11,7.26,0.01169428,0.02591185,2599.1123,4023.3611,1.071,0.741,76.22,0.308,0,1.96
15206,1.835369,-0.6593,6.21,4.62,0.01208881,0.02591185,1015.2847,3996.9099,1.575,0.953,-84.94,0.395,0.002,2.832
15207,1.927847,-0.7127,5.15,6.6,0.01173079,0.02591185,1185,4061.9902,2.84,0.893,-82.32,0.686,0,3.139
15208,3.44245,-1.3422,6.23,3.5,0.01163835,0.02591185,3188.0571,4003.8184,1.982,1.631,-50.33,0.177,0,4.525
15209,14.19005,-2.88,4.09,5.94,0.01130914,0.02591185,2727.4719,4082.9219,3.395,2.923,-51.02,0.139,0,4.506
15210,2.159316,-0.8358,3.5,5.28,0.01201238,0.02591185,837.0548,4033.7419,1.64,1.45,12.21,0.116,0,2.445
15211,0.7867097,0.2605,3.5,4.62,0.008829871,0.02591185,215.9339,4037.7244,1.158,0.715,80.77,0.383,0.006,1.305
15212,56.64111,-4.3828,3.5,4.62,0.01182948,0.02591185,2505.884,4000.7893,3.781,3.515,-22.06,0.07,0.029,3.86
15213,1.209807,-0.2068,6.86,4.62,0.01149166,0.02591185,3164.113,4027.1255,0.834,0.674,-44.96,0.192,0.011,2.746
15214,2.866827,-1.1435,3.5,7.92,0.01221607,0.02591185,864.186,3987.343,2.512,1.258,67.23,0.499,0,3.088
15215,0.9419823,0.0649,4.28,4.62,0.01205742,0.02591185,1033.1144,4002.2722,1.133,0.782,29.77,0.31,0.002,1.41
15216,6.308109,-1.9997,3.7,6.6,0.01219383,0.02591185,288.1175,3475.8091,3.773,2.215,-85.29,0.413,0,4.064
15217,3.929164,-1.4858,3.5,4.62,0.01163238,0.02591185,726.4791,4063.9255,2.19,2.046,-35.36,0.066,0,3.132
15218,18.35789,-3.1596,3.5,7.26,0.01236841,0.02591185,1637.0126,3907.1409,3.438,3.051,59.22,0.113,0,4.816
15219,68.54586,-4.59,3.61,6.6,0.01276481,0.02591185,3364.3477,3765.1555,5.093,4.42,17.12,0.132,0.022,5.521
15220,2.727566,-1.0894,7.15,5.28,0.01139419,0.02591185,2482.0344,4097.4956,1.769,1.259,7.4,0.288,0.001,3.448
15221,3.903757,-1.4787,5.06,9.9,0.01251351,0.02591185,504.7448,3564.6392,2.44,1.45,-45.82,0.406,0,3.586
15222,3.311004,-1.2999,3.5,5.28,0.01211951,0.02591185,2040.2811,3985.9902,2.12,1.909,-62.67,0.099,0,3.545
15223,1.515444,-0.4513,3.79,5.28,0.009753077,0.02591185,317.9857,4012.7202,1.585,1.137,40.69,0.283,0.002,2.115
15224,1.001762,-0.0019,6.87,5.94,0.01132095,0.02591185,2621.606,4092.7764,1.155,0.811,79.5,0.298,0.007,1.839
15225,0.8175835,0.2187,3.5,6.6,0.01087325,0.02591185,3972.3591,4041.4446,1.009,0.686,-31.19,0.32,0.011,1.695
15226,3.936833,-1.4879,5.54,5.28,0.008397985,0.02591185,44.9971,4008.2942,2.247,1.761,-66.96,0.216,0,3.391
15227,2.30916,-0.9086,3.5,4.62,0.0117722,0.02591185,1174.712,4053.1177,3.391,1.471,-37.91,0.566,0,3.948
