NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
1039,29.45451,-3.6729,3.5,5.94,0.002386556,0.02568904,167.2284,398.4649,5.762,3.004,72.8,0.479,0,5.665
1040,20.84763,-3.2976,3.5,5.94,0.002827553,0.02568904,2641.8774,387.5966,5.408,3.084,28.27,0.43,0,5.423
1041,6.02606,-1.9501,5.43,4.62,0.002789667,0.02568904,1391.4563,360.6691,3.306,2.152,-68.13,0.349,0,3.971
1042,5.548378,-1.8604,6.77,5.94,0.002788137,0.02568904,1464.9872,351.0422,2.061,1.841,18.05,0.107,0,3.882
1043,1.243481,-0.2366,3.5,3.5,0.00299048,0.02568904,3245.4058,343.3455,1.623,0.802,-77.28,0.506,0,1.996
1044,2.520986,-1.0039,3.5,4.62,0.002762925,0.02568904,761.5645,343.7641,1.937,1.331,-10.17,0.313,0.001,2.627
1045,7.332458,-2.1631,3.5,6.6,0.002793012,0.02568904,2409.135,362.7958,2.756,2.476,-69.71,0.102,0,3.274
1046,1.318113,-0.2999,3.5,4.62,0.002780687,0.02568904,2203.8406,344.9014,2.118,0.865,-26.74,0.592,0.001,2.672
1047,0.7136835,0.3662,3.5,5.94,0.002785643,0.02568904,1972.8644,337.1422,0.824,0.669,44.49,0.188,0.011,1.237
1048,9.552369,-2.4503,3.5,5.94,0.002852411,0.02568904,2828.6211,375.8242,3.195,2.539,75.03,0.205,0,3.845
1049,4.102654,-1.5327,5.65,7.26,0.002904807,0.02568904,2979.9316,388.1248,2.331,1.582,-62.07,0.321,0,3.437
1050,21.67693,-3.34,3.6,4.62,0.002806602,0.02568904,2502.6814,372.5848,3.205,2.943,71.5,0.082,0.008,3.565
1051,1.965604,-0.7337,3.5,4.62,0.003019821,0.02568904,3782.022,352.2618,2.38,1.121,78.3,0.529,0.009,3.36
1052,0.8716682,0.1491,7.3,8.58,0.002824153,0.02568904,2688.8552,337.8431,0.839,0.681,-44.5,0.189,0.875,2.013
1053,2.879468,-1.1483,3.59,3.96,0.003019821,0.02568904,3721.6677,350.9239,1.96,1.74,-37.76,0.112,0,2.967
1054,1.794641,-0.6349,4.16,4.62,0.002546415,0.02568904,468.8961,343.8695,1.464,1.145,-29.91,0.218,0.018,1.591
1055,1.174368,-0.1745,3.57,3.5,0.002768583,0.02568904,785.7579,344.3047,1.427,0.729,65.42,0.489,0.001,2.251
1056,0.5368466,0.6754,7.48,8.58,0.002960622,0.02568904,3161.1758,336.382,0.768,0.442,18.75,0.424,0.015,1.243
1057,4.102351,-1.5326,5.42,3.5,0.002789017,0.02568904,1387.2909,358.9812,2.425,1.451,78.84,0.402,0,3.868
1058,3.200995,-1.2632,3.67,3.5,0.002686307,0.02568904,653.3752,356.2363,2.806,1.71,-5.55,0.391,0,3.719
1059,2.491426,-0.9911,3.5,6.6,0.002785915,0.02568904,2089.3306,355.5197,2.26,1.431,-72.98,0.367,0,3.044
1060,1.552951,-0.4779,5.22,3.5,0.002831978,0.02568904,2741.3176,345.1088,1.865,0.766,27.36,0.589,0.002,2.605
1061,2.314908,-0.9113,8.75,3.5,0.002787204,0.02568904,1955.4955,342.3409,1.081,0.828,-54.03,0.233,0.011,4.281
1062,1.426773,-0.3859,3.5,5.94,0.00282189,0.02568904,4140.3687,347.1665,1.977,0.78,42.67,0.605,0.005,2.722
