NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
1,7486.761,-9.6857,3.5,4.62,0.002764742,0.02758119,387.2056,454.1354,14.053,8.531,-42.6,0.393,0.574,11.366
2,748.6915,-7.1858,3.5,5.28,0.002710739,0.02758119,424.7239,166.0084,9.698,8.135,-47.08,0.161,0.034,9.751
3,87.89291,-4.8599,3.5,5.28,0.002172729,0.02758119,3513.6155,176.418,7.053,5.161,-21.82,0.268,0.001,7.397
4,162.366,-5.5262,3.5,5.28,0.002347734,0.02758119,2963.1658,129.9239,8.788,5.01,86.62,0.43,0.001,7.904
5,650.1531,-7.0325,3.5,5.28,0.002182559,0.02758119,795.1422,112.3115,7.597,6.395,74.98,0.158,0.038,7.494
6,151.1175,-5.4483,3.5,5.28,0.002326594,0.02758119,3260.1895,116.8102,7.016,5.773,-14.94,0.177,0.001,7.357
7,37.95039,-3.948,3.5,6.6,0.002336706,0.02758119,3134.3394,118.7902,4.188,4.057,-87.36,0.031,0.001,5.319
8,84.04342,-4.8113,3.5,5.28,0.002114677,0.02758119,3645.5195,103.1888,5.163,4.713,-28.1,0.087,0.001,5.864
9,52.2888,-4.296,3.5,5.28,0.002835278,0.02758119,2106.4119,91.7664,7.313,4.674,46.07,0.361,0,7.614
10,8.793733,-2.3604,5.28,5.28,0.002324749,0.02758119,3360.7239,76.8689,2.822,2.605,14.12,0.077,0,4.411
11,12.4643,-2.7392,4.41,6.6,0.002293054,0.02758119,3421.3279,57.265,3.535,2.937,-32.59,0.169,0,4.928
12,4.871295,-1.7191,3.65,6.6,0.002043184,0.02758119,3757.0168,68.4656,3.439,2.623,-60.35,0.237,0,4.453
13,73.80392,-4.6702,3.5,5.28,0.002864196,0.02758119,2177.0127,62.4664,5.066,4.275,-75.55,0.156,0.01,5.222
14,1211.147,-7.708,3.5,4.62,0.002908824,0.02758119,2199.5537,15.7134,10.803,8.518,-45.33,0.211,0.044,10.449
15,47.74093,-4.1972,3.62,5.28,0.001975029,0.02758119,3987.0781,51.6746,5.807,4.307,88.98,0.258,0,6.705
16,45.64597,-4.1485,3.7,5.94,0.002381482,0.02758119,1409.765,57.0008,5.769,4.2,-20.36,0.272,0,6.478
17,48.16583,-4.2068,3.5,5.28,0.002212494,0.02758119,1206.876,54.5471,5.309,4.274,70.75,0.195,0.001,5.627
18,343.5575,-6.34,3.5,5.28,0.002912442,0.02758119,2247.6296,11.8823,8.101,6.082,-61.99,0.249,0.029,7.983
19,327.0673,-6.2866,3.5,5.28,0.002874178,0.02758119,1917.9877,52.7822,6.876,5.814,-63.08,0.155,0.03,6.924
20,39.74914,-3.9983,4.23,5.28,0.002185392,0.02758119,798.9197,76.72,5.961,4.146,9.14,0.305,0,7.295
21,57.5054,-4.3993,3.51,5.94,0.002161438,0.02758119,3601.1531,51.907,5.358,4.452,-1.1,0.169,0.001,6.078
22,62.47048,-4.4892,3.5,5.28,0.002737194,0.02758119,1681.7604,47.1229,3.955,3.635,-0.49,0.081,0.029,4.259
23,9.013383,-2.3872,3.5,7.92,0.002280454,0.02758119,1330.176,53.3491,4.569,2.898,84.16,0.366,0,5.921
24,10.5628,-2.5594,3.55,5.94,0.002539986,0.02758119,538.0037,47.5166,3.8,2.922,77.27,0.231,0,4.872
25,27.09331,-3.5822,3.5,5.94,0.00237687,0.02758119,3153.3699,41.8372,3.736,3.322,84.75,0.111,0.001,4.386
26,31.2488,-3.7371,3.5,5.28,0.002742875,0.02758119,2448.7078,42.9455,4.804,3.94,-23.92,0.18,0,5.679
