id,x,y,luminosity_counts,xx,yy,xy,area_pixel
1,275.909471290931,7.18005946812515,93.4201270066165,25.9652360651104,18.0256829340503,0.443087733151953,767
2,994.220875040626,9.49609630836055,301.643532638187,42.6803445381989,40.1169720987302,3.92929004750218,1459
3,2198.90514456441,12.1513504537159,1066.80036554626,57.7510309282953,63.8245708115524,-16.6896093833958,4906
4,1916.99875837262,51.7084388532025,298.878063361145,26.7800063581306,32.2755344412831,-4.98277314926634,1618
5,1680.52030325689,46.2793309656243,56.6423470076246,11.8200344970075,10.2454102718957,-0.427776957322899,584
6,794.103421902581,111.211298151611,573.493309891887,28.8031250113661,38.2519769067576,2.89560722323512,2054
7,3644.47272385735,102.273979280704,76.1513026531742,22.4790187316339,21.3826316195828,-1.42139020107476,810
8,3259.62155932356,115.737663578937,132.805942134882,37.1973812902535,25.9801004129653,-3.81496287537641,1099
9,2962.25198019087,128.647825993319,142.891280295537,21.6524935989979,59.7574180642816,1.76432618984976,1348
10,1190.18558346679,128.734384311929,238.962770530582,26.6207313537478,32.1310651340906,-1.20603553553143,1382
11,1968.99380957352,144.889506580443,64.5934774111697,17.2954642977842,12.7827953486976,-1.85553319717812,1675
12,423.613066288079,165.056096579147,654.027140030439,55.4175282986824,52.7650846414251,-10.3112875918402,2728
13,3380.97760589615,177.656739298596,143.508577867424,29.4105372905503,32.4595487767086,1.11012166388465,1277
14,3796.75789650009,186.379577947694,86.512622341405,22.4120479955818,16.4766267369118,-1.9409928509403,826
15,1399.0615491269,187.56532299643,53.2675978583468,13.5758423636779,13.1182094391357,0.0595749271683182,637
16,1245.81610027202,201.517250089324,50.297959179797,11.971556869057,11.2771046023226,-0.389277029601067,568
17,895.564636774547,212.63958165337,66.6722396590176,10.4204559546791,10.6960294589419,0.548723392202928,696
18,1491.03380805303,215.585811832985,130.558192277373,25.6981791700318,25.7930250956832,2.27075624517373,1071
19,1804.47297468283,232.629835064694,97.0920024823756,23.626586854558,17.4778399070855,-0.811146078481557,871
20,310.386372236071,262.218012103751,165.257427965987,24.6384825099992,23.3379661968031,2.10219170500298,1169
21,3376.8157930614,261.776686746778,181.438200434577,51.2458713030935,31.8639626611666,-12.8966096672518,1757
22,1347.57687372886,286.127430700774,43.0181034570203,9.4885603694185,10.3653522078299,-0.175869784475092,514
23,1588.6965470421,288.086278849707,49.3357294370937,11.3470422779775,13.1593180838389,0.488183611958209,573
24,693.957525909615,320.783552289475,130.795374171088,41.7903174557465,28.2494182090783,12.1109001750903,1175
25,1966.23702329472,323.362388224794,401.875750673986,34.5759430321206,33.7957599436145,-2.7121393566168,1856
26,2042.06295489314,359.759240688466,2552.16270892591,42.688389131936,39.7039217265849,1.05567817936976,3609
27,2418.04400122704,361.82352977058,182.238818716236,35.6434835816551,29.2366908796389,8.96306748060658,1943
28,2975.80045949384,379.843447940184,406.73560888382,46.5073187042404,47.1001542963949,-5.57555660085218,2116
29,3162.71980828464,375.756042473567,176.584043848276,42.2839593232679,54.8279840294649,-22.3988786596131,1475
30,199.745869941886,394.861825109316,1167.56728885067,46.3931435782443,62.2874139215025,0.624138691932663,3788
31,3501.87121834858,418.169035579319,1333.95532798576,41.4790769074712,48.9752352667205,0.133730547577976,3249
32,386.233083847983,453.061472914189,6447.08296201279,81.2343359268656,71.256028882737,-34.4366611633006,8358
33,501.750534110215,424.717192057828,125.159847849876,27.5407777689307,28.7472638043422,5.42410251007208,1099
34,273.289837622805,427.712080126347,288.811986130261,30.7261908296906,38.0468061594764,-3.13868362700422,1607
35,1704.44752454887,441.426123347125,1014.31056627091,38.121921362581,37.7878894137588,-0.325332431578463,2719
36,3899.44949956962,463.663932666411,323.96669737891,39.3299293307451,66.2115253323145,-4.96054262718221,2143
37,663.706245039419,476.965519307996,56.7015047515126,12.8173831152963,14.8878701128523,-1.25434511483686,620
38,1931.07453056827,482.807397473178,100.90671075572,48.7508768135853,25.5485251819698,6.00729844001252,1099
39,1746.82649167125,541.170659204291,148.090796844689,22.9476342693115,23.0643270456473,0.297324262357381,1334
40,1838.69209099895,575.638893920686,594.0207313195,29.8782347731383,28.9702380056495,-1.21495480733344,1927
41,4138.50660089919,580.1270223377,106.455933762146,21.9571166955881,42.8723820525998,0.565055927308561,1051
42,1437.78885305851,576.338346821704,76.3014412397769,20.3566759447481,18.7400022869082,-0.484031149958315,792
43,2326.83318097226,595.291321263235,122.004767695334,27.7385758393394,27.0907767420006,-0.139677651949479,1019
44,1765.83392602648,602.182890009138,159.263881045787,57.6235981836327,40.8771463260479,-19.1623755778048,1515
45,1888.89741236421,626.439230801537,373.926960521335,29.27271895711,30.2608329881876,0.208502331069726,1682
46,117.711851862459,624.92459647999,230.147961351983,74.8203242970714,34.1963332886855,-10.7159703937681,1752
47,4110.55504001624,636.834566026003,89.1884970761057,22.4891497774738,22.3986514551893,0.839248893963581,850
48,2813.14443318056,643.345066111043,111.640838958782,38.8579355450447,30.6329930691981,-11.5658855073239,1061
49,260.665101234147,663.525787124983,247.459621455831,22.6315304738667,29.3487263194858,-6.22042500431559,1375
50,625.302437509387,661.409238033214,104.375542791102,22.4651338244171,20.3912712558334,-2.71606638430394,911
51,2587.99845467807,669.102822306512,68.7355840310107,18.0302889839968,20.2207247427898,-0.301927947831213,739
52,1016.15206597311,674.44533739833,122.170222964504,37.9248215317399,44.3989082131971,-8.07547774064406,1153
53,3569.02258097687,682.486825933612,266.506500820642,44.3425917597101,33.1521355511492,11.7621044126784,1621
54,164.632990143264,680.63502152698,62.4326482755552,10.392628781919,10.5761036892152,-0.765827030079976,594
55,1135.62768849318,698.417200591451,194.098355001452,32.7922499297431,30.7326066676812,-9.42625023738304,2064
56,2586.26805042226,719.910263524774,75.2490877809378,14.7611104052915,26.0653564586454,0.3292778797122,842
57,2088.23088338051,723.949621972595,3773.55606031777,87.0090206152329,101.730456195737,-47.8447787023423,6330
58,574.237613297892,736.462926608509,93.3891535566767,27.7265675517052,29.7389741954492,8.47968495840811,939
59,1937.00461299638,746.979809509205,93.4924556302793,27.6433757045254,25.4279057792314,0.279946830227181,931
60,3394.56121284391,773.153559777891,1109.04553230048,45.5981827618444,56.3239778340045,3.94073502156287,3160
61,2326.48044723023,766.842192649453,62.017375776668,10.8404655433649,11.3445249104847,-0.576386942661621,580
62,2403.062116103,835.038643429638,107.829423482109,30.2560231333571,33.3705945067104,-0.541900339228072,1048
63,125.626481516033,858.208880310747,364.754679151401,36.5671166249164,36.5109162846455,-1.10480719646576,1781
64,954.960728685403,874.63152863691,129.248215802753,75.050384340977,23.687039222383,3.79704045418597,1154
65,372.953235190868,882.039752650242,1745.05920831295,39.4285463838916,32.7725693500517,-2.56318069314787,2910
66,2791.26111090066,889.318158874552,47.8920776307978,10.3853213288115,10.6964917327087,-0.259174653007658,550
67,1290.88476616265,897.907916697989,47.7634293841438,10.0770005389134,12.1478817037938,-0.383326613354943,554
68,3438.15723833586,919.040963504334,475.674864898993,35.4430104329389,31.2775037940309,4.79087799999213,1978
