OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
740,3287.22,649.911,28.7,23.355,24,7.902,24.297,8.088,10.078,0.671,-77.422,0.004312,0.05479,1504,2.775
741,3332.009,620.032,7.0887,24.874,6.356,3.777,6.642,4.102,5.598,0.406,60.416,0.004146,0.05479,296,1.0449
742,553.547,623.177,5.9771,25.059,7.987,4.953,8.035,5.011,4.339,0.38,-65.228,0.00457,0.0546,355,1.215
743,2240.468,614.751,4.0895,25.471,5.009,2.747,5.155,3.041,4.266,0.451,-23.753,0.005244,0.05469,173,0.91658
744,3707.239,622.365,17.018,23.923,10.407,6.505,11.121,7.019,8.387,0.375,11.757,0.003993,0.05474,749,1.9732
745,685.435,645.127,65.851,22.454,18.766,9.635,20.522,11.678,19.044,0.487,-40.757,0.004643,0.05454,2003,3.3075
746,1626.825,642.241,46.625,22.828,10.149,8.289,12.843,9.796,17.141,0.183,57.035,0.004896,0.05468,1226,2.7372
747,1556.087,638.498,34.473,23.156,19.15,13.648,18.99,13.997,11.019,0.287,14.016,0.004877,0.05468,1851,3.6263
748,2012.024,624.301,6.5215,24.964,5.483,4.52,5.771,4.885,5.135,0.176,72.817,0.005341,0.05468,304,1.1021
749,515.668,636.913,45.598,22.853,13.788,8.543,15.403,9.625,15.778,0.38,-39.759,0.004562,0.05463,1479,2.8537
750,3751.442,620.857,2.9709,25.818,5.822,3.889,6.144,3.572,2.661,0.332,32.118,0.00399,0.05474,235,1.0724
751,3864.077,633.317,8.495,24.677,7.808,5.178,8.358,5.546,6.005,0.337,-73.649,0.004043,0.05472,378,1.2769
752,463.324,627.866,6.4854,24.97,10.613,3.802,10.729,3.903,4.406,0.642,41.403,0.004503,0.05467,422,1.3974
753,1478.427,632.521,13.743,24.155,13.215,5.253,13.522,5.425,7.095,0.602,39.81,0.004851,0.05467,698,2.0965
754,2504.247,636.245,20.215,23.736,11.631,7.852,12.346,8.154,8.776,0.325,23.357,0.005044,0.05467,997,2.4057
