        45     31.14604  -3.7335  3.84  5.94  0.008702939   1539.3708      7.9296     2.648     2.200 -68.54    0.169  0.000      3.310
        46      5.22736  -1.7957  6.76  6.60  -0.00866244   3278.8362     11.3392     1.502     1.041 -66.84    0.307  0.000      2.708
        47     7.785639  -2.2282  6.22  8.58  0.008899461    844.5604     11.3472     2.031     1.313 -12.12    0.353  0.000      3.417
        48     3.255257  -1.2815  7.07  5.28   0.01254308     26.5330     12.6513     1.110     0.643 -37.33    0.421  0.002      2.286
        49     30.53929  -3.7121  3.53  6.60  0.005355547   1454.5233      5.9082     4.061     2.758 -11.84    0.321  0.000      5.056
        50     76.11724  -4.7037  3.68  5.94  0.004826427   3633.5959      5.2005     2.730     2.366   2.20    0.134  0.028      3.029
        51     2.589611  -1.0331  8.10  5.28 -0.009588785   3318.5417     10.2848     1.006     0.478  80.86    0.525  0.000      2.347
        52     2.200619  -0.8564  7.85 10.56  0.003932546    366.3759     10.7739     0.765     0.445 -72.09    0.418  0.000      2.140
        53     12.34905  -2.7291  6.04  5.94  0.003210061   1900.8204      6.6385     1.794     1.559  87.60    0.131  0.000      3.450
        54     3.046073  -1.2094  5.03  7.26   0.02631201   2284.9624      6.4464     1.322     0.844 -67.72    0.361  0.001      2.342
        55     12.26977  -2.7221  3.50  7.26  0.005231598   1781.4009      3.5030     2.485     1.813 -11.76    0.271  0.000      3.107
        56     12.00949  -2.6988  4.03  6.60   0.01254726     35.6788      4.0607     2.449     1.586  20.79    0.352  0.000      3.115
        57     5.417749  -1.8345  3.50  6.60   0.00846676   4169.6152      4.0729     1.615     1.365  20.72    0.155  0.000      2.369
        58     3.573444  -1.3827  6.08  8.58  0.001756033   2790.9878      4.8497     1.554     0.749  48.84    0.518  0.000      2.394
        59     8.433899  -2.3151  4.90  7.92  0.009586543   2081.6365      3.7024     1.940     1.483  22.58    0.235  0.000      2.981
        60     4.652658  -1.6693  5.16  5.94  0.002524692   2812.0847      3.9290     1.542     1.142 -46.74    0.260  0.000      2.638
        61     11.52204  -2.6538  4.45  6.60  0.006037928   1379.5461      2.6607     2.196     1.407   4.10    0.359  0.000      2.719
        62     10.28425  -2.5304  6.55 10.56   0.01231091   1568.5433      2.3556     2.742     1.182  -2.15    0.569  0.000      4.764
        63     2.085058  -0.7978  4.41  5.28 -0.009885889   3309.5886      1.9756     1.163     0.851 -18.90    0.269  0.000      1.427
        64     4.080811  -1.5269  6.24  8.58  -0.01359344   3148.3142      2.4039     1.087     0.938 -47.14    0.137  0.000      2.059
        65     5.029459  -1.7538  6.40 10.56   0.03002942   2341.7927      2.1486     1.549     0.883  10.90    0.430  0.000      3.041
        66     4.752031  -1.6922  7.20  7.92  0.007699579    642.3924      2.3894     1.281     0.890   0.38    0.305  0.000      3.044
        67     4.261378  -1.5739  7.51  7.92   0.01236259   2626.8633      1.8086     1.203     0.648  13.18    0.461  0.001      3.524
        68     7.334363  -2.1634  5.94  7.92  0.004591439   3597.9221     21.1599     1.943     1.492 -37.21    0.232  0.000      3.795
        69     1.961463  -0.7315  7.01  4.62  0.004709461   2692.0371      1.3715     1.211     0.483  -0.34    0.601  0.000      1.962
        70     39.37553  -3.9881  4.97  7.26   0.01086689   1617.3573     51.3810     5.243     2.883 -38.47    0.450  0.000      6.774
        71     30.54976  -3.7125  4.20  5.94  0.003875547   1208.2378     37.3220     2.534     2.344  72.51    0.075  0.000      3.525
        72     2.319935  -0.9137  4.56  3.50  0.006596178    656.7628     15.2369     1.206     0.606  45.04    0.497  0.000      2.131
        73     155.3773  -5.4785  3.50  5.28  0.004869662     43.9681     58.4084     4.030     3.565 -32.17    0.115  0.026      4.507
        74     22.16351  -3.3641  4.43  6.60  0.007944338    909.6240     38.2539     2.632     2.221 -85.24    0.156  0.000      3.569
        75     11.94636  -2.6931  5.11  9.24 -0.005763137   2978.2036     29.2039     2.354     1.962  12.05    0.166  0.000      4.387
        76     4.259406  -1.5734  6.96  7.26  -0.01151236   3175.9033     21.9258     1.766     0.869 -47.39    0.508  0.000      2.918
        77     2.104412  -0.8078  7.66 10.56   0.01001961    957.7696     11.5933     0.760     0.452  18.47    0.406  0.000      2.034
        78     85.64883  -4.8318  4.11  6.60   0.01601191   2280.4871     53.2395     3.273     3.178  40.00    0.029  0.002      4.096
