NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
140,3898.5188,174.733,18.82472,23.8132,2.225,1.884,6.67,9.24,5.05,0.153,16.64,0.006662748,0.08209155,49,0
141,4178.8867,172.1085,11.30287,24.367,2.188,1.405,6.16,6.6,3.972,0.358,44.27,0.009225409,0.08209155,31,0
142,1045.4338,170.1202,11.5917,24.3396,1.593,1.491,6.66,8.58,3.753,0.064,20.13,0.007776094,0.08209155,29,0
143,2328.4436,194.1213,47.64092,22.805,3.215,2.699,5.97,10.56,5.987,0.161,55.13,0.01061099,0.08209155,121,0
144,3482.8584,164.6543,4.82749,25.2907,1.088,0.579,8.38,6.6,3.651,0.468,-57.02,0.008334627,0.08209155,6,0
145,4071.0769,197.1489,43.23267,22.9105,3.291,2.783,5.11,9.24,5.169,0.154,47.38,0.008767998,0.08209155,128,0
146,4113.0547,181.872,17.10881,23.917,2.409,1.865,6.2,9.24,4.737,0.226,-45.46,0.009099226,0.08209155,51,0
147,2993.9995,173.4095,7.244376,24.85,1.675,1.056,6.67,10.56,3.523,0.369,41.16,0.009402036,0.08209155,17,0
148,2916.822,168.3908,6.098614,25.0369,1.797,0.772,7.1,10.56,3.491,0.57,14.57,0.01268322,0.08209155,14,0
149,2937.7656,178.3388,11.06532,24.3901,1.762,1.532,6.42,7.92,3.718,0.13,8.1,0.01159717,0.08209155,32,0
150,3951.7056,169.0049,5.830989,25.0856,0.741,0.683,9.13,10.56,4.139,0.078,-85.97,0.007343712,0.08209155,6,0
151,1246.7345,202.9414,49.55508,22.7623,2.747,2.694,5.3,5.94,4.286,0.019,2.64,0.009203864,0.08209155,131,0
152,2328.3115,184.3022,20.99054,23.6949,2.451,1.392,7.77,10.56,7.457,0.432,9.6,0.01063242,0.08209155,34,0
153,3247.9202,283.2561,34.11322,23.1677,3.045,2.529,4.37,6.6,4.294,0.169,-76.13,0.008896622,0.08209155,117,0
154,4141.144,202.5608,26.83745,23.4281,3.411,2.245,5.9,8.58,5.686,0.342,-58.25,0.009225409,0.08209155,85,0
155,896.4645,213.7948,70.52381,22.3792,3.208,3.058,4.88,6.6,4.508,0.047,60.8,0.009441014,0.08209155,180,0.001
156,3114.5239,198.5087,21.91001,23.6484,2.509,2.317,5.47,5.94,4.217,0.077,-14.79,0.007727278,0.08209155,72,0
157,43.4126,190.3594,17.32155,23.9035,2.353,1.741,5.38,9.9,3.803,0.26,-3.72,0.005989285,0.08209155,52,0
158,3144.5566,187.3887,6.544596,24.9603,1.566,0.808,7.51,10.56,3.574,0.484,-19.24,0.008934391,0.08209155,12,0
159,2937.1006,222.1001,58.46645,22.5827,3.379,3.058,5.67,9.9,6.081,0.095,-15.3,0.01143216,0.08209155,159,0
160,1229.9626,191.3543,3.156403,25.752,1.417,0.651,6.36,6.6,2.402,0.541,-57.67,0.009749631,0.08209155,8,0.002
161,1452.6603,188.2918,4.424255,25.3854,1.167,0.567,7.97,9.24,3.129,0.514,-45.68,0.009507127,0.08209155,7,0
162,4190.1865,194.941,7.493841,24.8132,1.578,1.088,6.78,10.56,3.645,0.31,-51.16,0.009225409,0.08209155,18,0
163,1808.0981,191.7252,6.541959,24.9607,1.603,1.017,7.1,7.26,3.528,0.366,30.35,0.01041427,0.08209155,13,0
164,2282.76,195.2641,7.534972,24.8073,1.735,1.255,6.31,9.9,3.802,0.276,20.4,0.009420155,0.08209155,17,0
165,769.0308,190.0433,3.385646,25.6759,0.812,0.787,7.36,10.56,2.62,0.031,34.24,0.009355766,0.08209155,8,0
166,2043.1117,360.8635,2492.692,18.5083,8.948,8.635,3.5,4.62,7.453,0.035,21.21,0.0156074,0.08209155,2906,0.031
167,2383.978,201.3272,12.17214,24.2866,2.363,1.078,7.38,9.24,4.897,0.544,29.8,0.009070656,0.08209155,24,0
168,1940.0776,212.0838,20.66383,23.712,2.37,1.892,6.31,6.6,4.662,0.202,-85.45,0.01208659,0.08209155,56,0
169,346.8195,198.8094,7.347788,24.8346,1.555,1.247,6.94,9.9,3.526,0.199,-52.36,0.0127391,0.08209155,19,0
170,1198.705,220.25,57.45362,22.6017,3.697,2.567,6.78,10.56,8.585,0.306,-16.19,0.00986411,0.08209155,120,0
171,1388.6846,212.4889,17.91945,23.8667,2.438,1.913,6.41,10.56,4.894,0.215,64.2,0.008789817,0.08209155,55,0
172,387.5031,454.2478,6483.989,17.4704,16.791,9.31,3.5,3.96,9.761,0.446,-38.3,0.03673836,0.08209155,6308,0.031
173,1907.1008,219.9995,20.64107,23.7132,2.343,2.211,4.9,7.26,3.814,0.056,48.52,0.01380126,0.08209155,67,0
174,1535.1208,209.2482,7.119363,24.8689,1.611,1.022,6.98,9.24,3.743,0.365,-74.67,0.00903911,0.08209155,15,0
175,2525.0193,197.5027,3.33551,25.6921,0.799,0.5,8.55,7.26,2.958,0.374,-1.07,0.00602145,0.08209155,5,0
176,1331.3229,213.123,11.68108,24.3313,2.143,1.514,5.67,9.9,3.914,0.294,40.58,0.008718587,0.08209155,38,0
177,2469.0203,202.7763,3.628161,25.6008,0.811,0.494,8.63,8.58,3.084,0.391,-57.06,0.007772852,0.08209155,4,0.011
178,1705.3254,443.1414,994.7536,19.5057,7.759,7.137,3.6,5.94,7.232,0.08,88.38,0.01184309,0.08209155,1619,0.03
179,3377.749,262.8842,170.8105,21.4187,5.255,3.881,5.18,9.9,7.044,0.261,-26.76,0.009393681,0.08209155,381,0.001
180,2266.8022,209.77,6.761161,24.9249,1.184,1.046,7.4,10.56,3.921,0.117,2.68,0.008749137,0.08209155,16,0.001
181,311.6025,263.1731,152.2517,21.5436,4.17,4.048,4.61,7.26,5.544,0.029,35.06,0.0132868,0.08209155,344,0.001
182,3592.3372,213.1194,7.491307,24.8136,1.434,1.035,7.61,10.56,3.843,0.279,25.68,0.006647994,0.08209155,16,0
183,2403.1277,212.2986,4.6303,25.336,0.987,0.687,8.48,7.92,3.318,0.304,-68.99,0.008869507,0.08209155,7,0
184,1768.3076,246.6429,61.57386,22.5265,3.465,3.109,5.53,7.26,5.708,0.102,-51.93,0.00835597,0.08209155,170,0
185,3175.573,219.6244,11.3967,24.3581,2.022,1.104,7.41,10.56,5.045,0.454,30.28,0.009376405,0.08209155,24,0
186,1852.7329,228.7408,8.112671,24.7271,2.202,1.142,5.9,9.24,3.518,0.481,-72.44,0.01156416,0.08209155,29,0
187,3161.0098,219.3138,4.436862,25.3823,1.191,0.76,7.35,7.26,2.689,0.362,-87.76,0.009035706,0.08209155,9,0
188,2676.9844,216.8208,2.29966,26.0958,1.284,0.336,8.4,4.62,2.26,0.738,-64.15,0.006671439,0.08209155,5,0.001
189,3239.4028,216.7946,2.165681,26.161,0.769,0.446,7.63,7.92,2.027,0.42,-71.01,0.009087278,0.08209155,3,0
190,3901.7537,235.0801,26.67135,23.4349,2.268,2.129,6.27,8.58,4.898,0.061,81.62,0.00812002,0.08209155,65,0
191,1893.8356,240.5297,13.57365,24.1683,2.511,1.46,6.57,7.26,4.661,0.419,-55.07,0.01388218,0.08209155,35,0
192,1216.7672,228.7377,7.474057,24.8161,1.414,0.725,7.63,4.62,4.761,0.487,83.04,0.009214856,0.08209155,11,0
193,1213.5767,226.1888,9.506101,24.555,1.259,0.99,8.07,10.56,5.371,0.214,-68.85,0.009411342,0.08209155,11,0
194,2517.0469,247.822,27.74665,23.392,3.874,2.175,4.93,6.6,5.385,0.439,-20.04,0.007455131,0.08209155,92,0
195,904.1972,227.87,7.159726,24.8628,1.271,0.827,8.04,10.56,4.03,0.349,44.87,0.009198902,0.08209155,12,0
196,940.7922,237.7011,11.57057,24.3416,1.921,1.76,6.03,7.26,3.834,0.084,-3.17,0.00862103,0.08209155,37,0
197,1103.1332,235.8246,6.089171,25.0386,1.903,0.74,7.35,6.6,3.937,0.611,66.93,0.008097851,0.08209155,10,0
198,367.8971,254.5061,46.4125,22.8334,3.217,2.496,4.74,9.24,4.499,0.224,17.82,0.01339934,0.08209155,137,0
199,1035.1416,228.9327,2.933683,25.8315,0.856,0.671,7.18,4.62,2.443,0.217,47.68,0.008036608,0.08209155,6,0
200,3768.7834,232.5845,6.276511,25.0057,1.092,0.717,8.64,10.56,3.914,0.344,-50.48,0.006586956,0.08209155,9,0
201,1328.9783,233.5165,4.252448,25.4284,1.653,0.481,7.89,10.56,2.998,0.709,-34.29,0.008717268,0.08209155,8,0
202,1146.0105,230.9622,3.478409,25.6465,0.802,0.784,6.85,9.9,2.481,0.023,-57.39,0.008914247,0.08209155,8,0.005
203,2406.3999,247.7659,14.10024,24.1269,1.752,1.05,8.37,10.56,5.969,0.401,-23.84,0.009860224,0.08209155,19,0
204,1144.8391,246.4197,10.45423,24.4518,2.087,0.954,7.38,6.6,4.201,0.543,-38.68,0.007885039,0.08209155,21,0
