NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1652,2314.9329,1497.4996,38.55576,23.0348,2.835,2.626,4.61,7.26,4.086,0.074,-86.47,0.01209496,0.07637031,123,0
1653,3893.5264,1486.5497,21.70381,23.6587,2.402,2.255,4.75,6.6,3.914,0.061,47.03,0.01212035,0.07637031,73,0
1654,1008.5319,1471.8851,6.740533,24.9283,1.484,1.291,6.09,9.24,3.171,0.13,73.67,0.01144242,0.07637031,21,0
1655,2833.7378,1495.1396,47.13312,22.8167,3.813,2.449,5.44,10.56,5.321,0.358,29.14,0.01184779,0.07637031,147,0
1656,3366.0203,1473.2965,6.68164,24.9378,1.485,0.844,7.8,10.56,3.892,0.432,-30.46,0.01850926,0.07637031,13,0
1657,1219.869,1479.5364,9.297412,24.5791,2.139,1.498,5.3,7.92,3.351,0.3,20.76,0.0105327,0.07637031,37,0
1658,414.0771,1493.3761,28.33749,23.3691,2.653,2.392,5.34,7.92,4.437,0.098,42.66,0.01253556,0.07637031,92,0
1659,4154.2373,1471.246,6.291615,25.0031,0.943,0.645,8.64,10.56,4.111,0.316,-7.65,0.01143705,0.07637031,5,0.003
1660,1996.4329,1480.8732,9.43816,24.5628,1.747,1.376,6.71,10.56,3.418,0.212,-32.09,0.01081735,0.07637031,30,0
1661,3421.4895,1491.2212,18.44219,23.8355,2.249,1.766,6.81,10.56,4.85,0.215,84.17,0.01743454,0.07637031,50,0
1662,4040.6045,1503.1414,26.36421,23.4475,3.656,2.288,5.18,7.26,5.22,0.374,73.91,0.01271878,0.07637031,106,0
1663,934.6105,1489.6136,14.08537,24.1281,3.258,1.586,5.64,7.92,4.847,0.513,3.39,0.01068394,0.07637031,55,0
1664,354.2587,1501.1521,19.26399,23.7881,2.371,1.956,5.52,8.58,3.902,0.175,59.12,0.01463141,0.07637031,69,0
1665,320.2097,1480.6682,3.87786,25.5285,1.244,0.918,6.1,8.58,2.453,0.262,0.83,0.01653317,0.07637031,12,0.001
1666,1176.6317,1486.7554,9.860887,24.5152,1.862,1.51,6.43,8.58,3.709,0.189,-1.36,0.01091544,0.07637031,33,0
1667,183.5107,1504.8242,16.55632,23.9526,2.923,1.732,5.39,9.24,4.51,0.407,47.01,0.02035724,0.07637031,57,0
