NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
3632,25.43739,-3.5137,4.69,7.92,0.004014639,0.07602261,3922.2334,4083.8674,3.068,2.362,44.35,0.23,0,4.516
3633,18.14872,-3.1471,5.3,7.92,0.000727075,0.07602261,3555.7913,4077.8877,2.359,2.034,43.11,0.138,0,4.192
3634,3.617193,-1.3959,7.73,5.28,0.004929067,0.07602261,3014.1753,3093.3926,1.243,0.459,-66.88,0.631,0,3.08
3635,3.666258,-1.4106,7.44,10.56,0.00316876,0.07602261,726.1407,4064.533,1.326,0.664,-82.16,0.499,0,2.853
3636,13.91276,-2.8585,5.48,8.58,0.00228491,0.07602261,3055.2983,4030.0977,2.306,1.739,-15.51,0.246,0,3.526
3637,6.073644,-1.9586,8.26,10.56,0.003659935,0.07602261,1685.1842,4050.2317,1.365,0.788,28.4,0.423,0,3.64
3638,166.2232,-5.5517,4.38,6.6,0.001408644,0.07602261,1947.6594,4062.0938,6.503,5.488,39.33,0.156,0,8.729
3639,2.795341,-1.1161,7.02,10.56,0.002312918,0.07602261,3657.5977,4065.969,1.008,0.607,-34.19,0.398,0,2.523
3640,7.739002,-2.2217,7.75,10.56,0.003499011,0.07602261,3215.7615,3884.9685,2.264,0.507,26.66,0.776,0.001,4.561
3641,97.29006,-4.9702,4.14,6.6,0.005191792,0.07602261,743.2324,3854.6782,6.346,3.899,85.82,0.386,0,7.672
3642,4.625415,-1.6629,7.83,10.56,0.007051948,0.07602261,1578.703,3890.0012,1.087,0.861,-67.33,0.208,0,3.267
3643,9.807227,-2.4789,5.09,7.26,0.005294496,0.07602261,4026.0557,3895.6353,2.147,1.669,65.43,0.223,0,3.537
3644,5.61624,-1.8736,7.24,10.56,0.002164614,0.07602261,3778.0137,3880.7205,1.508,0.866,-70.26,0.425,0,3.476
3645,11.75557,-2.6756,5.89,7.92,0.002796814,0.07602261,3718.5884,3848.6926,2.072,1.737,46.48,0.161,0,4.134
3646,15.90955,-3.0041,5.96,9.24,0.003078934,0.07602261,459.2755,3892.9036,2.384,2.015,77.17,0.155,0,4.607
3647,17.61808,-3.1149,7.55,10.56,0.003904987,0.07602261,3274.967,3866.1958,2.199,1.594,6.41,0.275,0,6.634
3648,39.58439,-3.9938,4.77,6.6,0.003728444,0.07602261,2645.0415,3851.0752,3.018,2.927,53.29,0.03,0,4.57
3649,82.70675,-4.7939,4.01,5.94,0.00491394,0.07602261,3364.6562,3765.0928,4.712,3.866,-9.34,0.18,0,6.285
3650,19.48744,-3.2244,4.23,7.26,0.003656807,0.07602261,2855.4175,3941.9883,2.31,2.107,6.68,0.088,0,3.378
3651,159.7137,-5.5084,4.15,5.94,0.004322508,0.07602261,4080.7822,3928.7471,5.358,4.225,8.21,0.211,0,6.346
3652,26.98144,-3.5777,4.61,7.26,0.003306833,0.07602261,2140.1848,3948.3376,2.937,2.479,47.4,0.156,0,4.3
3653,6.592268,-2.0476,7.65,10.56,0.005298013,0.07602261,4090.6575,3887.7373,1.503,1.099,60.97,0.269,0,3.673
3654,4.036942,-1.5151,7.21,10.56,0.002907818,0.07602261,3188.5579,3942.5017,1.143,0.856,-77.6,0.252,0,3.123
3655,6.461783,-2.0259,8.16,3.96,0.003228337,0.07602261,3377.9727,3870.8511,1.358,0.858,75.1,0.368,0,4.397
3656,83.36222,-4.8024,4.18,6.6,0.001056447,0.07602261,528.2011,3807.208,5.409,3.881,40.87,0.283,0,6.914
3657,38.96867,-3.9768,4.25,6.6,0.001068907,0.07602261,3025.4727,3857.1475,2.757,2.687,-43.56,0.025,0,3.922
