NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
2289,2081.4978,3975.1404,39.45665,23.0097,2.71,2.613,5.99,10.56,5.389,0.036,-3.42,0.002440665,0.0815822,102,0
2290,2896.9438,3812.9285,11.03968,24.3926,1.596,1.294,6.89,10.56,4.066,0.189,-77.29,0.005637983,0.0815822,25,0
2291,2503.3499,3929.8262,13.49627,24.1745,1.807,1.726,5.86,6.6,3.536,0.045,-72.77,0.003745714,0.0815822,42,0
2292,688.9138,3890.3904,12.48497,24.259,1.587,1.44,7.53,10.56,5.595,0.093,-78.25,0.000863536,0.0815822,23,0
2293,1194.476,3739.0137,3.581834,25.6147,0.955,0.531,8.01,7.92,2.805,0.444,-15.66,0.002405765,0.0815822,2,0.766
2294,498.5549,3848.0337,10.80839,24.4156,1.701,1.638,6.53,10.56,3.973,0.037,-45.77,0.0004114243,0.0815822,32,0
2295,4031.949,3557.5027,5.182268,25.2137,1.249,0.708,7.74,10.56,3.789,0.433,-45.01,0.001528148,0.0815822,8,0
2296,3505.1755,3476.9434,5.203174,25.2093,1.221,1.002,7.06,10.56,3.135,0.179,-69.35,0.002128063,0.0815822,9,0
2297,2573.5547,3837.0496,17.58353,23.8872,2.299,1.908,7.11,10.56,5.803,0.17,42.09,0.003416101,0.0815822,42,0
2298,2439.4324,3354.3245,40.5733,22.9794,3.259,2.469,5.4,9.24,5.082,0.242,-14.46,0.00240135,0.0815822,122,0
2299,3207.5615,3458.8042,5.777536,25.0956,1.628,0.951,6.66,10.56,3.445,0.416,-87.61,0.003537973,0.0815822,12,0
2300,282.4867,3513.0171,6.472324,24.9723,1.936,0.705,7.57,10.56,3.395,0.636,-47.33,0.004409453,0.0815822,11,0
2301,57.5637,3625.6826,6.532048,24.9624,1.596,0.852,8.44,10.56,4.311,0.466,24.34,0.003484682,0.0815822,10,0.001
2302,1395.2289,3417.385,5.382396,25.1726,1.764,0.822,6.96,9.24,3.207,0.534,-60.76,0.00252527,0.0815822,11,0
2303,3162.229,3474.4351,6.874735,24.9069,1.6,0.976,7.56,10.56,3.607,0.39,68.13,0.003142293,0.0815822,13,0
2304,3460.1804,3482.7437,18.55836,23.8287,2.294,1.954,6.22,10.56,5.023,0.148,-83.24,0.002368089,0.0815822,51,0
2305,160.1701,3378.2839,162.7337,21.4713,4.832,3.78,4.53,6.6,5.787,0.218,-77.75,0.002278648,0.0815822,377,0.001
2306,772.7357,3388.3154,9.5082,24.5548,1.575,1.485,7.52,10.56,4.565,0.057,1.46,0.001080069,0.0815822,22,0
2307,4052.0459,3459.4531,18.745,23.8178,2.256,1.956,5.88,9.24,4.083,0.133,88.96,0.002599411,0.0815822,61,0
2308,1712.1946,3468.4048,123.0521,21.7748,4.348,3.999,4.79,7.92,5.972,0.08,48.8,0.00311364,0.0815822,319,0.001
2309,2196.2324,3478.3459,14.00706,24.1341,1.952,1.724,6.55,9.9,4.626,0.117,7.84,0.002119048,0.0815822,37,0
2310,2443.864,3942.5815,6.178756,25.0227,1.856,0.707,7.26,10.56,3.917,0.619,-29.24,0.004824521,0.0815822,13,0
2311,314.8457,3489.4243,227.8741,21.1058,5.595,4.628,4.13,6.6,6.174,0.173,-42.52,0.004379812,0.0815822,541,0.001
2312,3460.0178,3456.9988,4.604616,25.342,1.218,0.583,7.67,10.56,3.059,0.521,65.1,0.002388803,0.0815822,8,0
2313,689.907,3378.5291,7.471317,24.8165,1.821,0.83,7.62,7.92,4.064,0.544,-77.64,0.0008353738,0.0815822,11,0
2314,1733.5519,3855.8191,414.2028,20.457,6.232,5.87,4.12,6.6,6.983,0.058,60.84,0.001217185,0.0815822,864,0.015
2315,3368.4285,3503.6494,21.68259,23.6597,2.426,1.954,5.83,9.24,4.435,0.195,30.91,0.001924436,0.0815822,63,0
2316,3206.425,3409.1218,37.13343,23.0756,2.947,2.715,5.61,7.92,5.228,0.079,39.47,0.00428697,0.0815822,107,0
2317,1129.9436,3166.5679,9.840848,24.5174,2.221,1.288,6.59,9.9,4.089,0.42,36.12,0.0004810168,0.0815822,22,0
2318,686.7142,3404.1938,24.34725,23.5339,2.639,2.069,6,9.9,4.988,0.216,3.75,0.0008860978,0.0815822,71,0
2319,2518.051,3300.6799,3.73631,25.5689,1.4,0.7,7.19,6.6,2.652,0.5,-22.49,0.0021932,0.0815822,9,0
2320,4158.771,3380.1833,89.03653,22.1261,4.603,3.271,5.08,9.24,6.389,0.289,60.05,0.004397916,0.0815822,244,0
2321,633.4877,3382.0056,3.673495,25.5873,1.342,0.346,7.59,10.56,3.065,0.742,48.23,0.0005135986,0.0815822,5,0
2322,1709.4366,3363.5168,20.04969,23.7447,2.205,1.871,6.79,5.94,5.158,0.151,-83.91,0.00282855,0.0815822,50,0
2323,2111.1248,3474.7932,6.687329,24.9369,1.725,1.09,6.4,9.9,3.462,0.368,-49.74,0.001782404,0.0815822,18,0
2324,3339.9746,3294.0227,2.19788,26.145,0.917,0.525,6.31,9.9,1.915,0.427,43.86,0.005085343,0.0815822,4,0
2325,3113.5637,3099.6404,10.17237,24.4814,1.616,1.48,6.46,10.56,3.952,0.084,24.64,0.0007002768,0.0815822,26,0
2326,2833.96,3438.2378,23.99701,23.5496,2.397,2.031,6.08,10.56,4.64,0.153,35.22,0.001498015,0.0815822,66,0
2327,355.8234,3937.1172,8.094985,24.7295,1.507,1.204,7.22,10.56,3.831,0.201,1.58,0.002935445,0.0815822,19,0
2328,4182.0405,3326.2041,6.300605,25.0015,1.653,1.068,6.97,6.6,3.272,0.354,79,0.003572382,0.0815822,16,0
2329,3127.2346,3884.8352,5.932123,25.067,1.834,1.009,6.39,5.28,3.108,0.45,41.84,0.004210177,0.0815822,18,0
2330,854.9924,3441.4932,2.295592,26.0978,0.8,0.499,7.15,9.24,2.2,0.376,3.21,0.00143014,0.0815822,4,0.001
2331,305.1646,3395.5525,41.5363,22.9539,2.939,2.674,5.22,10.56,4.916,0.09,-24.92,0.001622999,0.0815822,121,0
2332,2843.2739,3457.5645,4.045552,25.4826,1.348,0.74,7.7,10.56,3.023,0.451,-34.11,0.001119633,0.0815822,9,0
2333,1656.6758,3374.6135,11.09991,24.3867,1.754,1.579,6.44,10.56,3.913,0.099,-70.27,0.002063399,0.0815822,29,0
2334,4003.9089,3410.5254,130.6909,21.7094,4.579,3.687,4.61,8.58,5.782,0.195,29.95,0.002776543,0.0815822,321,0.001
2335,732.9898,3386.8445,13.0733,24.209,2.616,1.269,6.74,5.94,4.649,0.515,89.55,0.001349019,0.0815822,39,0
2336,3164.4185,3452.114,9.04815,24.6086,1.758,1.268,6.7,9.24,3.745,0.279,14.95,0.003517866,0.0815822,23,0
2337,3072.0137,3374.3257,89.18903,22.1242,3.547,3.393,4.9,7.26,5.203,0.044,8.01,0.002299141,0.0815822,218,0.001
2338,832.6162,3450.4521,12.54257,24.254,1.463,1.421,8.11,10.56,5.454,0.028,88.62,0.001645622,0.0815822,16,0
