NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
4423,4.367539,-1.6006,6.3,7.26,0.009339018,0.07687208,899.1537,3377.0232,1.772,0.744,-43.68,0.58,0,2.645
4424,9.256224,-2.4161,4.91,7.26,0.0077263,0.07687208,2146.061,3126.8579,2.089,1.687,10.36,0.192,0,3.375
4425,12.90833,-2.7772,5.38,8.58,0.009650604,0.07687208,3038.1089,3176.9678,2.457,1.684,24.29,0.315,0,3.901
4426,67.89486,-4.5796,5.43,7.92,0.01127151,0.07687208,362.7973,3282.7651,4.521,3.919,8.81,0.133,0,7.453
4427,34.19215,-3.8348,5.03,5.94,0.00866064,0.07687208,1629.4409,3413.1331,2.785,2.37,-56.18,0.149,0,3.899
4428,6.838893,-2.0875,5.61,5.94,0.0129972,0.07687208,2724.8936,3440.8789,2.294,1.045,36.54,0.545,0,3.493
4429,82.7121,-4.7939,4.95,7.26,0.01061138,0.07687208,1906.72,3341.1504,5.137,3.653,23.5,0.289,0,7.373
4430,44.63588,-4.1242,4.17,6.6,0.01027072,0.07687208,3621.2043,3390.5166,3.23,2.579,-13.07,0.202,0,3.979
4431,11.84084,-2.6835,5.96,7.92,0.01112642,0.07687208,3317.4229,3388.5195,2.378,1.831,-77.58,0.23,0,4.541
4432,5.301912,-1.8111,7.84,7.26,0.01152289,0.07687208,3177.6069,3353.925,1.568,0.763,-78.6,0.513,0,3.503
4433,14.96235,-2.9375,6.59,10.56,0.01011619,0.07687208,3652.8391,3351.4202,2.011,1.707,-71.17,0.151,0,5.13
4434,24.1514,-3.4574,4.75,5.94,0.01179861,0.07687208,207.5284,3242.1448,2.696,2.271,-80.5,0.158,0,3.906
4435,7.357795,-2.1669,6.54,9.9,0.01039856,0.07687208,3251.0359,3435.3936,1.67,1.371,31.98,0.179,0,3.797
4436,9.542214,-2.4491,6.35,9.9,0.008686707,0.07687208,3807.0408,3373.582,1.796,1.336,-34.1,0.256,0,3.847
4437,4.845619,-1.7134,7.5,9.9,0.01088812,0.07687208,1780.8661,3376.5083,1.476,0.774,-39.13,0.476,0,3.26
4438,58.37623,-4.4156,4.2,5.28,0.00899548,0.07687208,4127.334,3396.9214,4.083,2.646,-22.6,0.352,0,4.764
4439,945.5512,-7.4392,3.52,5.28,0.009648396,0.07687208,3798.9653,3304.4609,10.186,6.599,23.92,0.352,0.001,9.75
4440,33.20568,-3.803,5.22,7.26,0.01158583,0.07687208,3291.7288,3370.9895,4.727,2.348,44.83,0.503,0,5.862
4441,16.35927,-3.0344,6.73,10.56,0.01316126,0.07687208,3438.9355,3340.4136,2.021,1.719,77.47,0.15,0,5.096
4442,4.846383,-1.7135,6.5,6.6,0.009729575,0.07687208,2839.8669,3383.9143,1.603,0.912,-26.18,0.431,0,3.063
4443,14.77205,-2.9236,6.55,10.56,0.00968624,0.07687208,210.7152,3304.7205,2.141,1.743,-42.51,0.186,0,4.758
4444,16.55155,-3.0471,6.43,10.56,0.008825632,0.07687208,3750.7107,3187.3813,2.1,1.928,-72.44,0.082,0,5.295
4445,5.5239,-1.8556,6.69,10.56,0.01028881,0.07687208,2910.1284,3396.9868,1.239,1.058,49.96,0.146,0,3.367
4446,31.16669,-3.7342,5.34,7.92,0.01040612,0.07687208,357.2359,3187.3223,3.023,2.674,45.09,0.115,0,5.528
