X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,XX_OUTPUT,YY_OUTPUT,XY_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.4257327425725,8.111,0.0600000000000001,-71.6,78.1902140505895,73.4988012075541,18054.3779766933,600.858496942191,2456.85065529134,16.5898955416004,46.1714989157995,49.8945812663012,-1.51980538070265,4675,0.4327156119586935
4024.7,337.0,16.8399216434812,8.934,0.2,78.6,89.9354631386117,71.9483705108893,20328.3350747991,4023.66337153818,336.05141664325,17.0094730263818,47.3883431939039,65.9839613032436,3.7303398405731,3575,0.44041230073852894
2912.7,675.0,16.9961889450301,11.472,0.25,-49.9,114.18895561226,85.6417167091951,30722.6970079638,2911.65395116312,674.058208862893,17.1750263601577,82.4982876767128,89.4257740442133,-20.204960872554,3549,0.45516452714160394
3266.9,1575.1,17.3664779471984,9.215,0.39,34.4,102.388504279019,62.4569876102016,20090.1003102662,3265.85909391787,1574.16476669826,17.5359095875106,72.778781415898,55.2044596516182,22.4484893356281,3805,0.4394817819597147
550.2,3450.1,17.4186720916456,10.633,0.17,-50.4,98.9582828508979,82.1353747662452,25534.7885848872,549.155905338915,3449.15413085859,17.5962385037654,72.2723474766529,76.7827646656626,-11.4322794916839,3565,0.45334293446053214
647.2,1664.5,17.7436581792963,7.921,0.18,-77.5,75.6757926198118,62.0541499482457,14752.9096220741,646.16061801013,1663.55898473467,17.9093264138287,40.2403933170944,53.3276948499232,-3.11288438257731,4615,0.43407125771902244
3643.5,1383.9,18.0403706312713,8.704,0.25,-46.9,84.1850197435097,63.1387648076322,16698.6273208061,3642.48852920946,1382.92156276026,18.207414920333,54.1385711958108,55.8401969218604,-12.6521423656046,4043,0.43684504432992344
620.5,1435.8,17.9510267010832,10.958,0.29,-25.9,105.999134620987,75.2593855809009,25061.8346772823,619.447137151542,1434.86263057174,18.130424332373,94.2829740452077,66.9191213001471,-18.0137615373309,5852,0.4563167398334555
2329.2,3768.1,18.1818857565448,7.129,0.24,-41.4,69.8065986277808,53.0530149571134,11634.7329500364,2328.16208839627,3767.14155559363,18.3420363637707,41.7158311522126,39.5070145983885,-8.40983364844104,3235,0.42711982985014507
111.1,2197.2,17.7839745750768,9.736,0.3,-81.0,97.5551809589289,68.2886266712502,20929.0054173938,110.031723618414,2196.12833976636,17.9479036214421,49.7579483154913,85.6936034034499,-5.77255964938806,3668,0.4461764402560616
3056.7,2544.2,18.5275050059928,10.521,0.18,37.4,91.5879292875716,75.1021020158087,21609.2754492717,3055.65376392392,2543.27545994986,18.7053820263174,76.8220677385215,70.1134028988888,11.2167658381654,5706,0.45224839251555493
3937.5,2567.8,18.6566934955946,10.649,0.27,28.9,97.1874501296136,70.9468385946179,21661.7285137884,3936.49522034771,2566.85168573435,18.8391112689599,86.3869191100949,65.5391423181872,16.3884986508933,4389,0.4576723330613467
3445.6,3793.3,18.6244886883348,6.618,0.18,-87.0,61.2596907253587,50.2329463947941,9667.48094839824,3444.57498064378,3792.34883955711,18.7833154581707,30.7277292004418,40.9466083450964,-0.618471894033447,2716,0.4232379117315314
1501.0,3817.4,18.6676745537213,6.956,0.26,8.9,67.1079351733339,49.6598720282671,10469.5820564768,1499.96716606815,3816.44332106136,18.8250315996818,47.8749059697156,31.2172868679595,2.60630624877808,4482,0.42227562903586524
1175.1,1775.5,18.6062137358946,6.563,0.27,18.9,64.5400914590715,47.1142667651222,9552.82640606506,1174.07908786146,1774.54021153275,18.7660817648107,42.5859855295527,29.4962313162102,5.03135133577273,2981,0.4251674641741499
1513.2,1693.8,18.4256424922128,8.619,0.16,44.6,76.8922278424794,64.5894713876827,15602.4948194647,1512.16276903869,1692.84921867508,18.59554857528,53.2443903540606,53.2066737461284,7.17689152921101,4250,0.44120890578780153
2753.8,65.1,18.976807254764,6.826,0.33,65.2,67.9812049237334,45.5474072989014,9727.52579712067,2752.90058634886,64.1031168631285,19.1286405833176,32.8972872661276,46.5097080926093,8.89068640616913,2496,0.40537102333083014
3132.7,919.9,18.9597712082106,7.501,0.37,-82.5,76.0651035064347,47.9210152090539,11451.4727321584,3131.65489467245,918.909304911298,19.1198467099755,30.6255476793973,60.9647028779615,-3.80316508843416,3071,0.4306313897837211
2087.6,2687.9,18.8965626805247,10.47,0.14,-76.9,86.7778967002815,74.6289911622421,20345.415480385,2086.59600681784,2686.98898696496,19.070875196108,64.7071003819665,80.4512585803515,-3.65379656911609,4223,0.44165373531726904
3568.6,3363.0,18.8503484308254,6.908,0.32,30.4,68.7522639703358,46.7515394998284,10097.9401653139,3567.56060092431,3362.03821657893,19.0144044912323,44.7247813652138,34.0967035294366,9.44657992821375,3069,0.43345218423174103
1685.4,1520.5,18.9407149956968,7.872,0.03,70.8,63.9570705917172,62.0383584739657,12465.1851687154,1684.35701282598,1519.55380445186,19.1082107875019,44.3917620784546,46.4058233091646,0.590137177368622,3107,0.43765937510515085
1685.8,1217.0,19.0377777735941,8.453,0.46,64.5,90.4568361861151,48.8466915405022,13881.1810964667,1684.7793966046,1215.98293591508,19.1942560410075,42.3957031340737,76.2377133625629,20.4994097427976,3404,0.42542661559855033
843.0,2935.6,18.9915880556174,8.979,0.44,-30.1,93.7952244868955,52.5253257126615,15477.4480162447,841.938149211641,2934.65676433196,19.1612446829815,77.3079152345351,49.9950474484832,-24.0553935764579,3188,0.44252647280410246
3871.6,2828.5,19.0760158306085,6.942,0.22,57.8,63.4905028341494,49.5225922106365,9877.84048682795,3870.60587147268,2827.53395755845,19.2335448946531,35.8132010377357,41.8499859976419,6.4822044039657,2632,0.4196791300433676
1037.7,530.6,19.126817041069,7.59,0.07,0.5,62.5164632765183,58.1403108471621,11418.8304093807,1036.62377773894,529.640775850261,19.2858891644953,45.8786510369248,41.2427264268548,-0.385082980830213,2920,0.42935334799264663
3540.4,1141.3,19.0452644421051,6.571,0.1,-25.2,56.5178502648905,50.8660652384014,9031.57829363868,3539.37711946596,1140.30366774774,19.2051014634548,37.2094287590548,32.9991485164251,-2.20577116613191,2689,0.42865591851013585
1632.3,205.0,19.5247802511991,7.975,0.13,-23.1,65.5435039905931,57.022848471816,11741.6312172266,1631.26275485904,204.065708614468,19.7007529592195,50.2386722449218,42.5003110096624,-3.73798459374061,2721,0.44924463572458656
3747.9,526.7,19.6433190065683,9.106,0.16,-37.5,73.9469479242453,62.1154362563661,14430.1108118557,3746.76630002609,525.762681631596,19.8052822647778,60.4113289325659,56.0988300486696,-7.69770761420231,3040,0.4375775370483997
1101.3,423.4,19.420519603726,8.066,0.28,85.9,73.2856601731871,52.7656753246947,12148.4362204871,1100.26941358145,422.462366026453,19.5895602392932,37.3176127457659,61.7950359743613,1.62570926666466,2465,0.43812457961838835
284.8,3676.6,19.2629410457655,6.762,0.17,-51.1,59.4235266657387,49.3215271325631,9207.56536309575,283.779580410321,3675.73324661684,19.4064588278003,36.651359995674,38.6184826680069,-4.70276261145171,3131,0.392550497495904
2288.5,982.4,19.606711685463,7.302,0.39,30.7,72.2315561296512,44.0612492390873,9998.47235570326,2287.48209234235,981.426495851743,19.7613084614232,52.8154206361315,37.4019386884735,14.2617421217927,2512,0.4182779064155056
3799.2,3304.3,19.5220031478266,8.578,0.41,25.4,84.655863581226,49.9469595129233,13283.6056131215,3798.03953641612,3303.32175291339,19.684479178341,73.4814480349112,43.9867064921518,17.8919110442257,3049,0.44467837147012484
3965.5,1277.8,19.7229841142559,7.355,0.28,-9.3,66.3400904110214,47.7648650959354,9954.8446544478,3964.41327015308,1276.84707916468,19.8894385087169,52.418436897365,32.4621999004593,-3.81088925708396,2820,0.44090087244964127
2019.5,1819.0,19.4883102356813,7.765,0.36,-22.5,74.9092724167865,47.9419343467434,11282.3873088701,2018.44185104252,1818.06596160917,19.6614520525221,58.5072161403844,36.8506214733173,-10.8746041767794,2921,0.44676238900128945
274.4,417.8,19.3290917320778,7.058,0.26,64.8,64.9715792889393,48.0789686738151,9813.60196747881,273.354966195508,416.855519654537,19.4927888362989,34.4302289463509,45.7199179183984,6.51217899753396,2711,0.4319156007072749
326.1,2755.4,19.5229681698661,6.408,0.25,31.5,58.6581494067136,43.9936120550352,8107.14332439939,325.202949478363,2754.52774468637,19.6385146971493,40.7953269261424,32.6462069886317,6.9762468732751,1988,0.3406152999955953
762.4,234.7,19.5973690485455,7.402,0.23,39.5,65.0774304260234,50.1096214280381,10244.7506147347,761.46133177212,233.775003909161,19.7489892909016,46.7291967351722,40.8686971574069,8.93551210882313,2621,0.40177734070491733
179.5,767.5,19.6440123431225,7.405,0.08,13.4,59.359090077811,54.6103628715861,10183.8541295093,178.408344250674,766.522863474959,19.8067174473234,44.3646293034181,39.4682507175179,0.88736878075427,2482,0.43789510876045856
2802.2,1727.7,19.5691122107542,7.561,0.05,-60.2,59.7710623329718,56.7825092163232,10662.411207146,2801.18637396644,1726.70202640523,19.7337098792233,42.6304402853573,43.705668497076,-1.53735688031136,2885,0.43508306507182065
1856.5,3803.8,19.3862997245398,7.935,0.4,52.6,79.3688425208444,47.6213055125066,11874.1140690704,1855.47805095182,3802.83835170428,19.5579296990899,45.9021675254882,55.8585930517539,18.4837627699331,2957,0.44339264908181975
681.7,2289.8,19.5390159610631,8.38,0.14,56.4,68.6672968221914,59.0538752670846,12739.3780635647,680.528900345523,2288.97443897396,19.6631700835223,52.4269902204619,55.2509013735298,5.16787790138063,2947,0.3791864573436833
