4024.5 336.8 11217.54000 8.893 0.82 78.3 3.6 885
1703.7 113.1 64.08068 5.106 0.98 48.7 4.5 299
2753.9 65.3 1533.34700 6.724 0.70 64.8 3.6 543
2281.6 64.5 337.76510 8.201 0.79 -57.0 3.8 437
3848.1 54.6 211.68820 5.581 0.78 -2.2 3.3 285
1791.5 50.3 126.30640 4.772 0.65 45.0 3.2 249
3408.9 34.7 472.67990 6.101 0.71 -22.6 3.4 385
1055.5 71.7 136.29450 6.650 0.62 -82.2 4.1 383
1212.6 30.1 49.11789 6.241 0.84 -59.3 3.5 221
829.5 29.1 76.47884 3.110 0.56 23.6 4.5 351
3254.9 26.4 59.04757 3.526 0.76 81.2 2.5 137
3377.4 23.7 61.91848 19.678 0.36 -9.9 4.5 715
968.4 23.8 22.82154 2.701 0.38 32.8 4.5 239
888.9 22.1 34.04483 3.537 0.29 7.1 4.5 325
351.2 10.5 188.92830 7.135 0.70 -60.0 4.5 523
2389.0 18.5 22.05600 2.784 0.72 -16.9 1.5 65
4095.9 17.5 16.72558 1.077 0.34 -43.4 4.5 167
617.2 16.1 35.47732 3.692 0.27 -50.7 4.5 333
180.0 11.0 68.42355 4.363 0.88 49.1 4.5 349
4197.7 11.8 35.19780 2.768 0.55 -79.4 4.5 205
3751.1 8.0 88.03622 3.082 0.93 -12.1 2.1 99
1299.6 6.0 127.02780 10.964 0.79 -45.5 4.5 497
1867.9 11.0 14.64915 1.150 0.90 -19.2 4.5 101
1700.3 4.9 100.43670 3.628 0.92 -88.1 2.7 145
3543.2 4.8 29.60277 4.120 0.66 -71.5 4.5 211
1280.4 3.6 65.69376 22.606 0.54 30.2 4.5 665
936.4 5.3 17.01084 1.861 0.84 16.5 4.5 163
3150.6 29.5 13.18214 1.730 0.61 -20.8 3.1 89
1595.8 19.4 19.03005 9.317 0.24 52.4 4 423
3758.4 43.3 31.01425 2.399 0.94 -63.1 1.5 53
3144.2 36.9 19.60939 3.267 0.58 -37.3 2.5 121
2621.1 28.5 19.70188 5.584 0.55 88.3 4.5 297
3867.9 50.7 87.73475 4.349 0.96 19.2 4.5 263
126.6 38.5 43.27892 15.210 0.61 19.0 4.5 463
1351.8 30.9 14.87680 1.292 0.42 -14.0 4.5 151
1221.8 22.1 27.01867 9.174 0.69 -32.9 0.3 61
3493.9 32.8 11.25261 1.341 0.26 52.9 4.5 177
1632.2 205.1 938.93440 8.000 0.86 -23.2 3.9 535
710.7 72.7 109.49460 4.838 0.93 58.0 4.5 305
158.5 42.4 44.86178 20.095 0.97 42.4 4.5 421
338.0 37.3 21.10883 11.975 0.36 75.9 4.5 441
1592.4 37.7 48.93932 22.218 0.27 -68.4 2.7 647
184.3 87.7 196.62890 8.343 0.54 28.1 4.5 533
597.0 42.1 19.06000 4.486 0.56 -45.2 4.5 259
3814.0 55.1 27.31170 2.827 0.28 -25.6 4.5 265
2527.9 110.5 295.73550 8.821 0.78 -86.5 4.5 531
2308.2 43.3 47.85493 27.138 0.59 -14.4 4.5 573
829.3 198.8 229.69950 8.878 0.84 -50.7 4.5 457
1726.3 40.8 7.43464 1.254 0.15 -85.3 1.7 79
2421.1 64.4 46.29447 2.221 0.64 69.6 4.5 227
2176.1 46.7 16.72536 2.558 0.57 15.8 4.5 173
842.3 56.5 50.15191 25.025 0.34 60.9 4.5 773
2490.4 50.2 10.53057 1.302 0.44 35.9 4.5 145
1906.9 68.1 45.54894 2.467 0.96 -51.8 4.5 211
