ID,NDET,NMATCH,SKYMEAN,SKYSTD,MEDLUMFRAC,MEDLUMFRAC5
denlo1a,57160,13938,0.00688106129525546,0.00081757859920738,0.963230914424304,0.984327868989091
denlo1b,53467,2652,0.0017901106588183,0.00052358911040622,0.846972458231085,0.98466757833674
denlo4a,59476,12637,0.00811703415564149,0.0010620973945082,0.972255147889824,0.88168694900551
denlo4b,56026,1927,0.00273569863211376,0.000882044796753552,0.754293798248717,0.878082088559911
denhi1a,50915,17926,0.0102367425334445,0.000686273857154884,0.948703640337318,0.98180013835755
denhi1b,43811,5300,0.00300486940318113,0.000662672447792683,0.840311839933275,0.982219641700527
denhi4a,52958,16251,0.0122163460527994,0.00120928935619901,0.950172728886727,0.884962425208411
denhi4b,46132,3838,0.0047094575373843,0.00130015455696819,0.768421761877292,0.882070095446867
