ID,NDET,NMATCH,SKYMEAN,SKYSTD,LUMFRAC25ALL,LUMFRAC50ALL,LUMFRAC75ALL,LUMFRAC25BIG,LUMFRAC50BIG,LUMFRAC75BIG
denlo1a,4665,2081,0.00408184568934582,0.000821900445831481,0.997239639791224,1.09794636878246,1.23640884754978,1.00925980127622,1.01991576973595,1.0551039368628
denlo1b,3244,2092,-8.98077049693212e-07,0.000601924672305008,1.00232178963543,1.0786896086187,1.19170932293836,1.00710755837378,1.02537908203044,1.03249047055594
denlo4a,4114,2208,0.00569205465621842,0.00102620330114382,0.873410081730483,0.978775551441235,1.1287455047922,0.91519302354155,0.940012671451819,0.95755129119574
denlo4b,3226,2192,0.00104709288438634,0.000956373060613239,0.865282580547498,0.945173977911616,1.07063499127226,0.910023374453512,0.926794825739798,0.950837753607346
denhi1a,6511,2794,0.00584944794432472,0.000875319866052334,0.994712290530619,1.1075876901178,1.23691322105153,1.00736940267851,1.02443768395241,1.04615617551441
denhi1b,5371,3323,-3.1708679844129e-05,0.000624592847173264,1.00834704032578,1.09609592861132,1.22883958346674,1.00830952225895,1.02191069799222,1.03373989174677
denhi4a,6169,2728,0.00777149566723941,0.00110597018898013,0.907201051295881,1.01672784607683,1.16294633775627,0.929129906870116,0.954651603486339,0.958713963383582
denhi4b,5279,3351,0.00140242776499814,0.00100049052049475,0.891279751703814,0.989519564217233,1.13159839529749,0.91409406685855,0.942237607161397,0.95675107080815
