4024.6 337.1 11578.85000 9.179 0.81 78.2 1 185
3786.3 150.4 105.68290 5.536 0.84 11.7 1.7 131
2528.0 109.1 283.94720 7.128 0.73 89.0 1.2 143
2753.8 65.3 1616.27000 7.139 0.68 64.0 1 143
2281.7 64.3 343.92390 8.325 0.80 -56.2 1 137
1055.5 71.7 120.70250 4.890 0.70 -83.9 1.1 89
3409.1 34.5 504.35470 6.652 0.71 -22.0 1 119
1592.9 38.8 71.78468 27.186 0.18 -74.2 4.5 1133
1214.0 28.7 53.94874 6.598 0.59 -43.0 1.1 117
3254.9 26.8 71.59145 5.182 0.68 85.8 0.8 69
829.7 29.4 65.60541 1.723 0.84 24.7 2.7 89
968.2 23.2 19.32693 3.311 0.64 4.0 0.6 35
351.1 10.8 170.66770 5.180 0.68 -58.6 1.3 115
2621.5 28.3 20.48626 4.503 0.44 -41.6 3.4 205
4096.1 17.5 17.34903 2.151 0.63 -45.5 0.4 21
3751.2 8.3 107.63520 4.605 0.91 -16.9 0.8 57
179.8 10.8 50.11745 2.380 0.73 74.2 0.7 33
3027.5 12.8 8.56337 1.146 0.23 47.7 4.5 143
1700.5 5.5 121.51670 4.855 0.89 -52.6 0.9 71
936.2 6.1 21.04123 2.210 0.74 -8.8 3.8 119
3543.2 5.2 24.64326 2.956 0.74 -62.9 0.8 39
1351.9 31.2 12.68746 0.626 0.16 66.6 3.3 97
184.5 87.6 182.56350 7.189 0.58 30.8 1 131
710.5 72.7 106.30230 4.460 0.89 71.9 1.1 73
2896.5 37.5 7.45926 1.084 0.49 -27.8 2.1 47
28.4 36.3 12.67719 3.613 0.34 -19.8 4.5 275
2176.4 46.5 14.53936 1.973 0.87 -15.9 0.5 19
2307.5 44.8 31.30754 20.881 0.56 -39.9 4.5 481
1907.0 68.2 45.88008 2.072 0.81 -32.0 4.5 155
2371.9 66.9 27.99043 2.807 0.74 39.4 1.3 57
1632.2 205.1 966.38950 8.194 0.87 -23.4 1 141
2490.6 49.9 10.07737 1.414 0.36 -38.7 0.9 31
922.7 56.7 4.45564 0.290 0.89 -52.1 4.5 35
3347.2 204.2 742.70240 8.565 0.60 86.1 1 173
409.2 78.1 8.03040 0.795 0.28 44.2 2.9 69
3558.3 81.2 10.06906 0.940 0.33 79.9 2.8 73
3138.3 94.0 23.32721 3.157 0.89 -44.9 0.9 45
2844.1 89.7 13.59079 2.819 0.88 70.5 0.3 19
1217.7 97.2 18.58151 2.093 0.41 62.1 4.5 227
1703.9 112.9 57.25514 3.542 0.90 56.6 1.9 95
2115.9 82.5 9.19345 2.761 0.30 3.8 1.7 97
3652.5 96.0 8.45167 2.728 0.83 -58.4 0.3 19
3610.4 100.3 8.46337 1.429 0.23 -74.8 4 143
3685.1 112.9 36.89684 3.177 0.51 38.3 1.5 89
3427.8 131.6 45.67261 4.503 0.57 -89.2 0.7 63
2466.2 151.3 141.86370 5.682 0.96 -50.3 0.9 73
3393.9 103.4 7.21578 1.227 0.38 -71.7 2.9 77
829.3 198.6 222.79160 8.285 0.85 -61.9 1.1 133
1679.2 122.0 32.50983 1.851 0.88 -6.5 0.6 21
1762.7 100.3 4.99061 0.941 0.51 -30.0 0.9 19
2693.4 162.5 127.12810 5.768 0.89 13.5 1.3 105
1520.8 149.4 47.55859 2.896 0.50 -57.6 3.1 169
3877.1 130.0 21.73063 3.228 0.57 -0.9 1.2 67
1492.4 184.0 140.08560 6.015 0.95 -65.9 1.1 95
3923.5 123.4 7.12757 1.905 0.38 -17.0 2.2 79
762.5 234.9 914.40530 7.770 0.77 37.5 1 143
3252.3 140.8 6.71978 0.606 0.67 67.9 4.5 97
1659.1 140.6 7.68441 0.822 0.33 -30.7 3.6 81
2609.3 217.1 248.81020 5.890 0.64 -58.5 1.1 115
1442.0 166.2 20.47299 0.913 0.64 -87.9 4.5 107
1079.5 158.9 5.58170 0.617 0.80 0.9 4.1 47
1210.7 193.9 59.99387 3.180 0.79 -77.6 0.8 45
2431.7 179.7 17.27033 3.263 0.71 41.2 0.8 41
261.9 255.7 625.37340 6.720 0.86 79.6 1.1 125
2035.7 185.1 13.29806 2.851 0.62 -85.4 1 49
2113.2 200.0 22.90792 2.999 0.61 -15.8 0.9 51
1193.1 236.0 89.83231 4.932 0.51 70.2 0.3 43
745.9 195.5 10.83160 1.674 0.66 -53.7 0.8 25
2612.9 193.8 33.42207 13.185 0.57 -25.3 3.5 355
3688.0 197.7 13.27027 2.999 0.53 61.7 1.2 61
3873.9 229.7 51.79710 4.198 0.67 -65.4 1.1 75
3137.7 196.4 10.84089 1.359 0.12 -5.0 4.5 283
274.3 417.9 1165.46000 7.374 0.74 67.0 1.1 143
103.7 212.8 6.74936 0.012 0.93 -38.9 4.5 13
1855.4 209.0 7.31004 1.397 0.80 3.6 2.2 45
3846.5 293.0 601.40440 6.782 0.71 -3.8 1 123
565.9 270.9 94.09815 6.360 0.75 -51.6 0.9 93
2097.0 230.8 14.34908 0.708 0.27 -63.5 4.5 185
327.1 276.7 108.56840 4.679 0.84 83.2 1 71
862.8 220.2 5.22152 0.728 0.54 77.7 4.5 71
471.0 241.1 21.82558 3.126 0.43 -25.5 4.5 215
3099.9 237.7 9.35045 3.436 0.49 88.5 0.3 29
4146.2 249.4 20.88366 3.701 0.77 2.8 3 129
2986.3 262.1 16.70603 7.422 0.31 -55.0 4.5 383
1495.2 244.3 4.40440 0.096 0.28 29.9 4.5 69
1267.8 316.6 200.19130 5.609 0.69 25.3 1.1 109
3190.0 253.0 8.13531 1.741 0.22 11.5 4.5 231
