MAG,DEN,NUM
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,0,0
4,0,0
4.5,0,0
5,0,0
5.5,0,0
6,0,0
6.5,0,0
7,0,0
7.5,0,0
8,0,0
8.5,0,0
9,0,0
9.5,0,0
10,0,0
10.5,0,0
11,0,0
11.5,0,0
12,0,0
12.5,0,0
13,0,0
13.5,0,0
14,0,0
14.5,0,0
15,0,0
15.5,0,0
16,0,0
16.5,49.9387307426097,0.934753162040168
17,79.1475543941106,1.48148392314896
17.5,125.440420159171,2.34799378453937
18,198.809667969733,3.72131936505746
18.5,315.092089360684,5.89789372865328
19,499.387307426097,9.34753162040168
19.5,791.475543941106,14.8148392314896
20,1254.40420159171,23.4799378453937
20.5,1988.09667969733,37.2131936505746
21,3150.92089360684,58.9789372865328
21.5,4993.87307426096,93.4753162040166
22,7914.75543941106,148.148392314896
22.5,0,0
23,0,0
23.5,0,0
24,0,0
24.5,0,0
25,17629.7566267427,329.993784539371
25.5,75933.2922885706,1421.31936505746
26,200229.39035438,3747.89372865328
26.5,431538.17824563,8077.5316204017
27,778333.114194339,14568.8392314896
27.5,1254030.23001355,23472.9378453937
28,1988096.67969733,37213.1936505746
28.5,3150920.89360684,58978.9372865328
29,4993873.07426098,93475.316204017
29.5,7914755.43941106,148148.392314896
30,12544042.0159171,234799.378453937
30.5,0,0
31,0,0
31.5,0,0
32,0,0
32.5,0,0
33,0,0
33.5,0,0
34,0,0
34.5,0,0
35,0,0
35.5,0,0
36,0,0
36.5,0,0
37,0,0
37.5,0,0
38,0,0
38.5,0,0
39,0,0
39.5,0,0
40,0,0
40.5,0,0
41,0,0
41.5,0,0
42,0,0
42.5,0,0
43,0,0
43.5,0,0
44,0,0
44.5,0,0
45,0,0
45.5,0,0
46,0,0
46.5,0,0
47,0,0
47.5,0,0
48,0,0
48.5,0,0
49,0,0
49.5,0,0
50,0,0
