NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1569,2632.4158,2239.1133,165.3965,21.4537,6.51,5.422,4.3,6.6,8.827,0.167,73.04,0.0004321822,0.0815596,547,0
1570,2477.949,2163.4951,4.192737,25.4438,0.799,0.5,8.25,10.56,2.952,0.374,-0.59,0.0004163344,0.0815596,5,0
1571,1829.9725,2174.1936,13.06569,24.2097,1.406,1.356,7.94,10.56,5.521,0.036,38.16,0.0001677701,0.0815596,23,0.003
1572,2116.6423,2178.9707,7.680268,24.7866,1.717,1.267,6.03,9.9,3.312,0.262,-33.48,5.159639e-05,0.0815596,24,0
1573,2155.8525,2199.3835,33.82244,23.177,2.792,2.691,4.59,7.92,4.376,0.036,19.62,-0.0002777845,0.0815596,111,0
1574,2956.2437,2200.8794,40.52731,22.9806,2.903,2.8,4.66,7.26,4.284,0.036,8.4,0.0006709454,0.0815596,129,0
1575,4186.585,2174.2612,3.996506,25.4958,1.041,0.47,8.06,10.56,3.387,0.548,80.92,-4.214886e-05,0.0815596,5,0
1576,350.3229,2179.7878,7.266463,24.8467,1.543,0.888,8.32,10.56,4.196,0.425,36.44,-0.0003121222,0.0815596,11,0
1577,781.2892,2191.5837,11.90479,24.3107,2.476,1.427,6.17,10.56,4.446,0.424,-47.33,0.0004204256,0.0815596,36,0
1578,3460.6355,2178.3706,6.06986,25.0421,1.134,0.758,8.69,10.56,3.801,0.331,-61.14,0.0004816265,0.0815596,7,0
1579,2132.9802,2182.7715,9.570619,24.5476,1.454,1.049,7.86,10.56,4.648,0.279,-18.34,-0.0002515777,0.0815596,16,0
1580,3420.5703,2227.2949,69.24376,22.399,4.701,3.301,6.31,10.56,8.859,0.298,-89.35,0.000555572,0.0815596,199,0
1581,1356.0776,2191.4136,18.61153,23.8255,2.374,1.844,6.96,10.56,5.972,0.224,-28.72,0.0002666659,0.0815596,41,0
1582,2422.3022,2204.9998,13.28127,24.1919,2.427,1.371,6.57,10.56,4.966,0.435,68.58,0.0003954447,0.0815596,29,0.001
1583,2270.2422,2198.1423,10.68533,24.428,2.302,1.272,6.4,10.56,4.111,0.447,9.42,0.0008868055,0.0815596,29,0
1584,171.607,2194.8123,2.006982,26.2436,0.761,0.446,7.06,5.94,2.441,0.414,71.13,-0.0009165381,0.0815596,4,0.001
1585,2246.3274,2231.8257,50.94686,22.7322,3.201,3.115,4.42,5.94,4.687,0.027,-54.18,0.0008669918,0.0815596,157,0
1586,2311.7112,2199.5876,3.641617,25.5968,0.97,0.542,8.17,10.56,3.023,0.442,58.91,0.0008921069,0.0815596,5,0.002
1587,3725.9014,2207.6653,8.357869,24.6948,1.345,1.222,7.81,10.56,4.164,0.092,42.54,-0.0008194559,0.0815596,16,0
1588,45.5746,2208.7812,8.551317,24.6699,1.723,1.219,7.5,9.9,4.207,0.292,-37.22,0.0002407385,0.0815596,19,0
1589,3321.4285,2198.4014,3.93206,25.5134,1.29,0.451,8.13,10.56,3.194,0.651,9.19,0.001643353,0.0815596,6,0
1590,1944.1091,2218.5781,20.41118,23.7253,2.459,2.234,5.1,8.58,4.46,0.092,-11.68,0.0002072802,0.0815596,67,0
1591,2069.6704,2252.6763,70.03419,22.3867,3.965,3.292,3.72,6.6,5.15,0.17,-87.87,0.001305955,0.0815596,217,0
1592,1394.0927,2207.8516,4.498968,25.3672,0.859,0.664,8.38,10.56,3.108,0.227,41.4,-0.0005249479,0.0815596,7,0
1593,977.738,2221.217,12.43496,24.2634,2.079,1.533,6.47,9.24,4.354,0.263,-46.74,-0.0002027114,0.0815596,36,0
1594,2917.5063,2252.3069,93.97828,22.0674,4.084,3.952,4.43,6.6,5.888,0.032,-53.13,0.0005628801,0.0815596,274,0
1595,1824.3922,2215.1809,2.530056,25.9922,0.76,0.447,8,10.56,2.426,0.412,71.3,7.359322e-05,0.0815596,5,0.002
1596,1238.5764,2233.4829,13.37762,24.1841,2.253,1.397,7.58,10.56,5.171,0.38,-64.34,0.000255506,0.0815596,26,0
1597,3006.9077,2251.3547,53.55393,22.678,3.332,3.144,4.63,6.6,4.825,0.056,-64.55,0.0007481033,0.0815596,175,0
1598,3726.083,2348.5242,118.5222,21.8155,5.077,4.469,4.6,7.26,7.448,0.12,-53.14,0.0003803541,0.0815596,361,0
1599,1477.3204,2222.0293,7.381675,24.8296,1.096,0.838,8.26,10.56,4.365,0.235,-65.1,-6.941524e-05,0.0815596,6,0
1600,3995.655,2225.1169,7.835141,24.7649,1.18,0.885,8.39,7.26,4.685,0.25,-9.28,0.002004316,0.0815596,12,0
1601,450.5957,2234.78,9.706062,24.5324,1.587,0.968,8.21,10.56,5.213,0.39,-43.75,0.001593938,0.0815596,13,0
1602,3432.947,2254.2827,30.6685,23.2833,3.506,2.408,6.14,7.92,6.566,0.313,-58.3,0.0005458199,0.0815596,87,0
1603,150.4847,2298.1001,22.35248,23.6267,3.133,1.945,5.73,8.58,4.874,0.379,63.02,-0.0006788101,0.0815596,75,0
1604,3991.386,2232.8113,6.718093,24.9319,1.201,0.483,9.39,10.56,4.014,0.598,-89.78,0.001502296,0.0815596,8,0
1605,30.5399,2265.8823,51.73779,22.7155,3.528,3.428,4.29,7.26,5.474,0.028,-3.52,0.000394674,0.0815596,183,0
1606,1249.9845,2287.9292,118.1567,21.8189,5.572,4.563,5.12,7.92,8.471,0.181,61.11,-0.0005325528,0.0815596,383,0
1607,2313.3064,2233.2178,5.397818,25.1695,1.34,0.544,7.99,9.9,4.078,0.594,-34.66,0.0004507795,0.0815596,8,0.002
1608,1091.4116,2312.1987,258.4764,20.9689,6.731,4.912,4.36,5.94,7.954,0.27,61.34,0.0005907723,0.0815596,630,0
1609,548.3477,2232.1628,3.36344,25.683,1.046,0.563,7.49,10.56,2.88,0.461,18.64,0.000286079,0.0815596,6,0
1610,742.2027,2232.9829,4.876715,25.2797,0.916,0.475,8.38,10.56,3.711,0.481,-53.68,0.0006040615,0.0815596,6,0
1611,1775.2136,2257.3181,17.82753,23.8723,2.994,2.02,5.6,9.24,5.102,0.325,41.6,0.0004683724,0.0815596,54,0
1612,3943.0354,2243.9646,6.683118,24.9376,1.761,0.652,7.69,10.56,3.845,0.63,-48.05,0.0005955747,0.0815596,8,0
1613,116.7575,2249.6733,15.27066,24.0404,2.264,1.819,4.4,7.92,3.807,0.196,-21.88,-0.001649973,0.0815596,54,0
1614,3169.9563,2255.3926,16.66789,23.9453,2.434,1.932,5.86,7.26,4.504,0.207,40.78,0.0001190115,0.0815596,50,0
1615,1924.1619,2267.4783,21.54348,23.6667,3.13,2.121,6.13,9.24,6.043,0.323,-62.14,0.0002072802,0.0815596,56,0
1616,810.6658,2280.7234,40.80999,22.9731,4.272,2.931,5.24,7.92,6.262,0.314,-6.64,0.0003556943,0.0815596,139,0
1617,3820.8823,2245.9897,4.940677,25.2655,1.228,0.548,8.35,10.56,3.938,0.553,78.24,5.815393e-06,0.0815596,4,0
1618,4062.0156,2257.0122,11.54123,24.3444,1.902,1.68,6.69,10.56,4.884,0.117,0.7,0.0004891808,0.0815596,18,0
1619,307.0125,2302.9993,320.6891,20.7348,5.979,4.571,3.66,5.28,6.426,0.236,-5.55,0.0005672973,0.0815596,610,0.001
1620,2850.9915,2299.252,121.9537,21.7845,4.747,4.189,4.39,6.6,6.528,0.118,-49.74,0.0002794997,0.0815596,341,0
1621,1897.5114,2252.3481,3.882681,25.5272,1.381,0.759,6.35,9.9,2.854,0.45,60.82,0.0002072802,0.0815596,10,0
1622,1228.1279,2268.0745,20.23028,23.735,2.537,1.723,7.21,10.56,6.02,0.321,-81.17,0.0001735634,0.0815596,46,0
1623,1198.0627,2249.8999,6.695099,24.9356,1.453,0.529,8.45,4.62,4.186,0.636,19.96,0.001260815,0.0815596,10,0.001
1624,2348.4089,2251.2117,3.124986,25.7629,0.784,0.436,8.68,10.56,2.667,0.444,69.61,0.0001735729,0.0815596,3,0.172
1625,2511.1047,2315.1311,125.0411,21.7574,6.592,4.049,4.57,7.26,8.304,0.386,37.09,0.001181032,0.0815596,411,0
1626,2125.0781,2277.0935,14.79953,24.0744,2.584,1.954,5.06,7.26,4.086,0.244,83.75,0.001266036,0.0815596,60,0
1627,1783.1453,2263.0742,7.536743,24.807,1.765,1.188,7,10.56,3.649,0.327,35.29,0.0004560625,0.0815596,20,0
1628,2766.7854,2288.8691,45.14027,22.8636,3.201,3,5.66,10.56,5.911,0.063,-41.87,-0.0004610626,0.0815596,128,0
1629,2777.9097,2280.2058,25.55624,23.4813,2.934,2.322,6.32,10.56,6.363,0.209,-64.04,-0.0006039226,0.0815596,62,0
1630,1633.114,2298.4524,87.93949,22.1395,5.244,3.801,3.98,6.6,6.691,0.275,9.99,0.0005926793,0.0815596,305,0
1631,2930.2239,2288.8044,37.54333,23.0637,3.251,2.973,4.26,5.94,4.643,0.085,-39.96,0.0006328219,0.0815596,140,0
1632,2023.2311,2281.8286,24.99478,23.5054,2.511,2.238,6.77,10.56,6.79,0.109,66.89,0.001077467,0.0815596,56,0
1633,1442.0111,2279.4963,13.82495,24.1483,1.741,1.171,8.33,3.5,6.117,0.327,-44.76,-0.0001516229,0.0815596,15,0
1634,652.8192,2270.8306,5.698248,25.1106,1.59,0.722,7.42,7.26,3.682,0.546,36.03,-0.0003124911,0.0815596,9,0
1635,500.3881,2281.9265,14.05492,24.1304,2.157,1.816,6.23,8.58,4.586,0.158,78.54,0.001217428,0.0815596,34,0
1636,1946.3229,2282.6504,18.87899,23.8101,2.187,1.59,7.56,10.56,6.115,0.273,61.64,0.0002034781,0.0815596,30,0
1637,1427.6931,2287.7634,23.29918,23.5816,2.009,1.503,8.31,10.56,8.091,0.252,-53.96,-0.0002106712,0.0815596,29,0
1638,2213.2844,2344.7371,137.1789,21.6568,6.764,4.346,4.5,6.6,8.182,0.358,60.52,0.00234669,0.0815596,464,0
1639,757.4313,2276.4497,6.002151,25.0542,1.426,1.007,6.64,10.56,3.083,0.294,73.49,0.0007158131,0.0815596,14,0
1640,1732.0988,2274.5886,8.630044,24.66,1.167,0.875,8.54,10.56,4.391,0.25,-84.7,0.0004182534,0.0815596,12,0
1641,2712.5754,2289.1357,20.18302,23.7375,3.121,1.684,7.34,10.56,6.679,0.461,-30.44,-0.0001540771,0.0815596,39,0
1642,1561.6561,2298.7507,39.52775,23.0077,2.761,2.688,6.05,7.26,5.44,0.027,-55.07,0.000598527,0.0815596,105,0
1643,3796.5271,2314.0659,57.84727,22.5943,4.061,3.315,5.05,7.92,6.296,0.184,44.86,0.0007472577,0.0815596,192,0
1644,2014.8171,2286.8225,16.99472,23.9242,2.183,1.814,6.97,10.56,5.808,0.169,-4.81,0.0009294121,0.0815596,34,0
1645,424.9955,2279.7708,7.494622,24.8131,1.744,0.769,7.38,10.56,4.3,0.559,-20.37,0.0005628567,0.0815596,14,0
1646,443.2488,2296.0447,16.06366,23.9854,2.128,1.045,8.56,10.56,6.639,0.509,68.51,0.0008082201,0.0815596,19,0
1647,426.5045,2282.4976,10.47538,24.4496,1.617,1.022,8.27,3.5,5.797,0.368,12.74,0.0005964815,0.0815596,14,0.001
1648,1734.821,2302.0435,21.67543,23.6601,2.552,2.239,6.89,9.9,6.543,0.123,28.55,0.000545779,0.0815596,44,0
1649,3887.4451,2296.5159,9.013241,24.6128,2.069,1.456,6.44,9.24,4.062,0.296,44.75,0.0006389437,0.0815596,21,0
1650,236.4559,2291.6875,6.086217,25.0391,1.116,0.917,8.5,10.56,3.709,0.178,-79.45,0.001695822,0.0815596,9,0
1651,2064.9451,2290.5781,5.53522,25.1422,0.993,0.803,8.11,3.5,3.864,0.191,14.25,0.001214471,0.0815596,7,0
1652,2577.0127,2293.1946,3.749999,25.5649,1.493,0.424,7.56,5.28,2.927,0.716,-66.86,0.0006949321,0.0815596,6,0
1653,4132.231,2340.3669,116.7437,21.8319,5.026,4.284,4.38,6.6,6.943,0.148,-28.62,0.001178978,0.0815596,343,0
1654,1545.6622,2292.5457,6.886938,24.9049,1.165,0.67,8.09,9.9,4.577,0.425,-54.24,0.0005009624,0.0815596,6,0
1655,1325.1262,2290.8501,4.916186,25.2709,0.969,0.605,8.05,10.56,3.476,0.376,16.15,-0.0003370493,0.0815596,4,0
1656,968.1051,2298.7759,9.283091,24.5808,1.568,1.415,6.98,10.56,4.2,0.097,49.8,0.0004304678,0.0815596,19,0
1657,488.6689,2314.7229,12.58417,24.2504,2.513,1.457,6.14,9.24,4.645,0.42,-74.31,0.0009958487,0.0815596,33,0
1658,3253.5693,2295.2036,4.245258,25.4302,0.745,0.449,8.77,10.56,3.545,0.398,-69.36,-0.0006878881,0.0815596,4,0
1659,1552.7233,2316.032,9.114777,24.6006,1.423,0.954,7.91,10.56,4.376,0.33,13.98,0.001008674,0.0815596,13,0
1660,2457,2318.0486,11.97242,24.3045,2.025,1.406,7.11,10.56,4.935,0.306,78.33,0.0007764784,0.0815596,22,0.001
1661,2795.9758,2303.4431,5.029459,25.2462,1.458,0.616,7.89,10.56,3.64,0.577,-7.17,-0.0003212199,0.0815596,10,0
1662,1043.4518,2417.8994,228.9192,21.1008,9.384,5.303,4.25,6.6,10.115,0.435,-64.1,0.001199493,0.0815596,716,0
1663,2465.6125,2321.7837,19.15396,23.7944,2.669,1.925,6.3,9.24,5.271,0.279,11.95,0.0009022037,0.0815596,52,0
