NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
3799,3056.9705,3599.5693,159.5656,21.4927,5.389,4.23,4.78,7.26,6.863,0.215,49.27,0.004083234,0.0746484,447,0.001
3800,516.7969,3614.584,2.078915,26.2054,0.759,0.445,8,8.58,2.395,0.414,20.26,0.00569217,0.0746484,5,0.001
3801,2969.0813,3607.9326,38.81926,23.0274,3.599,2.472,5.68,8.58,5.766,0.313,-5.84,0.001392313,0.0746484,123,0
3802,127.1745,3610.9192,8.485832,24.6783,1.753,1.373,6.69,10.56,4.079,0.216,-0.92,0.003147393,0.0746484,22,0
3803,3638.0562,3606.5334,26.46429,23.4433,2.833,1.925,7.31,10.56,8.198,0.321,-35.22,0.002141996,0.0746484,48,0
3804,3641.7119,3596.5288,22.08018,23.64,2.478,2.076,6.07,10.56,5.082,0.162,-40.16,0.001678293,0.0746484,61,0
3805,3501.2788,3608.5125,10.94483,24.402,1.776,1.572,6.46,9.24,3.78,0.115,-33.79,0.005886833,0.0746484,35,0
3806,3386.2744,3609.2527,4.355329,25.4024,1.189,0.905,7.24,9.24,3.137,0.239,-65.88,0.003107697,0.0746484,11,0
3807,4008.186,3603.5073,19.31082,23.7855,2.238,1.989,5.72,7.92,4.045,0.111,-22.26,0.003290366,0.0746484,61,0
3808,3477.8906,3603.8237,24.71905,23.5174,2.411,1.92,6.92,10.56,6.125,0.204,-3.63,0.00551038,0.0746484,55,0
3809,2861.3147,3604.1255,12.03185,24.2992,1.961,1.869,5.22,7.92,3.576,0.047,48.68,0.0008243474,0.0746484,40,0
3810,3610.2026,3604.5801,9.945398,24.5059,1.859,1.294,6.54,9.9,3.885,0.304,-25.5,0.002780519,0.0746484,27,0
