NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1,424.6422,166.1102,763.1549,19.7935,8.927,7.48,3.73,5.94,9.89,0.162,-49.27,0.0004899272,0.0812191,1509,0.001
2,795.0755,112.1987,651.687,19.9649,7.17,5.928,3.61,5.28,7.588,0.173,72.52,0.002894145,0.0812191,1069,0.003
3,1918.0756,52.8047,343.0442,20.6616,6.419,5.186,3.89,5.94,7.164,0.192,-62.26,0.003461302,0.0812191,721,0.001
4,1206.709,55.0595,51.83502,22.7134,3.563,3.052,5.52,10.56,5.791,0.143,61.46,0.002197823,0.0812191,160,0
5,3987.1541,51.3945,43.49889,22.9038,4.777,3.055,4.47,6.6,6.435,0.36,-88.67,0.002544278,0.0812191,182,0
6,3601.5483,51.9663,64.90555,22.4693,3.976,3.558,5.41,7.92,6.566,0.105,10.99,0.0007643873,0.0812191,205,0
7,2199.4768,15.3875,1200.478,19.3016,10.079,7.774,3.53,5.28,10.307,0.229,-45.49,0.006637363,0.0812191,1796,0.001
8,2247.5244,11.8097,355.4669,20.623,7.289,5.602,3.98,5.94,8.25,0.231,-55.92,0.004329684,0.0812191,785,0.001
9,3153.5542,41.5146,32.49389,23.2205,3.324,2.645,5.11,7.26,5.126,0.204,66.25,0.000638227,0.0812191,119,0
10,123.4124,29.5843,95.40627,22.0511,4.965,3.809,5.28,7.92,7.42,0.233,66.66,0.001986788,0.0812191,289,0
11,2177.0364,62.0153,87.17742,22.149,4.268,3.356,5.2,9.9,6.152,0.214,-77.25,0.004027756,0.0812191,232,0
12,1797.8422,28.6298,18.34831,23.841,2.467,2.152,5.7,9.24,4.78,0.128,-5.42,0.001497883,0.0812191,59,0
13,995.3752,12.0225,341.4966,20.6665,6.822,6.182,4.06,5.94,8.432,0.094,25.72,0.002809553,0.0812191,787,0.001
14,277.0496,8.7889,106.4282,21.9324,5.01,3.897,4.26,6.6,6.093,0.222,10.31,-0.0003008706,0.0812191,333,0
15,2725.939,10.1897,24.88992,23.5099,2.797,2.494,4.49,6.6,4.224,0.108,-89.93,7.887464e-05,0.0812191,92,0
16,1990.5641,9.0853,24.68944,23.5187,2.74,2.423,6.21,10.56,5.803,0.116,-78.53,0.005441659,0.0812191,75,0
17,2394.4697,11.641,8.22985,24.7115,1.54,1.015,7.8,10.56,4.102,0.341,72.82,0.002054837,0.0812191,17,0
18,1405.8665,9.3378,13.8932,24.143,2.217,1.765,6.34,10.56,4.883,0.204,-49.48,0.004619963,0.0812191,37,0
19,3571.4263,6.4181,12.55757,24.2527,2.205,1.886,5.28,6.6,3.68,0.145,-28.91,0.001769891,0.0812191,48,0
20,3324.1016,9.0624,7.810891,24.7682,2.09,1.06,6.8,7.92,4.04,0.493,-10.64,-0.0002166195,0.0812191,16,0
21,641.6384,8.9948,7.265641,24.8468,1.626,1.426,6.26,9.9,3.691,0.123,83.9,-0.0008428208,0.0812191,16,0
22,211.4064,8.7129,4.801727,25.2965,1.105,0.981,7.46,10.56,3.331,0.112,68.35,0.002188353,0.0812191,9,0
23,3993.1924,4.6031,31.56583,23.252,3.785,2.206,4.41,6.6,4.349,0.417,8.22,0.00283748,0.0812191,120,0
24,450.3404,32.7137,24.01531,23.5488,3.112,2.273,6.12,7.26,5.694,0.269,-68.05,0.0004629135,0.0812191,76,0
25,1389.7795,3.5149,7.182474,24.8593,1.98,0.685,7.94,10.56,4.091,0.654,49.23,0.004783518,0.0812191,15,0
26,1681.4512,47.2747,61.95606,22.5198,3.308,2.955,4.12,5.94,4.201,0.107,-28.41,0.0003510221,0.0812191,173,0
27,702.7807,17.6337,5.224214,25.2049,1.369,0.548,7.89,10.56,3.616,0.6,-54.67,0.0005691849,0.0812191,6,0
28,3445.7783,14.8869,3.722479,25.5729,1.108,0.515,7.6,10.56,2.883,0.536,35.06,-0.0004036492,0.0812191,7,0
29,2448.9695,42.7561,31.30131,23.2611,3.401,2.832,5.15,8.58,5.859,0.167,-27.37,0.002745124,0.0812191,111,0
30,802.9308,21.1058,4.561666,25.3522,0.887,0.659,7.93,7.26,3.539,0.258,44.56,-0.001658201,0.0812191,7,0
31,2837.3923,22.1849,3.471551,25.6487,0.762,0.444,9.05,5.94,2.996,0.417,70.87,0.0003585454,0.0812191,4,0
32,3966.709,25.0333,4.666812,25.3274,0.729,0.689,8.51,10.56,3.685,0.056,85.31,0.002710001,0.0812191,6,0
33,973.2659,37.6092,20.22907,23.7351,1.888,1.748,8.18,10.56,7.457,0.074,-21.2,0.002046258,0.0812191,29,0
34,2516.8054,28.5508,7.591853,24.7991,1.12,0.724,8.98,10.56,4.544,0.354,-49.59,0.003312484,0.0812191,8,0
35,1410.3246,57.1119,49.97726,22.7531,3.801,2.991,5.92,10.56,6.757,0.213,-19.3,0.002658688,0.0812191,145,0
36,2745.3264,45.9723,11.84801,24.3159,2.355,1.562,6.12,7.92,4.265,0.337,85.18,0.0002404998,0.0812191,32,0
37,2963.083,128.9166,174.0715,21.3982,7.99,4.13,4.46,6.6,8.594,0.483,84.59,0.003387322,0.0812191,548,0
38,2406.082,44.2854,12.4738,24.26,2.023,1.765,5.18,6.6,3.517,0.128,-33.78,0.002069027,0.0812191,48,0
39,3824.699,36.6057,8.415489,24.6873,1.731,1.038,7.88,3.5,4.329,0.4,-35.82,7.223628e-06,0.0812191,16,0
40,1461.2524,58.33,19.55075,23.7721,2.886,1.982,6.55,10.56,5.78,0.313,83,0.001901657,0.0812191,46,0
