NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1038,1128.3383,1465.1971,10.98101,24.3984,1.884,1.675,6.35,10.56,4.096,0.111,60.52,0.0004384333,0.08148756,31,0.001
1039,3609.2981,1474.7133,17.17405,23.9128,2.316,2.098,5.6,6.6,4.068,0.094,11.39,-0.0004169013,0.08148756,60,0.002
1040,2557.1096,1488.7352,39.6164,23.0053,3.032,2.506,6.28,10.56,6.372,0.173,-33.01,0.0005468325,0.08148756,100,0
1041,1790.7518,1489.2755,39.21442,23.0164,2.727,2.626,4.81,6.6,4.142,0.037,44.68,0.0008973222,0.08148756,118,0
1042,1727.1627,1486.7449,30.95146,23.2733,2.745,2.189,5.68,9.9,4.732,0.202,51.65,0.0007316624,0.08148756,87,0
1043,3039.8879,1468.0995,5.069067,25.2377,1.512,0.879,7.44,7.92,3.262,0.419,-45.41,-0.0001583223,0.08148756,14,0
1044,940.0005,1467.3358,3.814809,25.5463,1.035,0.644,7.62,10.56,2.819,0.378,53.35,0.001488655,0.08148756,7,0
1045,2544.7798,1491.7501,27.59549,23.3979,2.722,2.541,6.5,10.56,7.206,0.067,27.15,0.0006639737,0.08148756,56,0
1046,2797.9258,1474.4152,5.7578,25.0994,1.243,0.983,6.96,10.56,3.477,0.21,79.94,0.000387436,0.08148756,11,0.009
1047,2646.0024,1482.5714,20.81087,23.7043,2.352,1.939,6.59,10.56,5.292,0.175,1.16,0.0001697509,0.08148756,53,0
1048,3455.9998,1465.495,2.306323,26.0927,0.809,0.5,7.92,10.56,2.054,0.382,1.53,0.0007988453,0.08148756,6,0
1049,872.9935,1475.1614,5.472781,25.1545,1.348,0.933,7.15,9.9,3.492,0.308,-62.24,0.0009361426,0.08148756,13,0
1050,819.1255,1492.4716,27.19837,23.4136,2.538,2.23,6.07,7.92,4.816,0.122,0.76,0.0003339071,0.08148756,75,0
1051,836.7858,1487.9303,16.50828,23.9557,2.089,1.716,6.89,7.92,5.067,0.179,-51.02,0.0004218311,0.08148756,41,0
1052,1702.6421,1502.0422,42.07379,22.94,3.366,2.219,5.83,8.58,5.444,0.341,46.15,0.0005303317,0.08148756,109,0
1053,2488.2805,1488.7244,16.07023,23.9849,2.075,1.798,6.58,10.56,4.922,0.134,-50.75,0.001235624,0.08148756,43,0
1054,2778.7986,1477.6061,4.62144,25.3381,1.226,0.618,8.21,10.56,3.505,0.496,52.56,0.0006907046,0.08148756,6,0
1055,3248.0911,1476.1571,4.311452,25.4134,0.86,0.673,8.35,10.56,3.346,0.217,-44.7,0.0003072783,0.08148756,6,0.01
1056,3905.7185,1532.1754,87.36108,22.1467,3.856,3.529,6.36,10.56,9.087,0.085,78.49,0.002771424,0.08148756,194,0
1057,1061.0962,1494.1771,14.4231,24.1024,1.901,1.788,6.53,10.56,4.692,0.06,46.76,0.0005263561,0.08148756,41,0
1058,3313.2866,1485.1124,3.798109,25.5511,1.444,0.447,7.67,10.56,3.054,0.691,87.07,0.0004732569,0.08148756,6,0
1059,2664.5635,1490.5002,13.05436,24.2106,1.678,1.513,7.38,10.56,5.461,0.098,32.62,5.108998e-05,0.08148756,28,0
1060,3395.5364,1493.4476,10.94638,24.4018,2.308,1.321,6.36,10.56,4.366,0.428,-26.98,0.0005135335,0.08148756,32,0
1061,3878.3672,1519.4131,61.43158,22.529,3.4,2.69,5.97,10.56,5.862,0.209,-54.99,0.003345045,0.08148756,146,0
1062,2866.8474,1523.33,77.41371,22.278,4.071,3.393,5.29,7.92,6.077,0.167,-24.92,-0.0001768419,0.08148756,220,0
1063,812.7252,1513.8673,35.9945,23.1094,2.776,2.469,5.36,7.26,4.387,0.111,-86.43,0.0001596172,0.08148756,110,0
1064,258.755,1506.1245,8.436341,24.6846,2.202,1.33,5.34,7.26,3.537,0.396,-85.9,0.0001614404,0.08148756,30,0
1065,3108.4578,1522.2854,28.09377,23.3785,2.556,2.34,5.83,7.26,4.592,0.085,64.17,0.0003347541,0.08148756,84,0
1066,229.0333,1518.5951,20.33072,23.7296,2.268,2.137,5.92,5.94,4.365,0.058,81.67,0.0002164663,0.08148756,62,0
1067,1006.4783,1516.6569,16.70433,23.9429,2.337,1.746,6.21,5.94,4.557,0.253,9.11,0.0004764844,0.08148756,50,0
1068,3378.3562,1508.6639,4.897668,25.275,1.43,0.879,6.82,10.56,2.969,0.385,-81.34,0.0001025278,0.08148756,12,0.001
1069,1724.4415,1511.9902,14.24562,24.1158,2.191,1.638,6.39,10.56,4.896,0.252,-1.52,0.0006145627,0.08148756,34,0
1070,2881.2964,1526.6379,25.11076,23.5004,2.474,2.281,6.4,10.56,6.049,0.078,-12.2,0.0003279918,0.08148756,64,0
1071,3921.738,1539.1567,45.15187,22.8633,3.306,2.754,5.79,10.56,5.78,0.167,13.86,0.002550569,0.08148756,127,0
1072,2713.325,1507.9202,5.906659,25.0716,1.336,0.861,8.01,7.92,4.03,0.355,17.86,-8.156228e-05,0.08148756,7,0
1073,3564.3367,1551.1084,87.94711,22.1394,3.626,3.472,4.97,6.6,5.397,0.042,-77.53,-0.0003817738,0.08148756,223,0
1074,2429.6484,1516.3788,13.60699,24.1656,1.789,1.57,6.74,10.56,4.42,0.122,-9.36,0.001422468,0.08148756,29,0
1075,1595.2749,1506.1218,4.884419,25.278,1.38,0.507,8.34,9.9,3.385,0.632,23.01,-0.0002621902,0.08148756,5,0
1076,3419.9802,1525.5461,15.19129,24.046,1.862,1.667,7.12,10.56,4.507,0.105,82.81,0.0004077878,0.08148756,39,0
1077,4181.3354,1519.8542,6.385207,24.9871,1.641,0.717,7.82,5.28,3.675,0.563,-72.81,0.0001995206,0.08148756,14,0
1078,1404.7003,1525.9969,19.74766,23.7612,2.099,1.728,7.63,10.56,6.45,0.177,49.35,0.0005445097,0.08148756,41,0
1079,3584.623,1536.5333,20.78887,23.7054,2.77,1.994,5.98,7.26,4.968,0.28,52.63,-0.0003817738,0.08148756,65,0
1080,311.3416,1593.8932,292.7103,20.8339,5.901,4.637,4.26,5.94,6.31,0.214,20.09,0.0003650715,0.08148756,627,0.015
1081,736.8169,1523.9673,6.688843,24.9366,1.577,0.686,7.94,10.56,3.814,0.565,65.71,-2.889669e-06,0.08148756,8,0
1082,674.0037,1527.8159,6.188282,25.0211,1.49,1.248,6.73,7.26,3.552,0.162,82.94,-0.0001604405,0.08148756,11,0.001
1083,551.1778,1529.4904,10.31881,24.4659,1.74,1.257,7.44,10.56,4.688,0.278,-21.91,0.0006998483,0.08148756,22,0
1084,907.7444,1521.9684,2.86419,25.8575,0.816,0.493,8.61,10.56,2.502,0.396,34.01,0.0002632052,0.08148756,4,0
1085,459.1887,1532.8729,4.176061,25.4481,1.458,1.069,5.84,7.26,2.632,0.267,57.38,0.0007651444,0.08148756,14,0
1086,1125.0837,1528.7303,5.340342,25.1811,1.371,1.035,6.42,9.9,3.054,0.245,-22.28,0.0006507643,0.08148756,14,0
1087,1606.809,1525.991,3.332328,25.6931,0.944,0.47,8.15,10.56,2.888,0.503,-52.53,-0.0004217188,0.08148756,5,0
