OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,MAX_X,MAX_Y,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
697,3696.511,780.854,15.14,24.05,8.157,5.21,3709,796,10.021,0.361,15.792,-6.263e-05,0.05408,444,1.1751
698,642.856,774.513,9.2503,24.585,9.374,3.639,653,793,6.906,0.612,69.963,-0.0003805,0.0542,359,1.2251
699,2692.389,772.555,6.6358,24.945,8.293,3.528,2711,782,5.461,0.575,8.833,-0.0003232,0.0545,291,1.011
700,3298.341,785.166,5.5748,25.134,6.274,3.287,3308,793,5.42,0.476,65.091,0.001083,0.05478,211,0.91189
701,1309.678,788.014,10.766,24.42,8.299,4.493,1325,803,7.977,0.459,-18.726,-0.0006348,0.05402,357,1.0141
702,3510.386,797.911,4.3982,25.392,4.954,2.51,3520,804,4.935,0.493,-9.319,0.0008764,0.05403,161,0.76125
703,318.105,820.976,24.705,23.518,8.557,6.915,340,840,12.54,0.192,3.103,0.0005917,0.05498,741,1.5681
704,1182.228,1657.888,357.12,20.618,11.937,9.196,1226,1696,67.741,0.23,-14.594,7.567e-05,0.05393,3111,2.5803
705,1180.568,1558.486,60.041,22.554,8.383,6.125,1196,1581,23.319,0.269,83.329,-0.000155,0.05489,1047,2.0384
706,1250.244,1677.748,62.92,22.503,9.027,7.351,1274,1696,23.669,0.186,-5.895,0.0007623,0.05432,1155,1.8054
707,1206.24,1594.477,58.403,22.584,10.561,6.593,1230,1620,21.523,0.376,82.11,0.0001231,0.05509,1250,1.9674
708,1171.724,1624.958,65.114,22.466,13.238,9.138,1201,1649,21.025,0.31,-32.583,-0.0002713,0.05441,1754,2.204
709,2979.28,1595.079,182.46,21.347,13.847,8.356,3024,1627,43.272,0.397,-30.792,-0.0004212,0.05451,2545,2.6121
710,2972.141,1561.695,43.194,22.911,13.839,6.425,3007,1581,17.076,0.536,-12.941,-0.0003079,0.05414,1220,2.1457
711,1977.801,1570.693,29.896,23.311,7.491,6.446,1993,1593,14.599,0.139,-86.261,-0.001341,0.05486,746,1.4861
712,3853.025,1575.747,9.0591,24.607,5.646,4.198,3863,1588,7.434,0.256,-48.99,0.00125,0.05393,309,1.0009
713,840.949,1583.78,14.396,24.104,6.481,5.525,857,1596,9.472,0.147,8.921,-0.0001948,0.05441,454,1.0918
714,126.13,858.871,419.94,20.442,15.179,11.629,164,913,69.509,0.234,-80.913,0.0006412,0.05457,4629,3.0532
715,33.17,870.599,80.92,22.23,11.548,8.453,68,907,26.331,0.268,-17.037,0.001532,0.055,1526,2.2223
716,81.086,899.099,68.88,22.405,10.731,10.363,110,924,22.594,0.034,-85.324,0.001486,0.05492,1608,2.4375
717,88.803,864.034,9.4275,24.564,8.875,4.878,100,877,6.555,0.45,-66.639,0.001193,0.05498,418,1.3298
718,1069.416,1618.868,147.88,21.575,10.393,8.284,1097,1649,40.487,0.203,-76.628,-0.0004502,0.05439,1810,2.5229
719,1048.397,1626.604,4.6807,25.324,5.073,3.059,1055,1637,5.198,0.397,-66.785,0.0005224,0.05452,161,0.69259
720,3084.094,1606.747,10.845,24.412,11.199,4.65,3102,1623,7.259,0.585,52.915,-0.0002855,0.05456,461,1
721,1597.484,1609.722,5.8848,25.076,6.613,3.528,1607,1623,5.493,0.466,55.726,0.0008502,0.05465,234,0.6788
722,210.606,1628.761,8.7099,24.65,6.362,5.438,225,1639,6.615,0.145,16.977,0.001488,0.05481,356,1.1487
723,438.128,1640.293,5.3615,25.177,5.058,2.664,444,1650,5.55,0.473,83.137,0.00134,0.05369,187,0.6957
724,2991.691,1652.482,17.59,23.887,8.054,4.894,3010,1669,10.942,0.392,-20.691,-0.000576,0.05445,484,1.1603
725,2962.734,1658.859,15.324,24.037,8.544,5.138,2977,1675,9.491,0.399,27.257,-0.0005975,0.05457,514,1.3111
726,3732.117,1669.259,32.821,23.21,7.35,6.887,3752,1685,16.197,0.0629999999999999,0.091,-0.001159,0.05458,724,1.6177
727,593.65,1675.148,43.903,22.894,9.074,6.674,619,1695,18.684,0.264,-25.908,-0.0003161,0.05429,960,1.8164
728,3199.036,1680.119,8.3161,24.7,6.039,4.217,3209,1694,6.639,0.302,-83.783,-0.0001619,0.05407,316,1.0725
729,387.593,452.805,7526.7,17.308,24.928,16.258,496,545,358.954,0.348,-41.495,0.002295,0.05422,23159,NA
730,199.702,395.394,1274.3,19.237,14.986,14.041,253,453,135.755,0.0629999999999999,-86.261,0.00116,0.054,7932,4.0816
731,274.638,431.468,325.02,20.72,12.043,10.484,310,472,61.449,0.129,75.24,0.001703,0.05389,3538,3.2321
