OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,MAX_X,MAX_Y,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
3955,575.018,3555.22,4.5531,25.354,4.401,3.136,582,3564,5.196,0.287,35.971,0.003818,0.05478,151,0.76828
3956,2254.911,3563.418,16.619,23.948,5.425,4.068,2268,3574,11.289,0.25,-26.57,0.004061,0.05435,379,1.4685
3957,1712.471,3568.779,3.8855,25.526,4.398,3.183,1721,3575,4.599,0.276,-12.371,0.002443,0.05508,139,0.8086
3958,4053.43,3625.524,140.28,21.633,11.761,7.842,4092,3650,37.812,0.333,14.853,0.004708,0.05392,1891,2.9228
3959,2885.567,3611.153,4.8582,25.284,5.704,3.298,2894,3624,4.744,0.422,-61.159,0.004269,0.05436,209,0.80933
3960,3646.916,3586.479,18.424,23.837,7.886,4.703,3661,3601,10.934,0.404,-64.131,0.003333,0.05498,514,1.6503
3961,386.018,3614.788,4.3215,25.411,5.587,2.767,397,3621,4.398,0.505,-16.17,0.005705,0.05525,194,0.96186
3962,551.615,3584.445,29.026,23.343,5.695,4.737,567,3598,16.144,0.168,50.165,0.003423,0.05489,517,1.3815
3963,53.399,3626.321,15.04,24.057,10.711,4.159,67,3646,9.266,0.612,52.34,0.004929,0.05476,505,1.5023
3964,2971.914,3581.621,3.9031,25.521,5.477,2.361,2978,3591,4.287,0.569,-83.892,0.004413,0.05434,164,0.86731
3965,769.552,3581.616,3.5846,25.614,5.404,2.622,779,3588,3.819,0.515,-35.799,0.003699,0.05471,172,0.88663
3966,3995.161,3586.421,18.132,23.854,7.955,4.452,4010,3601,11.449,0.44,29.276,0.003979,0.05442,459,1.6067
3967,3725.722,3496.903,108.58,21.911,8.92,7.086,3758,3522,34.471,0.206,-5.289,0.003616,0.0549,1303,2.769
3968,3706.346,3509.652,18.342,23.841,6.633,4.309,3718,3524,11.6,0.35,75.128,0.003444,0.05491,430,1.306
3969,2787.124,3492.667,10.809,24.416,6.692,3.785,2795,3508,8.459,0.434,76.248,0.004314,0.05539,303,1.091
3970,3368.025,3503.133,30.521,23.289,6.632,5.105,3384,3518,15.944,0.23,44.219,0.003004,0.05433,605,1.7995
3971,2386.646,3911.491,434.11,20.406,12.649,9.251,2436,3943,75.605,0.269,23.154,0.003626,0.05421,3353,3.281
3972,2441.044,3900.238,9.5406,24.551,8.565,2.814,2456,3910,7.819,0.671,-27.453,0.004594,0.0544,285,1.0339
