OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1605,649.924,1013.821,4.483,25.371,6.581,2.57,6.879,2.602,4.833,0.609,67.709,0.006381,0.05021,198,0.89287
1606,335.858,1022.157,37.556,23.063,6.227,6.044,7.966,7.745,19.114,0.029,52.949,0.006071,0.05018,687,1.8484
1607,3396.615,1019.293,11.612,24.338,6.824,3.391,7.761,3.745,9.314,0.503,-76.401,0.006503,0.04987,334,1.1796
1608,3820.427,1019.985,9.0649,24.607,7.453,3.649,7.872,3.832,7.536,0.51,51.786,0.006482,0.04988,314,1.2346
1609,452.71,1021.449,20.064,23.744,8.959,6.009,9.476,6.476,11.412,0.329,-24.65,0.006066,0.05015,681,1.8781
1610,284.628,1033.351,243.73,21.033,10.861,7.58,15.93,11.357,58.295,0.302,-8.461,0.006108,0.05021,2132,3.894
1611,3715.634,1018.999,5.7572,25.099,4.765,3.586,5.066,4.082,5.725,0.247,-11.369,0.00649,0.04988,232,1.2297
1612,1186.204,1027.48,24.966,23.507,8.345,6.513,9.234,7.55,13.607,0.22,-69.694,0.006182,0.05018,686,1.8256
1613,3435.585,1020.714,10.167,24.482,5.352,4.301,5.736,5.073,8.387,0.196,-18.209,0.006495,0.04987,308,1.1917
1614,864.126,1017.414,3.7578,25.563,5.142,3.247,5.115,3.283,4.109,0.368,-4.071,0.006542,0.0501,193,0.96982
1615,3256.619,1018.504,4.5983,25.344,3.747,3.345,3.986,3.599,5.405,0.107,-84.529,0.006478,0.04984,163,0.79802
1616,1073.784,1027.571,22.433,23.623,6.378,4.509,7.933,5.599,13.909,0.293,79.661,0.006268,0.05011,497,1.5068
1617,1476.301,1025.053,5.3895,25.171,4.842,3.282,4.919,3.641,5.761,0.322,74.124,0.006118,0.05024,194,0.91437
1618,2601.644,1027.287,18.886,23.81,8.865,5.102,8.87,5.866,11.719,0.425,-4.527,0.006046,0.05036,530,1.4536
1619,3224.1,1019.783,3.1082,25.769,4.099,1.69,4.174,1.91,4.675,0.588,-50.724,0.006475,0.04983,96,0.65205
1620,4068.906,1034.949,15.342,24.035,8.831,8.41,8.872,8.696,9.045,0.048,-78.841,0.006466,0.04988,663,1.755
1621,1554.928,1021.271,4.0717,25.476,3.399,2.624,3.535,3.035,5.299,0.228,42.909,0.006118,0.05027,130,0.7877
1622,2679.928,1019.309,2.1586,26.165,2.332,1.919,2.483,2.404,3.732,0.177,57.714,0.006086,0.05022,72,0.534
1623,3434.289,1068.168,416.27,20.452,30.806,10.654,36.711,15.12,70.677,0.654,58.589,0.006481,0.04984,5160,NA
