NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
794,3159.7639,1149.8898,13.4086,24.1815,2.006,1.561,6.94,10.56,5.037,0.222,21.57,-0.0001869733,0.08232503,28,0
795,3015.9832,1144.7415,17.40797,23.8981,2.46,1.289,7.85,10.56,6.525,0.476,-19.83,-0.0001334155,0.08232503,32,0.001
796,2828.2202,1161.3269,23.05751,23.593,2.739,2.198,4.92,5.94,4.343,0.198,19.07,0.001093662,0.08232503,81,0
797,40.9324,1141.2458,4.210909,25.4391,1.271,0.784,7.38,6.6,2.853,0.383,-29.13,-0.001274615,0.08232503,9,0
798,3494.0276,1146.0251,6.485192,24.9702,1.252,0.955,7.75,10.56,3.958,0.237,-84.99,5.829145e-05,0.08232503,9,0
799,1353.4888,1206.7567,107.4099,21.9224,5.658,3.903,5.08,6.6,7.941,0.31,-85.41,0.00144752,0.08232503,329,0
800,1819.9039,1162.1393,17.95919,23.8643,2.474,2.131,5.03,8.58,4.103,0.139,37.16,0.001326301,0.08232503,65,0
801,531.0023,1146.7061,6.2461,25.011,1.171,0.44,8.84,10.56,4.178,0.624,-56.46,-0.0001215341,0.08232503,7,0
802,1694.2588,1160.2419,15.22836,24.0434,2.252,1.415,7.52,10.56,5.954,0.371,-58.84,-3.447802e-05,0.08232503,30,0
803,1863.021,1143.494,3.59661,25.6103,0.811,0.5,8.77,10.56,2.899,0.384,-1.18,0.002190701,0.08232503,5,0
804,1623.7626,1149.8146,5.933633,25.0667,1.151,0.874,8.13,10.56,4.088,0.24,-54.89,0.0001434641,0.08232503,7,0
805,3893.4536,1173.0173,41.91902,22.944,3.236,2.67,6.01,10.56,5.818,0.175,11.73,0.00134482,0.08232503,121,0
806,3508.9094,1155.309,8.984328,24.6163,2.501,0.742,7.74,10.56,4.612,0.703,19.97,9.514913e-05,0.08232503,18,0
807,2598.0391,1221.7263,419.3206,20.4436,6.034,5.201,3.51,5.28,6.639,0.138,-20.85,0.004849912,0.08232503,749,0.001
808,530.7827,1151.9783,3.687901,25.5831,0.823,0.499,7.76,10.56,3.295,0.393,34.14,-6.343201e-05,0.08232503,4,0.003
809,1155.791,1150.6255,2.403593,26.0478,0.747,0.452,7.78,4.62,2.243,0.395,17,0.0001611414,0.08232503,4,0
810,2015.9869,1162.4645,7.772009,24.7737,1.41,0.801,8.42,10.56,4.318,0.432,48.45,0.0003915617,0.08232503,11,0
811,844.4039,1161.1503,7.834919,24.7649,1.317,0.817,8.26,10.56,4.253,0.38,-68.97,-7.490918e-05,0.08232503,11,0
812,726.9028,1172.2804,5.598439,25.1298,1.634,0.989,6.92,10.56,3.295,0.395,-21.02,0.0001816123,0.08232503,14,0
813,2892.9719,1211.4695,131.8368,21.6999,5.532,4.135,4.33,7.26,7.176,0.253,-13.62,0.001330787,0.08232503,376,0
814,848.376,1192.7437,34.13908,23.1669,3.566,2.128,6.49,10.56,7.633,0.403,-48.13,-0.0001856766,0.08232503,78,0
815,943.948,1173.5138,10.19937,24.4786,2.1,1.446,6.14,5.94,4.01,0.311,28.52,-0.0001139713,0.08232503,28,0
816,2668.2019,1237.3641,238.3501,21.057,7.158,4.749,4.15,6.6,8.161,0.337,41.97,0.001688421,0.08232503,636,0
817,323.1152,1182.6704,14.78092,24.0757,2.052,1.953,6.12,7.92,4.254,0.048,18.62,0.0001872694,0.08232503,47,0
818,2865.4214,1181.8324,11.55146,24.3434,2.092,1.541,6.6,10.56,4.304,0.263,-22.07,0.001692487,0.08232503,33,0
819,834.5673,1200.4282,25.97882,23.4635,3.015,2.511,6.22,10.56,6.385,0.167,-86.7,3.46646e-05,0.08232503,69,0
820,2683.5999,1206.8484,68.86448,22.405,3.755,3.284,7.14,10.56,10.887,0.125,-57.78,0.002252612,0.08232503,154,0
821,632.5463,1218.8943,73.57107,22.3332,3.868,3.559,3.79,6.6,5.224,0.08,-75.99,0.0005298138,0.08232503,226,0
822,1562.9705,1186.1833,9.165568,24.5946,1.617,1.203,6.64,10.56,4.038,0.256,37.55,0.001061791,0.08232503,20,0
823,1869.0891,1182.2509,8.824776,24.6357,1.535,1.067,8.05,10.56,5.017,0.305,29.48,0.0008324709,0.08232503,9,0
824,230.1774,1184.2706,9.387841,24.5686,1.783,0.894,7.97,10.56,5.003,0.499,-36.8,0.000406853,0.08232503,15,0
825,1631.8322,1206.9996,26.5121,23.4414,3.242,1.711,7.29,10.56,6.838,0.472,82.55,0.0005067344,0.08232503,60,0
826,284.2064,1210.4224,21.0394,23.6924,2.836,2.471,5.27,7.26,4.825,0.129,83.35,0.0002465246,0.08232503,82,0
827,1820.1195,1188.672,10.81648,24.4148,1.108,1.029,8.88,10.56,5.269,0.071,-10.05,0.0004650657,0.08232503,10,0
828,2532.0149,1185.0359,4.416976,25.3872,0.917,0.525,8.46,10.56,3.337,0.427,45.96,0.005459847,0.08232503,5,0.001
829,506.602,1191.5731,5.977952,25.0586,1.645,0.659,8.03,3.5,3.794,0.599,38.86,2.425738e-05,0.08232503,7,0
830,3431.0481,1201.5425,15.43445,24.0288,2.584,1.911,5.69,9.24,4.654,0.26,2.75,0.0001891852,0.08232503,50,0
831,1884.8745,1191.1665,7.362011,24.8325,2.214,0.626,7.43,9.24,4.256,0.717,-15.26,0.0007890608,0.08232503,13,0
832,2002.766,1259.057,128.4827,21.7279,5.63,3.93,5.32,7.26,7.714,0.302,-73.41,0.0006998966,0.08232503,358,0
833,3192.7424,1238.0526,94.10117,22.066,6.183,3.382,5.38,7.92,7.888,0.453,-25.76,-0.0005155152,0.08232503,287,0
834,988.182,1193.1742,4.101646,25.4676,1.344,0.723,7.39,7.92,2.775,0.462,33.34,-0.0002056542,0.08232503,9,0
835,3217.5869,1223.9991,38.83513,23.0269,3.026,2.766,5.21,9.24,5.103,0.086,71.74,-0.0004226863,0.08232503,123,0
836,1830.9763,1194.002,4.592352,25.3449,0.896,0.532,8.3,10.56,3.43,0.406,-45.75,0.0004491368,0.08232503,4,0
837,1884.478,1194.4999,4.524536,25.3611,0.8,0.449,9.06,5.28,3.443,0.439,71.5,0.0007800896,0.08232503,3,0
838,3861.3298,1224.2501,25.7481,23.4731,2.786,2.566,5.48,7.92,4.939,0.079,65.64,0.0002653065,0.08232503,88,0
839,2788.1536,1199.1655,3.972705,25.5023,0.78,0.568,8.37,10.56,3.016,0.272,42.09,-0.0003094549,0.08232503,6,0.002
840,924.353,1207.3407,12.61656,24.2476,1.717,1.342,7.9,10.56,5.92,0.219,-22.95,-6.118328e-06,0.08232503,23,0
841,2533.8894,1222.6797,15.76417,24.0058,2.642,1.43,6.96,10.56,5.723,0.459,-65.78,0.002865717,0.08232503,38,0
842,3900.4146,1210.9393,7.072333,24.8761,2.294,1.026,5.46,5.94,3.884,0.553,26.69,0.001379604,0.08232503,20,0
843,60.8796,1222.3416,10.33958,24.4637,2.632,1.18,6.65,9.24,4.666,0.552,88.23,-0.0008871591,0.08232503,25,0
844,2928.7732,1221.9801,14.58203,24.0905,2.4,1.778,5.73,8.58,4.402,0.259,-67.59,0.001022839,0.08232503,43,0
845,2419.5457,1210.1475,2.322059,26.0853,1.262,0.383,7.45,9.24,2.172,0.696,-74.67,0.002750363,0.08232503,7,0
846,578.6019,1237.1332,29.29218,23.3331,3.193,2.554,5.68,7.26,5.647,0.2,33.79,0.0005283403,0.08232503,94,0
847,1881.149,1210.7031,2.02262,26.2352,1.039,0.552,6.02,8.58,1.787,0.469,-71.73,0.000730453,0.08232503,5,0.003
848,454.2598,1244.0444,49.3121,22.7676,3.435,3.246,3.9,6.6,5.109,0.055,30.97,0.0003026749,0.08232503,166,0
849,817.3158,1258.3555,94.61832,22.0601,4.27,4.109,4.28,6.6,5.988,0.038,-48.83,0.0007686125,0.08232503,286,0
850,2400.1689,1238.5294,30.98704,23.272,2.941,2.453,6.09,7.92,5.975,0.166,57.77,0.0008185781,0.08232503,82,0
851,3562.4978,1216.4967,3.466931,25.6501,0.829,0.45,8.95,10.56,2.985,0.458,71.8,0.000154707,0.08232503,4,0
852,586.4418,1246.7252,25.63301,23.478,3.061,2.463,5.79,7.26,5.717,0.195,74.4,0.0005287718,0.08232503,76,0
853,2547.5808,1231.1471,11.7936,24.3209,1.751,1.394,7.72,10.56,5.218,0.204,54.03,0.002941004,0.08232503,24,0
854,569.4711,1289.5706,123.5449,21.7704,6.096,4.313,4.75,7.92,8.393,0.293,-71.27,0.0008587154,0.08232503,408,0
855,2411.3472,1244.1089,25.2266,23.4954,3.254,2.633,5.9,9.9,6.101,0.191,-18.1,0.000586108,0.08232503,76,0
856,1452.0369,1253.5905,47.96541,22.7977,3.884,2.769,5.32,8.58,6.194,0.287,-12.13,0.0006233362,0.08232503,144,0
857,3956.8123,1236.8201,15.03464,24.0573,1.846,1.33,7.78,10.56,5.756,0.279,64.25,0.002008917,0.08232503,26,0
858,3158.2202,1237.1552,6.459386,24.9745,1.751,0.732,7.59,10.56,3.68,0.582,-60.96,-0.0004740545,0.08232503,11,0
859,698.827,1240.4722,11.24393,24.3727,1.941,1.387,6.84,10.56,4.061,0.286,62.71,0.0004490563,0.08232503,30,0
860,1985.3857,1280.8073,108.6068,21.9104,5.204,4.374,5.76,10.56,9.228,0.16,49.89,0.0005184135,0.08232503,327,0
861,2518.6384,1234.5547,4.936002,25.2666,1.302,0.447,8.34,8.58,3.488,0.657,81.69,0.0017651,0.08232503,7,0
862,795.2881,1236.8938,7.848625,24.763,1.52,1.003,7.87,10.56,3.943,0.34,24.71,0.0008862379,0.08232503,15,0
863,1860.6715,1259.0651,35.29655,23.1307,2.97,2.716,4.85,7.26,4.645,0.086,-16.71,0.0002506899,0.08232503,119,0
864,847.4661,1248.0568,5.926404,25.068,1.576,1.172,5.83,6.6,2.974,0.257,49.51,0.0001447393,0.08232503,21,0
865,891.8278,1344.3761,45.01891,22.8665,3.491,2.741,5.45,9.9,5.949,0.215,-56.6,0.0007842747,0.08232503,137,0
866,3586.4927,1276.8776,50.64248,22.7387,3.608,3.4,5.01,6.6,5.867,0.058,64.58,0.0001314274,0.08232503,174,0
867,1421.6827,1265.5682,34.98026,23.1404,3.008,2.524,6.87,10.56,7.444,0.161,-6.32,0.0007473581,0.08232503,86,0
868,3759.2434,1256.5222,18.89299,23.8092,1.997,1.414,8.43,10.56,6.982,0.292,43.53,-0.001290692,0.08232503,18,0
869,2609.219,1274.6031,41.08515,22.9658,3.49,2.934,5.16,7.92,5.313,0.159,17.33,0.002682918,0.08232503,148,0
