NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
2014,1906.2653,3011.2522,14.33494,24.109,1.77,1.417,7.48,10.56,5.292,0.2,-35.69,0.002130231,0.0807259,26,0
2015,3568.3672,3008.5066,6.388681,24.9865,1.517,1.098,7.78,10.56,3.884,0.276,57.64,0.0023052,0.0807259,14,0
2016,3474.2368,3090.6741,213.5495,21.1763,7.712,5.023,4.33,5.94,9.066,0.349,-69.64,0.003743009,0.0807259,633,0
2017,2427.6946,3034.4514,48.50596,22.7855,4.706,2.655,6.3,10.56,8.199,0.436,-26.81,0.004698442,0.0807259,140,0
2018,210.4967,3022.0229,14.4977,24.0968,2.462,1.42,6.64,9.24,4.708,0.423,50.39,0.001797562,0.0807259,27,0
2019,1568.8452,3007.2781,5.194039,25.2112,1.034,0.635,8.09,5.28,3.848,0.386,-6.56,0.0009858954,0.0807259,5,0
2020,734.481,3017.8787,17.30363,23.9047,2.062,1.431,7.44,9.9,5.722,0.306,3.08,0.002022082,0.0807259,28,0
2021,2547.686,3029.0291,24.55092,23.5248,2.972,2.13,6.37,9.9,6.236,0.283,-6.51,0.004555546,0.0807259,69,0
2022,1577.4556,3028.3733,23.99925,23.5495,2.333,2.125,7.35,10.56,7.385,0.089,-30.75,0.0009858954,0.0807259,46,0
2023,2448.6785,3032.4702,37.11614,23.0761,4.14,2.082,7.23,10.56,9.531,0.497,-4.87,0.005094818,0.0807259,67,0
2024,219.8246,3062.3015,102.6497,21.9716,4.205,4.116,4.66,7.26,6.123,0.021,52.54,0.002372221,0.0807259,291,0
2025,2974.5305,3035.9963,33.63023,23.1832,2.97,2.528,4.66,6.6,4.222,0.149,-21.6,0.001678645,0.0807259,108,0
2026,3939.6436,3020.8389,5.654062,25.1191,1.362,1.081,7.04,10.56,3.39,0.206,75.11,0.0007717604,0.0807259,12,0
