NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1,4024.4556,336.8585,10259.17,16.9722,14.763,11.906,3.5,3.5,9.119,0.194,79.17,0.02209207,0.0761213,9071,0.034
2,2753.8313,65.3964,1389.401,19.1429,9.288,6.888,3.67,4.62,7.379,0.258,64.12,0.009939235,0.0761213,2100,0.03
3,1055.7096,71.4961,106.7968,21.9286,5.346,3.488,4.67,7.26,6.429,0.348,-86.39,0.0005920756,0.0761213,316,0
4,2281.8274,64.0952,275.3436,20.9003,6.131,5.07,4.62,6.6,7.419,0.173,-59.77,0.001675832,0.0761213,657,0.001
5,3847.7786,54.7006,187.9267,21.315,5.293,4.416,4.46,6.6,6.337,0.166,-3.55,0.00340802,0.0761213,472,0.001
6,2550.7297,66.4193,11.39361,24.3583,1.989,1.05,7.87,10.56,5.439,0.472,40.52,0.0008635444,0.0761213,20,0
7,1791.7441,50.2321,116.2137,21.8369,5.031,3.588,4.43,7.26,5.964,0.287,38.82,0.001184088,0.0761213,329,0.001
8,3409.0676,34.5961,404.474,20.4828,6.452,5.079,4.03,5.94,6.479,0.213,-20.2,0.004114617,0.0761213,819,0.029
9,1212.3945,29.7403,39.81507,22.9999,3.423,2.413,5.98,10.56,6.14,0.295,-60.33,0.0007633934,0.0761213,117,0
10,3254.8489,26.8837,50.354,22.7449,3.453,2.73,4.81,7.92,4.805,0.209,80.48,-0.0002290087,0.0761213,156,0
11,3377.4756,23.7196,37.12274,23.0759,2.943,2.144,7.61,10.56,8.761,0.271,-32.03,0.004213553,0.0761213,76,0
12,968.0656,23.6183,18.36956,23.8398,2.339,1.88,5.55,9.9,4.319,0.196,22.9,0.0006714372,0.0761213,53,0
13,1598.0186,20.8598,9.538259,24.5513,2.18,1.315,6.87,10.56,4.611,0.397,-37.23,-0.0006524713,0.0761213,25,0
