NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
336,2986.3032,261.8467,5.309596,25.1873,1.54,0.814,7.38,10.56,3.232,0.471,-70.43,0.001736339,0.0741638,12,0
337,1552.1664,261.5389,8.320065,24.6997,1.878,1.243,7.03,10.56,4.093,0.338,35.42,0.00826643,0.0741638,21,0
338,142.2375,259.2631,6.240221,25.012,1.435,1.068,6.99,5.28,3.391,0.255,-28.68,0.007140197,0.0741638,18,0
339,4165.8486,296.711,44.80874,22.8716,3.831,2.42,5.79,9.9,6.133,0.368,85.14,0.005010519,0.0741638,137,0
340,2167.8735,268.9921,7.143412,24.8652,1.7,1.433,5.81,8.58,3.35,0.157,84.93,0.00156565,0.0741638,24,0
341,2857.7563,257.4325,3.471368,25.6487,1.335,0.438,8.55,5.94,3.189,0.672,-31.26,0.002023194,0.0741638,4,0
342,2844.9863,263.7653,6.882023,24.9057,1.171,1.004,7.95,10.56,4.605,0.143,20.92,0.002149184,0.0741638,13,0
343,796.6854,277.0721,15.53676,24.0216,2.07,1.628,6.47,9.9,4.936,0.214,-81.14,0.008783442,0.0741638,42,0
344,4102.8384,267.4705,6.951668,24.8948,1.638,0.911,7.93,10.56,4.207,0.444,67.94,0.009224835,0.0741638,11,0
345,3578.5457,268.5576,6.490047,24.9694,1.601,1.038,6.76,10.56,3.69,0.351,-28.36,0.003063301,0.0741638,17,0
346,1065.2997,268.937,14.19381,24.1198,1.895,1.454,7.73,10.56,7.138,0.233,7.41,0.006742894,0.0741638,21,0.001
347,1213.8229,289.7956,47.3377,22.812,3.435,2.548,6.14,10.56,6.168,0.258,31.32,0.007300781,0.0741638,131,0
348,675.2241,276.8676,16.72238,23.9418,2.021,1.823,6.71,10.56,5.404,0.098,45.41,0.007109427,0.0741638,42,0
349,1243.4244,271.9677,10.57639,24.4392,1.706,1.391,6.82,10.56,4.173,0.185,53.33,0.006424093,0.0741638,30,0
350,274.2816,417.964,993.5428,19.507,8.493,6.819,3.82,5.28,7.394,0.197,67.19,0.00874069,0.0741638,1739,0.031
351,1201.5697,269.927,7.922748,24.7528,1.215,1.1,8.22,10.56,4.824,0.095,-57.78,0.00740457,0.0741638,12,0
352,1527.1324,274.1701,8.701567,24.651,1.641,1.414,6.95,5.94,4.895,0.138,-82.84,0.00717171,0.0741638,18,0
353,2027.5808,269.2084,4.272388,25.4233,1.269,0.893,7.51,6.6,2.793,0.296,-22.05,0.004376841,0.0741638,11,0
354,462.7523,290.3188,48.4309,22.7872,3.722,2.571,7.57,10.56,10.986,0.309,7.94,0.008476736,0.0741638,102,0
355,3621.9131,273.2603,7.781216,24.7724,1.271,1.069,8.08,10.56,4.668,0.159,-84.81,0.002648358,0.0741638,16,0
356,2755.0898,305.231,51.17492,22.7274,3.342,3.043,5.87,10.56,6.055,0.09,70.73,0.003265036,0.0741638,148,0
357,2526.9324,281.2414,8.526228,24.6731,1.875,1.291,6.5,7.26,4.058,0.312,-66.8,0.003607998,0.0741638,24,0
358,33.6578,277.9434,7.18621,24.8588,1.552,1.128,7.88,10.56,3.942,0.273,-87.17,0.005887159,0.0741638,15,0
359,2310.365,276.7947,6.245158,25.0111,1.174,0.895,7.77,10.56,3.881,0.238,-68.81,0.001220934,0.0741638,10,0
360,655.0779,288.8973,16.23479,23.9739,2.3,2.056,5.68,6.6,4.224,0.106,-38.98,0.005590109,0.0741638,54,0
361,3416.9004,302.4185,41.01422,22.9677,2.64,2.507,5.15,7.26,4.041,0.05,68.21,0.005195257,0.0741638,114,0
362,709.7937,304.0265,39.22773,23.016,2.719,2.431,5.64,10.56,4.372,0.106,83.34,0.007486773,0.0741638,111,0
