ID,NDET,NMATCH,AREAFRAC,AREAMEAN,AREAFRAC5,AREAMEAN5,SKYMEAN,SKYSTD
denlo1a,245,244,0.28101078574567,1606.35245901639,0.278003492664655,6916,0.00814733638985703,NA
denlo1b,305,302,0.304467697601872,1517.2119205298,0.275907734502865,6882.2,0.00295983189235693,NA
denlo4a,269,30,0.0254842650700444,757.966666666667,0.0160396914034978,944,0.00938390587920132,NA
denlo4b,306,43,0.0284419373286091,752.767441860465,0.0171502255200045,980,0.00391608724811554,NA
denhi1a,383,379,0.386897866970014,1527.36147757256,0.251930286456556,5876,0.0116976091919829,NA
denhi1b,523,510,0.454629952609894,1462.28039215686,0.268422331608691,6240.4,0.00426070387404662,NA
denhi4a,391,74,0.0389127878454165,799.918918918919,0.0157512311509659,1449.6,0.0138129762500285,NA
denhi4b,477,112,0.044567931278654,821.276785714286,0.01745418234762,1624.6,0.00603263095459873,NA
